Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Albania,exports,salt,,46000.0,,,,,,13830.0,1925.0,251.0,20.0
Algeria,exports,salt,,11647.0,16160.0,,,100.0,0.0,3420.0,9520.0,25803.0,41900.0
Argentina,exports,salt,,191290.0,19598.0,37428.0,61072.0,43855.0,47060.0,44226.0,50455.0,40503.0,36676.0
Armenia,exports,salt,,,,,,,,,3863.0,2000.0,1515.0
Australia,exports,salt,,6466000.0,7061000.0,7027000.0,6982000.0,7259430.0,7648946.0,7651312.0,8187274.0,8700065.0,8472082.0
Bahamas,exports,salt,,1141914.0,1319713.0,1000000.0,1000000.0,1000000.0,1038768.0,1000000.0,1029000.0,1122748.0,1227126.0
Belarus,exports,salt,,,,,,,882363.0,913313.0,1203162.0,797847.0,529132.0
Belgium-Luxembourg,exports,salt,,81418.0,89171.0,72498.0,212140.0,232766.0,193167.0,234927.0,420425.0,30165.0,45977.0
Bosnia & Herzegovina,exports,salt,,,,7200.0,3100.0,1400.0,,6700.0,10100.0,11500.0,32100.0
Botswana,exports,salt,,,,,,,,,107291.0,18512.0,171926.0
Brazil,exports,salt,,12196.0,56883.0,43994.0,187401.0,223615.0,130267.0,163791.0,273469.0,444608.0,516331.0
Bulgaria,exports,salt,,,,,173600.0,118700.0,112200.0,17500.0,4900.0,1809.0,2121.0
Cameroon,exports,salt,,,,,,,,,,,
Canada,exports,salt,,1912161.0,2783021.0,2632613.0,3100577.0,3639220.0,2987612.0,3818652.0,3635862.0,4190782.0,3849203.0
Chile,exports,salt,,1201421.0,1012187.0,930061.0,1168034.0,2985664.0,1214742.0,3922438.0,3037461.0,2059050.0,2828208.0
China,exports,salt,,480974.0,212403.0,151709.0,200580.0,234214.0,336650.0,365417.0,235058.0,332649.0,392355.0
Colombia,exports,salt,,21592.0,14666.0,18574.0,2480.0,1006.0,22011.0,94732.0,61681.0,76007.0,34672.0
Costa Rica,exports,salt,,,,,,,,,,1703.0,2666.0
Croatia,exports,salt,,,,6418.0,2950.0,3000.0,2674.0,3326.0,9141.0,2493.0,2283.0
Cyprus,exports,salt,,,,,,,,2.0,926.0,5699.0,2941.0
Czech Republic,exports,salt,,,,,14300.0,11800.0,13900.0,17800.0,17046.0,16031.0,13967.0
Denmark,exports,salt,,305011.0,301911.0,312946.0,332818.0,345531.0,325569.0,335686.0,327368.0,275254.0,347207.0
Djibouti,exports,salt,,,,,,,,,272.0,82876.0,127283.0
Dominican Republic,exports,salt,,,,,,,25000.0,27600.0,41251.0,42000.0,42000.0
Egypt,exports,salt,,,122316.0,208106.0,280431.0,446877.0,266400.0,298527.0,269661.0,294096.0,268218.0
Estonia,exports,salt,,,,,,,,,,,
France,exports,salt,,936060.0,799506.0,486013.0,462232.0,598955.0,605536.0,796564.0,673761.0,591511.0,693027.0
German Democratic Rep,exports,salt,,,,,,,,,,,
German Federal Republic,exports,salt,,2167794.0,,,,,,,,,
Germany,exports,salt,,,,3107795.0,2373780.0,2839848.0,2698101.0,2852410.0,2576659.0,2750863.0,2984868.0
Ghana,exports,salt,,,,,,,,25000.0,25000.0,28540.0,36960.0
Greece,exports,salt,,,2318.0,4474.0,17139.0,8391.0,17049.0,25683.0,21649.0,29445.0,41469.0
Hong Kong,exports,salt,,6151.0,7009.0,6220.0,6216.0,8702.0,5488.0,4306.0,13311.0,1495.0,1454.0
Hungary,exports,salt,,,,,4100.0,3000.0,2100.0,3069.0,1839.0,437.0,236.0
Iceland,exports,salt,,,,1582.0,819.0,791.0,521.0,3985.0,3314.0,2437.0,1929.0
India,exports,salt,,403882.0,406164.0,332681.0,481949.0,437959.0,259282.0,392421.0,244359.0,190651.0,315913.0
Indonesia,exports,salt,,501.0,14594.0,14382.0,1425.0,1680.0,20475.0,28673.0,15081.0,23252.0,849.0
Iran,exports,salt,,44442.0,64948.0,39446.0,83994.0,76623.0,112423.0,,88966.0,112756.0,97666.0
"Ireland, Republic of",exports,salt,,1554.0,1701.0,,,,,,,,
Israel,exports,salt,,18100.0,26200.0,87100.0,130400.0,132000.0,53000.0,56000.0,125000.0,133000.0,98000.0
Italy,exports,salt,,170784.0,224277.0,374201.0,244275.0,333685.0,314116.0,292480.0,186050.0,265377.0,307128.0
Jamaica,exports,salt,,3793.0,2751.0,5620.0,3879.0,3843.0,4048.0,3930.0,3209.0,2139.0,5184.0
Japan,exports,salt,,1320.0,1509.0,1349.0,1463.0,1503.0,1634.0,2225.0,2046.0,1925.0,2044.0
Jordan,exports,salt,,13090.0,8633.0,6212.0,908.0,793.0,1475.0,2064.0,18333.0,144749.0,256126.0
Kazakhstan,exports,salt,,,,,,54000.0,17000.0,37000.0,31000.0,19237.0,13149.0
Kenya,exports,salt,,37224.0,,48533.0,60287.0,83374.0,100335.0,109474.0,109375.0,123796.0,97578.0
Korea (Rep. of),exports,salt,,40464.0,59621.0,3733.0,240.0,931.0,10094.0,29448.0,34734.0,19483.0,16852.0
Kuwait,exports,salt,,,,,,100.0,198.0,1490.0,3182.0,4264.0,180.0
Latvia,exports,salt,,,,,,,,,,1688.0,1572.0
Lithuania,exports,salt,,,,,,2200.0,2000.0,2500.0,3620.0,4928.0,2061.0
Madagascar,exports,salt,,8141.0,10387.0,7768.0,7985.0,13666.0,10814.0,2331.0,827.0,0.0,2136.0
Malaysia,exports,salt,,1508.0,1628.0,4489.0,5586.0,15858.0,2800.0,6500.0,9100.0,14600.0,11000.0
Mexico,exports,salt,,5722364.0,6133227.0,6371223.0,6075014.0,7130497.0,7179256.0,7609782.0,6105698.0,6442297.0,6864532.0
Morocco,exports,salt,,4959.0,4002.0,12388.0,25500.0,54158.0,54796.0,64601.0,11189.0,2737.0,20190.0
Namibia,exports,salt,,153371.0,103312.0,73164.0,60680.0,61932.0,78960.0,38454.0,37276.0,62384.0,12074.0
Netherlands,exports,salt,,2662295.0,3085450.0,3025690.0,2330797.0,2501219.0,3714195.0,3340723.0,3059922.0,2039700.0,2910915.0
Netherlands Antilles,exports,salt,,190057.0,252237.0,370503.0,337176.0,475544.0,424065.0,366265.0,432225.0,406195.0,399968.0
New Zealand,exports,salt,,3055.0,4095.0,6212.0,9699.0,13299.0,14917.0,14092.0,18969.0,23396.0,27188.0
Nicaragua,exports,salt,,,,,,,,,,1149.0,2415.0
North Macedonia,exports,salt,,,,,,,,,361.0,170.0,823.0
Norway,exports,salt,,2309.0,2027.0,2093.0,3439.0,4357.0,3397.0,5511.0,5118.0,9567.0,7929.0
Pakistan,exports,salt,,22644.0,18249.0,30418.0,,32000.0,42000.0,32999.0,40042.0,145315.0,60116.0
Peru,exports,salt,,,,200.0,7890.0,20290.0,17397.0,155338.0,539441.0,294484.0,635103.0
Poland,exports,salt,,290533.0,233903.0,249850.0,451031.0,469405.0,530577.0,513300.0,390700.0,337700.0,422351.0
Portugal,exports,salt,,28454.0,18436.0,19189.0,8258.0,10966.0,5700.0,16085.0,25600.0,13048.0,3362.0
Romania,exports,salt,,581500.0,441440.0,295953.0,247099.0,299024.0,397903.0,565510.0,585665.0,439530.0,492524.0
Russia,exports,salt,,,,,,29000.0,26000.0,14343.0,15577.0,13108.0,23109.0
Saudi Arabia,exports,salt,,3831.0,1849.0,3544.0,3100.0,3629.0,5500.0,11082.0,10062.0,12294.0,12024.0
Senegal,exports,salt,,110139.0,119404.0,157315.0,139779.0,167427.0,188271.0,155543.0,83588.0,81903.0,119900.0
Singapore,exports,salt,,16084.0,13628.0,10808.0,11304.0,12112.0,7538.0,6217.0,5990.0,3497.0,2644.0
Slovakia,exports,salt,,,,0.0,30000.0,41500.0,42000.0,51173.0,50938.0,52000.0,46826.0
Slovenia,exports,salt,,,,,,,1700.0,1100.0,3300.0,4769.0,4817.0
South Africa,exports,salt,,91049.0,56169.0,50337.0,19262.0,5086.0,2157.0,1294.0,2639.0,1826.0,2138.0
Soviet Union,exports,salt,,344678.0,,,,,,,,,
Spain,exports,salt,,78718.0,109360.0,228618.0,309852.0,592762.0,729857.0,896043.0,714877.0,669534.0,732727.0
Sweden,exports,salt,,1985.0,1478.0,1575.0,4133.0,2301.0,54306.0,1774.0,1884.0,1989.0,1829.0
Switzerland,exports,salt,,526.0,4060.0,7737.0,10932.0,22969.0,86792.0,73243.0,38160.0,35844.0,22002.0
Syria,exports,salt,,,,,,,,,12124.0,3542.0,
Taiwan,exports,salt,,8000.0,9000.0,2060.0,134.0,,,,,,
Tanzania,exports,salt,,,,,,,3000.0,3000.0,8426.0,13083.0,7288.0
Thailand,exports,salt,,31091.0,55375.0,76922.0,91014.0,85800.0,70522.0,63806.0,60608.0,91016.0,94222.0
Trinidad & Tobago,exports,salt,,,,,,,3193.0,10181.0,6639.0,6981.0,7000.0
Tunisia,exports,salt,,399488.0,350048.0,343463.0,286250.0,357524.0,403433.0,428104.0,347679.0,394410.0,391352.0
Turkey,exports,salt,,2368.0,31316.0,7901.0,6079.0,4409.0,10084.0,10706.0,13061.0,17674.0,20778.0
Turkmenistan,exports,salt,,,,,,,,,,36000.0,37000.0
USA,exports,salt,,2266152.0,1816635.0,1003655.0,729970.0,713129.0,670906.0,898502.0,771095.0,728642.0,893571.0
Uganda,exports,salt,,,,,,,,1039.0,451.0,1806.0,614.0
Ukraine,exports,salt,,,,,,1100000.0,1464187.0,1424393.0,1367601.0,1012089.0,928343.0
