Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Belgium-Luxembourg,exports,sillimanite_minerals,"Sillimanite minerals, crude",,,,121.0,143.0,689.0,200.0,129.0,62.0,30.0
Belgium-Luxembourg,exports,sillimanite_minerals,"Sillimanite minerals, other",,,,823.0,1536.0,2245.0,981.0,651.0,405.0,162.0
Brazil,exports,sillimanite_minerals,Kyanite,,,,,,,,3019.0,1874.0,3379.0
Czechoslovakia,exports,sillimanite_minerals,,,,,,,,,,,24000.0
Denmark,exports,sillimanite_minerals,,,,,,,,22.0,890.0,298.0,328.0
France,exports,sillimanite_minerals,"Sillimanite minerals, crude",710.0,596.0,1396.0,7.0,11.0,26.0,72.0,72.0,16.0,10.0
France,exports,sillimanite_minerals,"Sillimanite minerals, other",958.0,240.0,155.0,396.0,3149.0,2312.0,4391.0,5809.0,2074.0,163.0
German Federal Republic,exports,sillimanite_minerals,"Sillimanite minerals, calcined",1071.0,163.0,,,483.0,5058.0,2351.0,5190.0,5659.0,7538.0
German Federal Republic,exports,sillimanite_minerals,"Sillimanite minerals, crude",60.0,122.0,99.0,196.0,1293.0,424.0,344.0,356.0,540.0,1974.0
German Federal Republic,exports,sillimanite_minerals,"Sillimanite minerals, other",,,650.0,551.0,,,,,,
India,exports,sillimanite_minerals,Kyanite,,,,,,,,,3875.0,1659.0
India,exports,sillimanite_minerals,Sillimanite,1739.0,1628.0,714.0,1003.0,829.0,100.0,455.0,550.0,151.0,25.0
India,exports,sillimanite_minerals,"Sillimanite minerals, calcined",,28481.0,15348.0,9141.0,6564.0,7798.0,5295.0,2778.0,,
India,exports,sillimanite_minerals,"Sillimanite minerals, crude",69330.0,14340.0,10890.0,15951.0,18595.0,10314.0,6096.0,6052.0,,
Iran,exports,sillimanite_minerals,"Sillimanite mins, chamotte, dinas earth",,,,3999.0,6692.0,2258.0,1168.0,,,
Italy,exports,sillimanite_minerals,"Sillimanite minerals, crude & calcined",,,,20.0,27.0,0.0,25.0,0.0,0.0,734.0
Italy,exports,sillimanite_minerals,"Sillimanite minerals, other",,,,40.0,21.0,97.0,45.0,0.0,0.0,273.0
Italy,exports,sillimanite_minerals,,533.0,948.0,,,,,,,,
Japan,exports,sillimanite_minerals,"Sillimanite mins, chamotte, dinas earth",4122.0,3995.0,5204.0,10676.0,20768.0,8592.0,10165.0,16496.0,16470.0,22721.0
Netherlands,exports,sillimanite_minerals,"Sillimanite minerals, crude",,,,0.0,50.0,162.0,458.0,413.0,54.0,275.0
Netherlands,exports,sillimanite_minerals,"Sillimanite minerals, other",,,,1321.0,2332.0,1595.0,1356.0,267.0,207.0,244.0
New Zealand,exports,sillimanite_minerals,,,,,,,,,,,0.0
South Africa,exports,sillimanite_minerals,Andalusite,21491.0,18413.0,10649.0,16637.0,18759.0,23773.0,16357.0,71739.0,54457.0,69810.0
South Africa,exports,sillimanite_minerals,Sillimanite,28220.0,18660.0,8824.0,15363.0,18737.0,16524.0,12960.0,14235.0,14195.0,19672.0
USA,exports,sillimanite_minerals,Kyanite & related minerals,21794.0,28625.0,67051.0,85016.0,123361.0,136412.0,57451.0,35254.0,51000.0,58000.0
United Kingdom,exports,sillimanite_minerals,"Sillimanite mins, chamotte, dinas earth",14091.0,13911.0,9928.0,6875.0,8349.0,5921.0,,,,
United Kingdom,exports,sillimanite_minerals,,518.0,366.0,170.0,732.0,,,4126.0,4601.0,4959.0,4889.0
