Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,exports,silver,Metal                                             ,225989.0,235092.0,250203.0,224000.0,198601.0,204691.0,320539.0,215817.0,374792.0,428000.0
Australia,exports,silver,Ores & concentrates                               ,,,,,22255.0,0.0,13834.0,,,
Austria,exports,silver,Metal                                             ,50403.0,144442.0,108725.0,47698.0,45608.0,41576.0,52016.0,54900.0,57500.0,133700.0
Belgium-Luxembourg,exports,silver,Metal                                             ,1283609.0,1149307.0,1545299.0,923450.0,1160816.0,1403148.0,1313552.0,1229800.0,773400.0,53900.0
Belgium-Luxembourg,exports,silver,Ores & concentrates                               ,,,,,,,44000.0,500.0,239000.0,22500.0
Bolivia,exports,silver,Metal                                             ,46376.0,41353.0,42242.0,97637.0,86536.0,80974.0,69882.0,72310.0,79256.0,73206.0
Bolivia,exports,silver,Ores & concentrates                               ,1232102.0,769016.0,1487000.0,2744608.0,2204297.0,2627661.0,3742531.0,2307449.0,1641817.0,1737576.0
Brazil,exports,silver,Metal                                             ,,38517.0,48643.0,40564.0,91479.0,114752.0,57024.0,58534.0,48772.0,35385.0
Brazil,exports,silver,Ores & concentrates                               ,,,,,,,,,,894812.0
Bulgaria,exports,silver,Metal                                             ,,,19000.0,83600.0,35500.0,21300.0,22700.0,14300.0,18800.0,27000.0
Burma,exports,silver,Metal                                             ,4852.0,3826.0,2244.0,,,,,,,
Canada,exports,silver,Metal                                             ,1269762.0,994267.0,1053700.0,1084423.0,1097464.0,1209950.0,1450625.0,1262953.0,1625501.0,1708630.0
Canada,exports,silver,Ores & concentrates                               ,620147.0,509095.0,408841.0,226773.0,142129.0,229119.0,224056.0,216990.0,149445.0,108608.0
Chile,exports,silver,Metal                                             ,439536.0,426657.0,697638.0,602047.0,624149.0,640119.0,729475.0,731261.0,779744.0,765042.0
China,exports,silver,Metal                                             ,7153.0,11721.0,34134.0,12692.0,22327.0,15970.0,6418.0,26688.0,88574.0,308335.0
China,exports,silver,Ores & concentrates                               ,,,,,,,,,,
Denmark,exports,silver,Metal                                             ,43220.0,41215.0,34579.0,19712.0,13565.0,13133.0,56957.0,60194.0,97904.0,20456.0
Dominican Republic,exports,silver,Metal                                             ,22861.0,21955.0,13471.0,1201.0,9209.0,21066.0,17018.0,12407.0,7409.0,3140.0
Estonia,exports,silver,Metal                                             ,,,,,,,,,,170.0
Ethiopia,exports,silver,Metal                                             ,,,,,,,,,500.0,689.0
Finland,exports,silver,Metal                                             ,26000.0,25000.0,26000.0,45000.0,26000.0,18000.0,24000.0,25785.0,7447.0,8300.0
France,exports,silver,Metal                                             ,1015259.0,1098455.0,748796.0,736993.0,916209.0,1143329.0,1072677.0,908700.0,725000.0,615700.0
France,exports,silver,Ores & concentrates                               ,,,,,,,,,,
France,exports,silver,Waste & scrap                                     ,269666.0,213990.0,208346.0,,,369949.0,827476.0,1098369.0,612503.0,
German Democratic Rep,exports,silver,Metal                                             ,138900.0,,,,,,,,,
German Federal Republic,exports,silver,Metal                                             ,1817287.0,,,,,,,,,
Germany,exports,silver,Metal                                             ,,1431971.0,1107127.0,1258687.0,1223059.0,1375651.0,1020727.0,1168100.0,2022300.0,2252100.0
Greece,exports,silver,Metal                                             ,2.0,336.0,,,,,,,,2741.0
Honduras,exports,silver,Ores & concentrates                               ,30866.0,42033.0,35353.0,24171.0,27634.0,30202.0,36378.0,42809.0,42898.0,46473.0
Hong Kong,exports,silver,Metal                                             ,31126.0,55009.0,67240.0,70372.0,86187.0,60118.0,43121.0,50419.0,345428.0,1399377.0
Hong Kong,exports,silver,Waste & scrap                                     ,31576.0,1448.0,,,,,,,,
Hungary,exports,silver,Metal                                             ,,,,,,,,456.0,489.0,457.0
India,exports,silver,Metal                                             ,,,,,768.0,780.0,1040.0,5149.0,2775.0,67.0
Indonesia,exports,silver,Metal                                             ,,82.0,772.0,12235.0,196019.0,73719.0,61133.0,55788.0,164350.0,170468.0
Indonesia,exports,silver,Ores & concentrates                               ,,,,,,,,,,58083.0
Israel,exports,silver,Metal                                             ,,,,200.0,600.0,,2200.0,8500.0,1600.0,
Italy,exports,silver,Metal                                             ,357700.0,479315.0,313216.0,257121.0,285194.0,,,453461.0,569198.0,447420.0
Japan,exports,silver,Metal                                             ,153660.0,205795.0,421234.0,214059.0,222401.0,206058.0,217256.0,316901.0,368422.0,456783.0
Japan,exports,silver,Waste & scrap                                     ,12000.0,7717.0,2849.0,19418.0,12274.0,14158.0,110.0,164140.0,187317.0,252129.0
Kazakhstan,exports,silver,Metal                                             ,,,,606500.0,507900.0,90694.0,132154.0,254209.0,582600.0,636300.0
Korea (Rep. of),exports,silver,Metal                                             ,100411.0,79700.0,200161.0,108033.0,151937.0,239444.0,389495.0,249024.0,454500.0,426346.0
Korea (Rep. of),exports,silver,Ores & concentrates                               ,,,,,,,,,,
"Korea, Dem. P.R. of",exports,silver,Metal                                             ,24400.0,17400.0,12300.0,1000.0,600.0,3200.0,,,7300.0,19100.0
Kyrgyzstan,exports,silver,Metal                                             ,,,,,,,,,2500.0,2919.0
Latvia,exports,silver,Metal                                             ,,,1000.0,2600.0,882.0,1153.0,495.0,,,
Lithuania,exports,silver,Metal                                             ,,,,,,7000.0,20000.0,,,
Malaysia,exports,silver,Metal                                             ,,8451.0,1074.0,13354.0,18010.0,2480.0,12338.0,1833.0,1050.0,3473.0
Mexico,exports,silver,Metal                                             ,1904028.0,1760000.0,1552000.0,1293864.0,1262115.0,,1800451.0,,2345477.0,3594800.0
Mexico,exports,silver,Ores & concentrates                               ,2374656.0,2002569.0,2864110.0,1917997.0,104514.0,370650.0,774000.0,1378586.0,3496444.0,6406000.0
Morocco,exports,silver,Metal                                             ,201024.0,199542.0,8011000.0,,237000.0,242000.0,205000.0,270741.0,,
Namibia,exports,silver,Metal                                             ,90325.0,89000.0,90000.0,72000.0,62000.0,66848.0,42704.0,40188.0,13980.0,0.0
Netherlands,exports,silver,Metal                                             ,105970.0,95918.0,82069.0,79976.0,84515.0,59438.0,,,,
New Zealand,exports,silver,Metal                                             ,12688.0,10278.0,1208.0,762.0,3727.0,931.0,1413.0,3563.0,,
North Macedonia,exports,silver,Metal                                             ,,,,24900.0,5600.0,1000.0,10100.0,11000.0,9300.0,6200.0
Norway,exports,silver,Metal                                             ,33339.0,33633.0,54832.0,55992.0,77286.0,77178.0,106519.0,102917.0,92509.0,122387.0
Oman,exports,silver,Metal                                             ,,,,,,4490.0,3702.0,3471.0,617.0,0.0
Papua New Guinea,exports,silver,Metal                                             ,114543.0,124484.0,95498.0,96095.0,77758.0,68306.0,58131.0,45426.0,65247.0,64500.0
Peru,exports,silver,Metal                                             ,496000.0,519400.0,625200.0,575400.0,584800.0,658083.0,710930.0,686932.0,792233.0,1008168.0
Philippines,exports,silver,Metal                                             ,1104.0,0.0,19889.0,1519.0,1304.0,6887.0,2541.0,5470.0,6868.0,
Philippines,exports,silver,Ores & concentrates                               ,27270.0,21096.0,18185.0,17850.0,20210.0,20948.0,9821.0,7803.0,,
