Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Albania,exports,sulphur_and_pyrites,Pyrites,,,,,,,,,,0.0
Algeria,exports,sulphur_and_pyrites,Pyrites,2000.0,25510.0,35440.0,24852.0,74109.0,236012.0,,,,
Australia,exports,sulphur_and_pyrites,Zinc concentrates,123700.0,96108.0,70300.0,107200.0,105800.0,87500.0,116500.0,87900.0,119800.0,96500.0
Belgium-Luxembourg,exports,sulphur_and_pyrites,Pyrites,1456.0,169.0,5233.0,1235.0,545.0,312.0,57.0,412.0,53.0,522.0
Belgium-Luxembourg,exports,sulphur_and_pyrites,"Sulphur, crude",6440.0,6776.0,8914.0,18549.0,18651.0,23804.0,36525.0,17255.0,10026.0,11578.0
Belgium-Luxembourg,exports,sulphur_and_pyrites,"Sulphur, refined",52.0,208.0,77.0,2842.0,,,,,,
Belgium-Luxembourg,exports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,108.0,92.0,113.0,99.0,635.0,42.0
Bolivia,exports,sulphur_and_pyrites,Sulphur,16313.0,10487.0,10215.0,56393.0,41778.0,21921.0,14883.0,6276.0,14726.0,13532.0
Canada,exports,sulphur_and_pyrites,Pyrites,,,,,283000.0,75000.0,,,26000.0,
Canada,exports,sulphur_and_pyrites,Sulphur,2711069.0,2402128.0,2583702.0,3492461.0,4252206.0,3284329.0,3719992.0,4291032.0,4984546.0,5154832.0
Colombia,exports,sulphur_and_pyrites,Sulphur,,,,,,,,,5.0,1031.0
Cyprus,exports,sulphur_and_pyrites,Pyrites,,,,,,,146853.0,174361.0,123671.0,143224.0
Cyprus,exports,sulphur_and_pyrites,Pyrites - cupreous,96049.0,74513.0,51923.0,33403.0,23334.0,19778.0,,,,
Cyprus,exports,sulphur_and_pyrites,Pyrites - iron,818107.0,611842.0,455261.0,363771.0,287160.0,408632.0,,,,
Denmark,exports,sulphur_and_pyrites,Sulphur,,,,,,,,,26.0,24.0
Denmark,exports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,1.0,971.0,3621.0,5409.0,,
Finland,exports,sulphur_and_pyrites,Pyrites,,,,,,,,1633.0,,13.0
Finland,exports,sulphur_and_pyrites,Sulphur,68177.0,37643.0,33670.0,31022.0,,,17630.0,,,
Finland,exports,sulphur_and_pyrites,"Sulphur, crude",,,,,8475.0,1423.0,,,,
Finland,exports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,11729.0,9500.0,,,,
France,exports,sulphur_and_pyrites,Other,3504.0,3616.0,2980.0,4526.0,,,,,,
France,exports,sulphur_and_pyrites,Precipitated,35.0,85.0,48.0,72.0,1.0,9.0,34.0,4.0,7.0,157.0
France,exports,sulphur_and_pyrites,Sublimed,2214.0,9149.0,5959.0,2802.0,3073.0,3327.0,2660.0,5847.0,3605.0,2843.0
France,exports,sulphur_and_pyrites,"Sulphur, crude",1137125.0,948267.0,1000204.0,864872.0,870299.0,538715.0,740815.0,941767.0,1154784.0,1245258.0
France,exports,sulphur_and_pyrites,"Sulphur, refined",1027.0,1040.0,933.0,842.0,993.0,543.0,681.0,840.0,194.0,361.0
German Federal Republic,exports,sulphur_and_pyrites,Pyrites,271.0,412.0,488.0,448.0,594.0,500.0,3863.0,636.0,1361.0,
German Federal Republic,exports,sulphur_and_pyrites,Sulphur,37027.0,46715.0,48526.0,71099.0,,,,,,
German Federal Republic,exports,sulphur_and_pyrites,"Sulphur, crude",,,,,140525.0,199018.0,144197.0,341928.0,304693.0,356669.0
German Federal Republic,exports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,3756.0,2516.0,2420.0,2496.0,1568.0,1238.0
Greece,exports,sulphur_and_pyrites,Sulphur,9542.0,3174.0,2272.0,22000.0,10125.0,10020.0,9532.0,23937.0,20259.0,10756.0
India,exports,sulphur_and_pyrites,"Sulphur, crude",,,,,,327.0,311.0,553.0,791.0,271.0
India,exports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,377.0,488.0,172.0,204.0,207.0
Iran,exports,sulphur_and_pyrites,Sublimed,59927.0,464029.0,488898.0,284631.0,,,,,,
Iran,exports,sulphur_and_pyrites,Sulphur,,,,,,,,,65065.0,22001.0
Iran,exports,sulphur_and_pyrites,"Sulphur, crude",139332.0,,,121244.0,60807.0,84535.0,30971.0,210009.0,,
Iran,exports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,211144.0,43323.0,287346.0,,,
Italy,exports,sulphur_and_pyrites,Other,,,,,5960.0,4245.0,2870.0,3577.0,,
Italy,exports,sulphur_and_pyrites,Pyrites,19386.0,26877.0,11438.0,6901.0,54696.0,40314.0,13632.0,23832.0,3189.0,3379.0
Italy,exports,sulphur_and_pyrites,"Sulphur, crude",551.0,24.0,84.0,111.0,1167.0,50.0,303.0,60.0,3612.0,5449.0
