Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,talc,,106271.0,115967.0,121264.0,84271.0,127230.0,125015.0,129190.0,142590.0,144821.0,
Belgium,exports,talc,,128526.0,125040.0,109253.0,114645.0,102599.0,85906.0,86806.0,95803.0,101016.0,
Czech Republic,exports,talc,,169.0,298.0,214.0,270.0,375.0,437.0,386.0,428.0,385.0,
Denmark,exports,talc,,409.0,235.0,,,,,,,,
Finland,exports,talc,,222000.0,259000.0,249000.0,243000.0,262000.0,224000.0,265000.0,258000.0,292000.0,
France,exports,talc,,270494.0,269518.0,271399.0,273414.0,285681.0,272115.0,302954.0,308349.0,294200.0,
Germany,exports,talc,,4773.0,6243.0,5274.0,5374.0,7724.0,18412.0,20699.0,21472.0,11778.0,
Greece,exports,talc,,2809.0,4086.0,9312.0,6997.0,7107.0,7106.0,4176.0,3815.0,4376.0,
Hungary,exports,talc,,173.0,51.0,69.0,413.0,,,,,,
Italy,exports,talc,,143236.0,135418.0,140618.0,144432.0,141343.0,149622.0,150444.0,155563.0,168967.0,
Lithuania,exports,talc,,350.0,111.0,,,,,,,,
Netherlands,exports,talc,,173042.0,147492.0,150456.0,145912.0,166925.0,175493.0,159357.0,181212.0,191530.0,
North Macedonia,exports,talc,,636.0,648.0,380.0,618.0,368.0,318.0,281.0,390.0,373.0,
Norway,exports,talc,,728.0,2204.0,535.0,648.0,,,,,,
Poland,exports,talc,,869.0,744.0,830.0,825.0,520.0,588.0,513.0,637.0,1796.0,
Portugal,exports,talc,,4316.0,2526.0,2224.0,1740.0,2966.0,2485.0,1960.0,2318.0,2146.0,
Romania,exports,talc,,,,,,9.0,33.0,38.0,569.0,97.0,
Slovakia,exports,talc,,47.0,38.0,25.0,939.0,1019.0,844.0,513.0,424.0,2489.0,
Slovenia,exports,talc,,,,138.0,215.0,195.0,628.0,1867.0,1294.0,16007.0,
Spain,exports,talc,,11206.0,28971.0,9844.0,8823.0,8391.0,8839.0,8005.0,16840.0,12216.0,
Sweden,exports,talc,,9014.0,8308.0,4598.0,4915.0,3598.0,3384.0,1919.0,2604.0,2872.0,
Turkey,exports,talc,,2865.0,2711.0,2635.0,3401.0,3380.0,2474.0,2775.0,3680.0,4843.0,
United Kingdom,exports,talc,,3074.0,3171.0,5026.0,4681.0,3570.0,4590.0,5557.0,3264.0,2759.0,2027.0
