Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,exports,tin,Concentrates                                      ,677.0,572.0,534.0,404.0,,,,,,
Argentina,exports,tin,Tin-silver ore,4462.0,3909.0,4272.0,2353.0,3786.0,1918.0,2097.0,2011.0,2846.0,1406.0
Australia,exports,tin,Concentrates                                      ,3720.0,3325.0,4719.0,4495.0,4295.0,4521.0,3363.0,5126.0,7015.0,6435.0
Australia,exports,tin,Unwrought                                         ,1107.0,1943.0,3346.0,2937.0,2519.0,2470.0,2315.0,2320.0,2146.0,2108.0
Austria,exports,tin,Unwrought                                         ,64.0,4.0,12.0,21.0,42.0,42.0,53.0,2.0,38.0,10.0
Belgium-Luxembourg,exports,tin,Scrap                                             ,,,,,,110.0,51.0,98.0,149.0,92.0
Belgium-Luxembourg,exports,tin,Unwrought                                         ,3043.0,2696.0,2083.0,1866.0,1670.0,1831.0,3231.0,2454.0,2343.0,2301.0
Belgium-Luxembourg,exports,tin,Unwrought alloys                                  ,58.0,28.0,24.0,76.0,179.0,76.0,102.0,161.0,74.0,72.0
Bolivia,exports,tin,Concentrates                                      ,27836.0,23463.0,23778.0,21544.0,21906.0,18944.0,20487.0,18413.0,13818.0,11304.0
Bolivia,exports,tin,Unwrought                                         ,299.0,6816.0,6556.0,6866.0,7049.0,7497.0,9868.0,12345.0,15461.0,15313.0
Brazil,exports,tin,Unwrought                                         ,0.0,1053.0,1387.0,1215.0,2655.0,3491.0,1845.0,2112.0,1665.0,1076.0
Burma,exports,tin,Concentrates                                      ,84.0,441.0,247.0,317.0,332.0,886.0,1740.0,1213.0,1447.0,1766.0
Canada,exports,tin,Concentrates                                      ,268.0,217.0,142.0,340.0,1316.0,1052.0,796.0,876.0,943.0,713.0
China,exports,tin,Unwrought                                         ,4900.0,6500.0,8400.0,10000.0,10200.0,13000.0,7000.0,3400.0,5400.0,7100.0
Czechoslovakia,exports,tin,Concentrates                                      ,,,,,,,219.0,184.0,111.0,123.0
Denmark,exports,tin,Scrap                                             ,,,,,,12.0,92.0,161.0,3.0,546.0
Denmark,exports,tin,Unwrought                                         ,112.0,154.0,66.0,35.0,73.0,27.0,43.0,30.0,37.0,28.0
Denmark,exports,tin,Unwrought alloys                                  ,1190.0,1459.0,970.0,970.0,1108.0,1123.0,609.0,835.0,620.0,740.0
France,exports,tin,Concentrates                                      ,406.0,486.0,450.0,420.0,208.0,81.0,54.0,18.0,10.0,7.0
France,exports,tin,Scrap                                             ,,,,,,228.0,538.0,753.0,717.0,881.0
France,exports,tin,Unwrought                                         ,122.0,94.0,60.0,54.0,399.0,251.0,80.0,259.0,739.0,564.0
France,exports,tin,Unwrought alloys                                  ,174.0,291.0,227.0,192.0,121.0,230.0,185.0,164.0,129.0,102.0
German Federal Republic,exports,tin,Scrap                                             ,,,,,,207.0,211.0,120.0,88.0,52.0
German Federal Republic,exports,tin,Unwrought                                         ,877.0,1180.0,1225.0,1549.0,1167.0,1311.0,1505.0,3577.0,4353.0,5350.0
German Federal Republic,exports,tin,Unwrought alloys                                  ,,,,,415.0,406.0,698.0,785.0,460.0,520.0
Hong Kong,exports,tin,Unwrought                                         ,,,79.0,50.0,37.0,248.0,65.0,135.0,223.0,749.0
Indonesia,exports,tin,Concentrates                                      ,13517.0,8750.0,10945.0,9294.0,11752.0,10056.0,1526.0,1968.0,976.0,1624.0
Indonesia,exports,tin,Scrap                                             ,,,,,,2965.0,14517.0,2695.0,676.0,475.0
Indonesia,exports,tin,Unwrought                                         ,4252.0,9892.0,9997.0,14173.0,15412.0,5772.0,2875.0,21314.0,22859.0,26274.0
Italy,exports,tin,Scrap                                             ,,,,,,95.0,9.0,97.0,24.0,131.0
Italy,exports,tin,Unwrought                                         ,233.0,258.0,97.0,62.0,476.0,462.0,138.0,251.0,228.0,123.0
Jamaica,exports,tin,Scrap                                             ,,,,,,,,25586.0,472.0,327.0
Japan,exports,tin,Unwrought                                         ,393.0,509.0,349.0,376.0,813.0,220.0,56.0,205.0,66.0,84.0
Laos,exports,tin,Concentrates                                      ,784.0,1005.0,1150.0,1197.0,964.0,426.0,438.0,264.0,72.0,42.0
Malaysia,exports,tin,Concentrates                                      ,696.0,502.0,,,,,,,,
Malaysia,exports,tin,Unwrought                                         ,91933.0,86639.0,89207.0,81537.0,85715.0,77947.0,81527.0,66517.0,70189.0,72113.0
Netherlands,exports,tin,Scrap                                             ,,,,,,434.0,742.0,698.0,549.0,513.0
Netherlands,exports,tin,Unwrought                                         ,5437.0,3096.0,1214.0,1592.0,1707.0,1135.0,1439.0,852.0,437.0,525.0
Netherlands,exports,tin,Unwrought alloys                                  ,296.0,,,,,,,906.0,837.0,750.0
Niger,exports,tin,Concentrates                                      ,20.0,14.0,144.0,140.0,120.0,127.0,63.0,90.0,72.0,63.0
Nigeria,exports,tin,Unwrought                                         ,10903.0,8433.0,6849.0,5251.0,5761.0,4729.0,3419.0,2169.0,2093.0,2600.0
Norway,exports,tin,Scrap                                             ,,,,,,,,,59.0,35.0
Norway,exports,tin,Unwrought                                         ,229.0,204.0,184.0,222.0,280.0,42.0,65.0,99.0,,
Peru,exports,tin,Concentrates                                      ,114.0,147.0,143.0,96.0,,703.0,759.0,754.0,1786.0,2355.0
Portugal,exports,tin,Unwrought                                         ,77.0,14.0,17.0,38.0,9.0,10.0,,,,
Rwanda,exports,tin,Concentrates                                      ,,,1495.0,1258.0,1401.0,1326.0,1370.0,1607.0,2137.0,1876.0
Singapore,exports,tin,Concentrates                                      ,2508.0,2586.0,2313.0,2841.0,1629.0,2343.0,5498.0,10440.0,8271.0,6382.0
Singapore,exports,tin,Unwrought                                         ,62.0,121.0,55.0,160.0,137.0,108.0,1372.0,2702.0,7096.0,9835.0
Singapore,exports,tin,Unwrought alloys                                  ,196.0,338.0,280.0,508.0,504.0,459.0,735.0,742.0,751.0,781.0
South Africa,exports,tin,Concentrates                                      ,1443.0,1470.0,1382.0,1613.0,1768.0,2273.0,1768.0,2386.0,2212.0,1487.0
South Africa,exports,tin,Unwrought                                         ,,,,,,,,,,750.0
Spain,exports,tin,Scrap                                             ,,,,,,33.0,124.0,121.0,37.0,94.0
