Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Australia,exports,titanium,Ilmenite                                          ,1058712.0,907810.0,879317.0,816933.0,1172986.0,1151921.0,1034209.0,1045497.0,1046000.0,1001000.0
Australia,exports,titanium,Leucoxene                                         ,24207.0,15055.0,14016.0,9276.0,30959.0,16779.0,13474.0,10685.0,12976.0,23000.0
Australia,exports,titanium,Oxides                                            ,16400.0,19800.0,19800.0,24800.0,27700.0,24900.0,29500.0,28900.0,26500.0,38673.0
Australia,exports,titanium,Rutile                                            ,315314.0,216048.0,199296.0,217662.0,191507.0,211723.0,229665.0,256781.0,238000.0,252000.0
Austria,exports,titanium,Metal                                             ,,,,,,,,,6998.0,3388.0
Austria,exports,titanium,Oxides                                            ,,,,,,,,,1695.0,1923.0
Belgium-Luxembourg,exports,titanium,Metal                                             ,110.0,103.0,113.0,137.0,185.0,173.0,109.0,213.0,243.0,293.0
Belgium-Luxembourg,exports,titanium,Oxides                                            ,56755.0,66727.0,55834.0,64101.0,62784.0,68898.0,70850.0,71343.0,100548.0,108579.0
Belgium-Luxembourg,exports,titanium,Titanium minerals                                 ,2814.0,,,,,,,,,
Brazil,exports,titanium,Titanium minerals                                 ,,,,0.0,2002.0,2832.0,5474.0,6600.0,,2643.0
Canada,exports,titanium,Metal                                             ,698.0,1899.0,643.0,702.0,363.0,480.0,597.0,493.0,440.0,480.0
Canada,exports,titanium,Oxides                                            ,9367.0,14252.0,19878.0,23190.0,23779.0,24151.0,22235.0,15905.0,32470.0,44536.0
Canada,exports,titanium,Titanium minerals & slag                          ,,700000.0,600000.0,,,,,1058700.0,1172900.0,1169600.0
Canada,exports,titanium,Titanium slag                                     ,800000.0,,,500000.0,600000.0,750000.0,850000.0,,,
China,exports,titanium,Metal                                             ,,,,50.0,200.0,400.0,100.0,400.0,900.0,800.0
China,exports,titanium,Oxides                                            ,1700.0,1900.0,2500.0,2000.0,2400.0,3900.0,6300.0,10400.0,25400.0,23800.0
China,exports,titanium,Titanium minerals                                 ,,,,,,,,,,25800.0
Czechoslovakia,exports,titanium,Oxides                                            ,2100.0,800.0,2600.0,3700.0,2800.0,2600.0,3300.0,3500.0,2500.0,3700.0
Finland,exports,titanium,Oxides                                            ,36100.0,32000.0,30000.0,61959.0,46400.0,46500.0,50400.0,52800.0,55000.0,58900.0
France,exports,titanium,Metal                                             ,734.0,1185.0,700.0,969.0,1188.0,1717.0,1189.0,881.0,2143.0,3115.0
France,exports,titanium,Oxides                                            ,107461.0,126407.0,118413.0,141958.0,148788.0,155082.0,161104.0,156571.0,160887.0,167340.0
France,exports,titanium,Titanium minerals                                 ,2160.0,1070.0,105.0,235.0,95.0,247.0,108.0,1785.0,481.0,4735.0
German Federal Republic,exports,titanium,Ilmenite                                          ,3149.0,5186.0,2026.0,16.0,788.0,7556.0,920.0,348.0,1112.0,1380.0
German Federal Republic,exports,titanium,Metal                                             ,2234.0,2132.0,1817.0,2300.0,2325.0,1868.0,1276.0,1415.0,2370.0,3778.0
German Federal Republic,exports,titanium,Other titanium minerals                           ,6114.0,3545.0,3351.0,6636.0,7551.0,7520.0,4144.0,3494.0,2634.0,3467.0
German Federal Republic,exports,titanium,Oxides                                            ,185349.0,215703.0,208495.0,210506.0,209287.0,220838.0,229431.0,235606.0,236833.0,229693.0
Germany,exports,titanium,Ilmenite                                          ,,,,,,,,,,
Germany,exports,titanium,Metal                                             ,,,,,,,,,,
Germany,exports,titanium,Other titanium minerals                           ,,,,,,,,,,
Germany,exports,titanium,Oxides                                            ,,,,,,,,,,
Hong Kong,exports,titanium,Oxides                                            ,2529.0,2554.0,1814.0,2055.0,1926.0,2743.0,2840.0,4784.0,13210.0,14544.0
India,exports,titanium,Ilmenite                                          ,11306.0,49702.0,40167.0,23625.0,7852.0,17956.0,14605.0,42352.0,119108.0,92983.0
India,exports,titanium,Oxides                                            ,242.0,,,,,,,,,
India,exports,titanium,Titanium minerals                                 ,,,,,,,,,,
Italy,exports,titanium,Metal                                             ,103.0,63.0,134.0,182.0,200.0,130.0,211.0,156.0,454.0,900.0
Italy,exports,titanium,Oxides                                            ,19733.0,31895.0,11100.0,14500.0,17900.0,22700.0,25500.0,23000.0,29400.0,37700.0
Italy,exports,titanium,Titanium minerals                                 ,96.0,54.0,1174.0,536.0,990.0,1906.0,1335.0,31.0,1280.0,440.0
Japan,exports,titanium,Metal                                             ,8065.0,10005.0,7503.0,6044.0,9700.0,7330.0,6143.0,7073.0,10759.0,13584.0
Japan,exports,titanium,Oxides                                            ,46343.0,45491.0,58241.0,60351.0,59923.0,61662.0,69346.0,78441.0,81495.0,86433.0
Japan,exports,titanium,Titanium minerals                                 ,,,,,,,,,,
Korea (Rep. of),exports,titanium,Oxides                                            ,,,1990.0,2395.0,1796.0,2148.0,1497.0,3215.0,3921.0,5936.0
Korea (Rep. of),exports,titanium,Titanium minerals                                 ,,,,,,,,43593.0,147350.0,146708.0
Malaysia,exports,titanium,Ilmenite                                          ,199486.0,176432.0,77159.0,207297.0,224042.0,249218.0,397696.0,302587.0,367363.0,352192.0
Mexico,exports,titanium,Oxides                                            ,,,,,,,,,20547.0,21111.0
Netherlands,exports,titanium,Ilmenite                                          ,4174.0,1919.0,657.0,617.0,769.0,739.0,525.0,3087.0,2426.0,1975.0
Netherlands,exports,titanium,Metal                                             ,77.0,154.0,101.0,36.0,115.0,73.0,61.0,48.0,104.0,289.0
Netherlands,exports,titanium,Other titanium minerals                           ,22212.0,19827.0,21520.0,40983.0,46890.0,29925.0,35208.0,64248.0,52808.0,46833.0
Netherlands,exports,titanium,Oxides                                            ,25300.0,31776.0,26584.0,29624.0,32863.0,35060.0,35955.0,33891.0,40508.0,41526.0
Norway,exports,titanium,Oxides                                            ,1137.0,1110.0,1179.0,2996.0,8300.0,9800.0,8900.0,14900.0,12900.0,18800.0
Norway,exports,titanium,Titanium minerals                                 ,779741.0,619329.0,470223.0,519611.0,599214.0,641910.0,693265.0,715915.0,692879.0,678364.0
Sierra Leone,exports,titanium,Rutile                                            ,27687.0,27375.0,38000.0,46216.0,94677.0,77931.0,120542.0,115000.0,114000.0,140000.0
Singapore,exports,titanium,Oxides                                            ,,,,,,821.0,1445.0,1461.0,2683.0,3452.0
South Africa,exports,titanium,Oxides                                            ,,,,,,,,,2700.0,2900.0
South Africa,exports,titanium,Titanium minerals                                 ,,,,,,,,,55500.0,91500.0
South Africa,exports,titanium,Titanium minerals & slag                          ,183001.0,186871.0,186000.0,181000.0,218000.0,222000.0,243000.0,,,
South Africa,exports,titanium,Titanium slag                                     ,,,,,,,,,379400.0,494000.0
Soviet Union,exports,titanium,Metal                                             ,2800.0,1500.0,1300.0,1200.0,700.0,1200.0,700.0,700.0,3200.0,5200.0
Spain,exports,titanium,Oxides                                            ,25745.0,21991.0,42716.0,39124.0,46813.0,39934.0,23997.0,26836.0,21943.0,23811.0
Sri Lanka,exports,titanium,Ilmenite                                          ,23970.0,32816.0,14144.0,11190.0,96066.0,134550.0,139400.0,105000.0,94700.0,115300.0
Sri Lanka,exports,titanium,Rutile                                            ,,,0.0,0.0,0.0,6800.0,11860.0,0.0,5982.0,4500.0
Sweden,exports,titanium,Metal                                             ,506.0,603.0,428.0,510.0,628.0,430.0,288.0,402.0,445.0,536.0
Sweden,exports,titanium,Oxides                                            ,,184.0,303.0,438.0,671.0,568.0,608.0,651.0,637.0,426.0
Sweden,exports,titanium,Titanium minerals                                 ,23.0,47.0,9.0,,,,,,,
Switzerland,exports,titanium,Metal                                             ,,,,,,,,,174.0,235.0
Switzerland,exports,titanium,Oxides                                            ,,,,,,397.0,139.0,128.0,918.0,1566.0
Taiwan,exports,titanium,Oxides                                            ,789.0,113.0,234.0,7971.0,81.0,29.0,395.0,12.0,501.0,767.0
Thailand,exports,titanium,Ilmenite                                          ,,,,,,,1700.0,31658.0,2909.0,40474.0
USA,exports,titanium,Metal                                             ,8094.0,8816.0,7433.0,7198.0,6727.0,9470.0,16151.0,10899.0,11162.0,13695.0
USA,exports,titanium,Oxides                                            ,41562.0,56661.0,61910.0,84904.0,98340.0,93639.0,105180.0,120896.0,123326.0,213566.0
USA,exports,titanium,Titanium minerals                                 ,16567.0,7004.0,19725.0,4369.0,7867.0,25183.0,4842.0,4024.0,10162.0,20138.0
United Kingdom,exports,titanium,Ilmenite                                          ,,20.0,4.0,0.0,27.0,1125.0,0.0,16187.0,,
United Kingdom,exports,titanium,Metal                                             ,,,,,,2512.0,2094.0,2036.0,3089.0,4592.0
United Kingdom,exports,titanium,Oxides                                            ,108149.0,89409.0,96549.0,119012.0,117190.0,120134.0,136715.0,158537.0,165607.0,169012.0
United Kingdom,exports,titanium,Titanium minerals                                 ,645.0,,,,,,,,,
Yugoslavia,exports,titanium,Oxides                                            ,11353.0,12560.0,12847.0,13867.0,16173.0,16209.0,17961.0,19794.0,20932.0,22410.0
