Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Australia,exports,tungsten,Ores & concentrates                               ,,,,,,,,,2205.0,1887.0
Australia,exports,tungsten,Scheelite ores & concentrates,3715.0,4254.0,3189.0,2355.0,1419.0,1965.0,1683.0,1909.0,,
Australia,exports,tungsten,Wolframite ores & concentrates,2311.0,2093.0,1750.0,1532.0,1741.0,1335.0,843.0,146.0,,
Austria,exports,tungsten,Metal                                             ,1111.0,1243.0,663.0,874.0,1050.0,1485.0,1085.0,823.0,1119.0,1318.0
Austria,exports,tungsten,Ores & concentrates                               ,0.0,0.0,0.0,73.0,25.0,0.0,114.0,60.0,,
Belgium-Luxembourg,exports,tungsten,Metal                                             ,165.0,142.0,128.0,99.0,139.0,253.0,151.0,197.0,204.0,158.0
Bolivia,exports,tungsten,Ores & concentrates                               ,3435.0,3091.0,1860.0,3986.0,3702.0,2500.0,2279.0,1827.0,1478.0,1972.0
Brazil,exports,tungsten,Ores & concentrates                               ,782.0,1741.0,,1482.0,970.0,514.0,137.0,,,
Burma,exports,tungsten,Ores & concentrates                               ,1278.0,767.0,1983.0,1533.0,1978.0,920.0,1457.0,823.0,592.0,550.0
Canada,exports,tungsten,Ores & concentrates                               ,,,,,3400.0,2800.0,1400.0,,,
Canada,exports,tungsten,,2900.0,1800.0,2600.0,300.0,,,,,,
China,exports,tungsten,Ammonium paratungstate                            ,,,,,,,,,,
China,exports,tungsten,Carbide                                           ,,,,,,,,,220.0,250.0
China,exports,tungsten,Metal                                             ,,600.0,183.0,65.0,79.0,156.0,365.0,337.0,408.0,791.0
China,exports,tungsten,Ores & concentrates                               ,20000.0,26839.0,11188.0,24990.0,18860.0,21267.0,23624.0,23117.0,27290.0,30901.0
France,exports,tungsten,Carbide                                           ,,120.0,111.0,134.0,201.0,244.0,218.0,169.0,198.0,331.0
France,exports,tungsten,Metal                                             ,267.0,432.0,291.0,398.0,372.0,499.0,427.0,414.0,431.0,443.0
France,exports,tungsten,Ores & concentrates                               ,846.0,760.0,930.0,818.0,522.0,484.0,353.0,242.0,,
German Federal Republic,exports,tungsten,Metal                                             ,704.0,1038.0,712.0,860.0,1129.0,1322.0,1244.0,1225.0,1034.0,1444.0
German Federal Republic,exports,tungsten,Ores & concentrates                               ,139.0,182.0,0.0,,,,,,,
Germany,exports,tungsten,Metal                                             ,,,,,,,,,,
Hong Kong,exports,tungsten,Ores & concentrates                               ,425.0,2197.0,4740.0,0.0,0.0,1717.0,2013.0,3692.0,2008.0,3925.0
Israel,exports,tungsten,Metal                                             ,,0.0,0.0,0.0,669.0,515.0,344.0,,50.0,150.0
Italy,exports,tungsten,Metal                                             ,65.0,93.0,65.0,85.0,100.0,186.0,186.0,240.0,158.0,130.0
Japan,exports,tungsten,Metal                                             ,216.0,242.0,286.0,147.0,195.0,235.0,260.0,269.0,312.0,588.0
Korea (Rep. of),exports,tungsten,Carbide                                           ,283.0,311.0,282.0,303.0,428.0,543.0,582.0,499.0,574.0,704.0
Korea (Rep. of),exports,tungsten,Metal                                             ,603.0,656.0,385.0,277.0,301.0,364.0,261.0,288.0,328.0,526.0
