Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,exports,vanadium,Pentoxide                                         ,80.0,116.0,,,,,,,,
Czech Republic,exports,vanadium,Pentoxide                                         ,,,,,0.0,30.0,0.0,111.0,2.0,
France,exports,vanadium,Pentoxide                                         ,,,,,,,,,,
Germany,exports,vanadium,Metal                                             ,248.0,429.0,560.0,487.0,369.0,379.0,351.0,581.0,570.0,
Italy,exports,vanadium,Metal                                             ,37.0,1.0,,,477.0,1606.0,938.0,700.0,,
Netherlands,exports,vanadium,Pentoxide                                         ,122.0,186.0,328.0,492.0,314.0,284.0,381.0,61.0,210.0,
Spain,exports,vanadium,Pentoxide                                         ,22.0,774.0,26.0,9.0,102.0,42.0,35.0,3.0,32.0,
Sweden,exports,vanadium,Pentoxide                                         ,,,,,,,,,,
United Kingdom,exports,vanadium,Metal                                             ,23.0,32.0,,,46.0,81.0,45.0,105.0,276.0,
United Kingdom,exports,vanadium,Pentoxide                                         ,694.0,6.0,,,,0.0,0.0,2.0,0.0,0.0
