Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,exports,zinc,Scrap                                             ,5757.0,8583.0,,,,,,,,
Austria,exports,zinc,Unwrought                                         ,8532.0,9776.0,6410.0,11065.0,10933.0,15769.0,13874.0,18962.0,17268.0,
Austria,exports,zinc,Unwrought alloys                                  ,,,,,682.0,595.0,565.0,1476.0,2860.0,
Belgium,exports,zinc,Ores & concentrates                               ,749582.0,725335.0,859086.0,773334.0,840967.0,771726.0,713911.0,649018.0,726411.0,
Belgium,exports,zinc,Scrap                                             ,14540.0,11652.0,,,,,,,,
Belgium,exports,zinc,Unwrought                                         ,155654.0,296197.0,277418.0,244589.0,252548.0,160895.0,208539.0,243087.0,358012.0,
Belgium,exports,zinc,Unwrought alloys                                  ,,154258.0,140766.0,155488.0,183718.0,151371.0,159172.0,160514.0,190153.0,
Bulgaria,exports,zinc,Ores & concentrates                               ,,,0.0,267.0,2163.0,4483.0,7553.0,9600.0,9745.0,
Bulgaria,exports,zinc,Scrap                                             ,1949.0,2021.0,,,,,,,,
Bulgaria,exports,zinc,Unwrought                                         ,81332.0,71894.0,57768.0,54272.0,60880.0,62920.0,73049.0,65744.0,66341.0,
Croatia,exports,zinc,Scrap                                             ,518.0,676.0,,,,,,,,
Czech Republic,exports,zinc,Scrap                                             ,4798.0,4189.0,,,,,,,,
Czech Republic,exports,zinc,Unwrought                                         ,5148.0,5147.0,7407.0,13112.0,59970.0,50380.0,3227.0,4416.0,3494.0,
Czech Republic,exports,zinc,Unwrought alloys                                  ,,,,,1377.0,667.0,356.0,337.0,120.0,
Denmark,exports,zinc,Scrap                                             ,2563.0,2468.0,,,,,,,,
Denmark,exports,zinc,Unwrought                                         ,318.0,635.0,789.0,1060.0,,,,,,
Estonia,exports,zinc,Unwrought alloys                                  ,,,,,,,,,,
Finland,exports,zinc,Ores & concentrates                               ,22479.0,50656.0,39555.0,29613.0,15395.0,10334.0,42920.0,67052.0,90955.0,
Finland,exports,zinc,Scrap                                             ,1369.0,1215.0,,,,,,,,
Finland,exports,zinc,Unwrought                                         ,266738.0,265686.0,271313.0,272632.0,261419.0,242261.0,236156.0,236822.0,242262.0,
Finland,exports,zinc,Unwrought alloys                                  ,,,,,2003.0,2332.0,1175.0,460.0,475.0,
France,exports,zinc,Ores & concentrates                               ,49652.0,54609.0,62111.0,97317.0,81569.0,62559.0,64781.0,76457.0,102049.0,
France,exports,zinc,Scrap                                             ,51755.0,42736.0,,,,,,,,
France,exports,zinc,Unwrought                                         ,79727.0,105934.0,80747.0,73557.0,119045.0,91214.0,63775.0,89439.0,76417.0,
France,exports,zinc,Unwrought alloys                                  ,1851.0,2549.0,1938.0,2333.0,2235.0,3145.0,5081.0,7208.0,7170.0,
Germany,exports,zinc,Ores & concentrates                               ,1674.0,73980.0,39533.0,96369.0,98065.0,91689.0,57186.0,83000.0,89004.0,
Germany,exports,zinc,Scrap                                             ,74208.0,75168.0,,,,,,,,
Germany,exports,zinc,Unwrought                                         ,52483.0,55518.0,59913.0,54476.0,69430.0,53077.0,58983.0,72005.0,73288.0,
Germany,exports,zinc,Unwrought alloys                                  ,31857.0,31170.0,29775.0,27985.0,24342.0,20605.0,19692.0,25664.0,24218.0,
Greece,exports,zinc,Ores & concentrates                               ,14660.0,36016.0,51007.0,41940.0,36764.0,36000.0,33000.0,38550.0,44802.0,
Hungary,exports,zinc,Scrap                                             ,2821.0,2314.0,,,,,,,,
Hungary,exports,zinc,Unwrought                                         ,405.0,527.0,264.0,148.0,1750.0,316.0,151.0,103.0,858.0,
