Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Australia,exports,zirconium,Concentrates                                      ,501812.0,444186.0,405215.0,379975.0,437770.0,495891.0,445690.0,465003.0,464000.0,474000.0
Belgium-Luxembourg,exports,zirconium,Concentrates                                      ,,16.0,83.0,30.0,163.0,102.0,0.0,28.0,509.0,678.0
Belgium-Luxembourg,exports,zirconium,Metal                                             ,,,,,22.0,6.0,14.0,25.0,273.0,21.0
Brazil,exports,zirconium,Concentrates                                      ,,,,,,,,4.0,527.0,9364.0
France,exports,zirconium,Concentrates                                      ,260.0,97.0,18.0,188.0,61.0,175.0,415.0,967.0,3291.0,3286.0
France,exports,zirconium,Metal                                             ,888.0,,,,,,,,,
German Federal Republic,exports,zirconium,Concentrates                                      ,11487.0,12372.0,16379.0,14461.0,18885.0,15051.0,15621.0,15287.0,7913.0,5139.0
German Federal Republic,exports,zirconium,Metal                                             ,50.0,64.0,64.0,86.0,102.0,88.0,104.0,75.0,78.0,59.0
Germany,exports,zirconium,Concentrates                                      ,,,,,,,,,,
Germany,exports,zirconium,Metal                                             ,,,,,,,,,,
Italy,exports,zirconium,Concentrates                                      ,461.0,2925.0,5305.0,5094.0,5112.0,5073.0,8137.0,11137.0,9325.0,5648.0
Italy,exports,zirconium,Metal                                             ,,,,,,,,144.0,230.0,786.0
Malaysia,exports,zirconium,Concentrates                                      ,552.0,1258.0,2270.0,2662.0,2344.0,2499.0,4015.0,11930.0,28263.0,15073.0
Netherlands,exports,zirconium,Concentrates                                      ,24840.0,24414.0,23690.0,22699.0,39582.0,40008.0,36548.0,23788.0,14742.0,15552.0
South Africa,exports,zirconium,Concentrates                                      ,112583.0,92586.0,104938.0,132765.0,148451.0,161339.0,120000.0,99500.0,134800.0,142600.0
Spain,exports,zirconium,Concentrates                                      ,,75.0,23.0,50.0,307.0,300.0,110.0,135.0,641.0,1264.0
Spain,exports,zirconium,Zirconium sand                                    ,,2748.0,790.0,1116.0,2072.0,1841.0,2393.0,1677.0,6095.0,1470.0
Sweden,exports,zirconium,Metal                                             ,,33.0,72.0,81.0,114.0,79.0,126.0,101.0,82.0,89.0
USA,exports,zirconium,Concentrates                                      ,7258.0,10603.0,10032.0,12007.0,8655.0,15334.0,15868.0,20103.0,22966.0,50621.0
USA,exports,zirconium,Metal                                             ,776.0,667.0,811.0,718.0,745.0,1122.0,1111.0,1297.0,1288.0,1375.0
United Kingdom,exports,zirconium,Concentrates                                      ,1811.0,748.0,539.0,596.0,434.0,491.0,315.0,376.0,345.0,844.0
United Kingdom,exports,zirconium,Metal                                             ,,,,,,179.0,123.0,92.0,94.0,216.0
