Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,imports,aggregates_primary,,,,,,6451.0,5499.0,5260.0,3692.0,5244.0,20791.0
Austria,imports,aggregates_primary,,2212656.0,2293185.0,2545866.0,2446023.0,2087667.0,2516839.0,2622855.0,3961223.0,3447013.0,2924359.0
Belgium,imports,aggregates_primary,,,,,,,,22303782.0,21959821.0,25172064.0,22175332.0
Belgium-Luxembourg,imports,aggregates_primary,,23372210.0,23173017.0,17771910.0,19492423.0,20219032.0,20831220.0,,,,
Brazil,imports,aggregates_primary,,2989.0,2554.0,2465.0,,,,,,,
Bulgaria,imports,aggregates_primary,,10339.0,13069.0,17160.0,24578.0,20303.0,17200.0,19383.0,41782.0,41256.0,22189.0
China,imports,aggregates_primary,,86680.0,17284.0,26469.0,,,,,,,
Croatia,imports,aggregates_primary,,,,89920.0,487181.0,2404091.0,4603358.0,3867559.0,4583241.0,4618579.0,1871236.0
Cyprus,imports,aggregates_primary,,4112.0,3104.0,1870.0,3201.0,8400.0,5921.0,11605.0,15497.0,28990.0,11564.0
Czech Republic,imports,aggregates_primary,,258575.0,261199.0,237868.0,206018.0,509217.0,574008.0,690730.0,252049.0,333726.0,398613.0
Denmark,imports,aggregates_primary,,2308202.0,2124031.0,2299752.0,2632665.0,2949549.0,2804325.0,3151321.0,3077714.0,3346209.0,2932586.0
Estonia,imports,aggregates_primary,,396002.0,380156.0,669205.0,464516.0,446019.0,933376.0,932688.0,929218.0,988981.0,1006376.0
Finland,imports,aggregates_primary,,43312.0,44785.0,29163.0,47702.0,75016.0,43488.0,254665.0,326347.0,280600.0,330108.0
France,imports,aggregates_primary,,9710939.0,9295683.0,9666340.0,8239025.0,9431953.0,10264292.0,12064403.0,11381954.0,11214300.0,10907837.0
Germany,imports,aggregates_primary,,19651936.0,15006699.0,13306857.0,11870353.0,11127947.0,11563984.0,11147034.0,11913688.0,13369162.0,12866444.0
Greece,imports,aggregates_primary,,119692.0,29123.0,105277.0,324882.0,199144.0,22026.0,45081.0,341376.0,425485.0,177887.0
Hungary,imports,aggregates_primary,,189014.0,57443.0,241929.0,104705.0,254800.0,446504.0,211927.0,455416.0,806281.0,446187.0
Iceland,imports,aggregates_primary,,,,,,,,,47334.0,30405.0,4846.0
India,imports,aggregates_primary,,3718.0,1199.0,3762.0,,,,,,,
"Ireland, Republic of",imports,aggregates_primary,,1056985.0,989926.0,1121763.0,1036886.0,1269673.0,1444893.0,1687279.0,1729337.0,1368008.0,781470.0
Italy,imports,aggregates_primary,,3395954.0,4014635.0,3324865.0,3368905.0,4102477.0,4331596.0,4655740.0,4967745.0,4139144.0,3654570.0
Latvia,imports,aggregates_primary,,519139.0,543479.0,623854.0,676383.0,629613.0,1320287.0,1412127.0,1663783.0,2033701.0,565877.0
Lithuania,imports,aggregates_primary,,614623.0,964300.0,1096672.0,993051.0,1069921.0,1289117.0,1214058.0,1333772.0,1301091.0,695973.0
Luxembourg,imports,aggregates_primary,,,,,,,,2267636.0,1850515.0,1370991.0,1757604.0
Malta,imports,aggregates_primary,,,,,3828.0,8880.0,4529.0,11666.0,29929.0,25817.0,47363.0
Montenegro,imports,aggregates_primary,,,,,,,,29615.0,50573.0,74112.0,44639.0
Netherlands,imports,aggregates_primary,,32500000.0,36200000.0,44000000.0,45300000.0,37100000.0,40800000.0,25238254.0,26662441.0,26922364.0,25007000.0
North Macedonia,imports,aggregates_primary,,,,,,,,,1331.0,1163.0,894.0
Norway,imports,aggregates_primary,,81128.0,91192.0,66824.0,71837.0,85471.0,67562.0,66708.0,72906.0,80161.0,66884.0
Poland,imports,aggregates_primary,,1158007.0,1428456.0,1252285.0,1527892.0,1756513.0,1775291.0,2976252.0,5566874.0,5868908.0,5349230.0
Portugal,imports,aggregates_primary,,799810.0,750486.0,867165.0,641696.0,790615.0,698717.0,488917.0,731709.0,194088.0,175576.0
Romania,imports,aggregates_primary,,13512.0,123702.0,218348.0,213091.0,370184.0,197911.0,332190.0,352576.0,351123.0,205133.0
Russia,imports,aggregates_primary,,1919198.0,3940110.0,4712387.0,,,,,,,
Serbia,imports,aggregates_primary,,,,,,,,,12978.0,17616.0,12664.0
Slovakia,imports,aggregates_primary,,125093.0,194367.0,188874.0,208515.0,286443.0,828096.0,665844.0,633400.0,755496.0,692609.0
Slovenia,imports,aggregates_primary,,585923.0,491305.0,447327.0,541189.0,532614.0,364091.0,863881.0,3113823.0,1424240.0,1165083.0
Spain,imports,aggregates_primary,,1165081.0,1088430.0,1073979.0,1156484.0,1500565.0,1614616.0,769952.0,1440139.0,1116535.0,1000170.0
Sweden,imports,aggregates_primary,,590255.0,417298.0,838286.0,615470.0,729992.0,810385.0,1135048.0,1068840.0,864988.0,355022.0
Switzerland,imports,aggregates_primary,,6266692.0,6307738.0,6554457.0,6134548.0,6413474.0,6261007.0,6700038.0,7371907.0,7256472.0,7246506.0
Turkey,imports,aggregates_primary,,5634.0,1325.0,2425.0,3660.0,4519.0,7978.0,4661.0,3843.0,4590.0,3636.0
United Kingdom,imports,aggregates_primary,,515406.0,771250.0,986963.0,1494230.0,1543380.0,2160513.0,2905198.0,2806448.0,2631986.0,2054272.0
