Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,imports,antimony,Metal                                             ,120.0,,,,,,,,,
Argentina,imports,antimony,Metal                                             ,207.0,277.0,138.0,,,,,,,
Argentina,imports,antimony,Oxide                                             ,,156.0,71.0,,,,,,,
Australia,imports,antimony,Metal                                             ,265.0,337.0,181.0,,,,,,,
Australia,imports,antimony,Oxide                                             ,533.0,534.0,608.0,,,,,,,
Austria,imports,antimony,Metal                                             ,174.0,205.0,270.0,120.0,53.0,74.0,51.0,104.0,63.0,64.0
Austria,imports,antimony,Oxide                                             ,252.0,146.0,190.0,207.0,316.0,263.0,271.0,277.0,245.0,192.0
Belarus,imports,antimony,Metal                                             ,32.0,39.0,18.0,,,,,,,
Belgium,imports,antimony,Metal                                             ,,,,,,,11543.0,11904.0,8837.0,7511.0
Belgium,imports,antimony,Oxide                                             ,,,,,,,2524.0,2218.0,801.0,624.0
Belgium-Luxembourg,imports,antimony,Metal                                             ,12858.0,11928.0,13379.0,11409.0,12225.0,10722.0,,,,
Belgium-Luxembourg,imports,antimony,Ores & concentrates                               ,66.0,6.0,491.0,,,,,,,
Belgium-Luxembourg,imports,antimony,Oxide                                             ,1612.0,900.0,1583.0,1615.0,1708.0,1735.0,,,,
Brazil,imports,antimony,Metal                                             ,1258.0,1200.0,1131.0,,,,,,,
Brazil,imports,antimony,Oxide                                             ,345.0,536.0,334.0,,,,,,,
Bulgaria,imports,antimony,Metal                                             ,60.0,50.0,48.0,52.0,47.0,,34.0,100.0,,
Canada,imports,antimony,Metal                                             ,481.0,446.0,638.0,,,,,,,
Canada,imports,antimony,Oxide                                             ,2059.0,1776.0,1757.0,,,,,,,
China,imports,antimony,Metal                                             ,472.0,188.0,139.0,,,,,,,
China,imports,antimony,Ores & concentrates                               ,80.0,217.0,13073.0,,,,,,,
China,imports,antimony,Oxide                                             ,1206.0,316.0,410.0,,,,,,,
Colombia,imports,antimony,Metal                                             ,64.0,56.0,55.0,,,,,,,
Czech Republic,imports,antimony,Metal                                             ,2.0,53.0,76.0,45.0,14.0,72.0,82.0,64.0,131.0,55.0
Czech Republic,imports,antimony,Oxide                                             ,429.0,548.0,626.0,365.0,557.0,588.0,503.0,604.0,521.0,209.0
Egypt,imports,antimony,Oxide                                             ,,117.0,,,,,,,,
Finland,imports,antimony,Oxide                                             ,215.0,269.0,238.0,238.0,248.0,199.0,256.0,281.0,160.0,101.0
France,imports,antimony,Metal                                             ,8345.0,6854.0,6645.0,5241.0,8486.0,7766.0,8919.0,8568.0,9078.0,7682.0
France,imports,antimony,Ores & concentrates                               ,8.0,223.0,,,,,,,37.0,26.0
France,imports,antimony,Oxide                                             ,2520.0,2090.0,2093.0,1972.0,2096.0,2243.0,2092.0,3315.0,1923.0,1277.0
Germany,imports,antimony,Metal                                             ,741.0,599.0,309.0,149.0,178.0,148.0,421.0,612.0,700.0,552.0
Germany,imports,antimony,Ores & concentrates                               ,500.0,494.0,,,,,,,,13.0
Germany,imports,antimony,Oxide                                             ,6835.0,6384.0,6915.0,6707.0,7072.0,6560.0,8305.0,8527.0,8672.0,5072.0
Greece,imports,antimony,Metal                                             ,47.0,98.0,40.0,40.0,46.0,24.0,0.0,21.0,63.0,85.0
Greece,imports,antimony,Ores & concentrates                               ,,,44.0,76.0,119.0,95.0,131.0,,,
Greece,imports,antimony,Oxide                                             ,,,,,,,,,,55.0
Hong Kong,imports,antimony,Metal                                             ,1930.0,4580.0,736.0,,,,,,,
Hong Kong,imports,antimony,Oxide                                             ,1184.0,1063.0,1478.0,,,,,,,
Hungary,imports,antimony,Oxide                                             ,,180.0,178.0,150.0,186.0,180.0,139.0,192.0,144.0,173.0
India,imports,antimony,Metal                                             ,1589.0,2584.0,1917.0,,,,,,,
India,imports,antimony,Ores & concentrates                               ,1.0,443.0,196.0,,,,,,,
India,imports,antimony,Oxide                                             ,273.0,342.0,327.0,,,,,,,
Indonesia,imports,antimony,Metal                                             ,394.0,278.0,230.0,,,,,,,
Indonesia,imports,antimony,Oxide                                             ,388.0,499.0,406.0,,,,,,,
Iran,imports,antimony,Metal                                             ,1119.0,510.0,10.0,,,,,,,
"Ireland, Republic of",imports,antimony,Metal                                             ,35.0,12.0,31.0,15.0,,,,,2.0,2.0
Italy,imports,antimony,Metal                                             ,1429.0,1929.0,1551.0,1377.0,743.0,164.0,279.0,399.0,300.0,198.0
Italy,imports,antimony,Ores & concentrates                               ,611.0,446.0,727.0,786.0,879.0,1005.0,829.0,851.0,1171.0,935.0
Italy,imports,antimony,Oxide                                             ,4391.0,4366.0,5037.0,4314.0,5528.0,5543.0,6061.0,5950.0,6168.0,4602.0
Japan,imports,antimony,Metal                                             ,10965.0,7372.0,6920.0,,,,,,,
Japan,imports,antimony,Oxide                                             ,8497.0,7382.0,7113.0,,,,,,,
Japan,imports,antimony,Sulphide                                          ,1069.0,434.0,,,,,,,,
Kazakhstan,imports,antimony,Metal                                             ,1.0,45.0,15.0,,,,,,,
Korea (Rep. of),imports,antimony,Metal                                             ,12563.0,10051.0,13762.0,,,,,,,
Korea (Rep. of),imports,antimony,Oxide                                             ,5407.0,5357.0,5820.0,,,,,,,
Lithuania,imports,antimony,Oxide                                             ,,,,,,6.0,36.0,,,
Luxembourg,imports,antimony,Oxide                                             ,,,,,,,57.0,,,
Malaysia,imports,antimony,Metal                                             ,393.0,111.0,,,,,,,,
Mexico,imports,antimony,Metal                                             ,1253.0,2944.0,300.0,,,,,,,
Mexico,imports,antimony,Ores & concentrates                               ,3068.0,757.0,,,,,,,,
