Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,imports,asbestos_unmanufactured,Unmanufactured,10281.0,,,,,,,,,
Argentina,imports,asbestos_unmanufactured,Unmanufactured,2079.0,1756.0,1061.0,,,,,,,
Australia,imports,asbestos_unmanufactured,Unmanufactured,1246.0,945.0,515.0,,,,,,,
Azerbaijan,imports,asbestos_unmanufactured,Unmanufactured,8252.0,7404.0,9350.0,,,,,,,
Belarus,imports,asbestos_unmanufactured,Unmanufactured,25301.0,20738.0,21631.0,,,,,,,
Belgium,imports,asbestos_unmanufactured,Unmanufactured,,,,,,,1.0,120.0,6.0,166.0
Belgium-Luxembourg,imports,asbestos_unmanufactured,Unmanufactured,98.0,65.0,,1.0,64.0,13.0,,,,
Bolivia,imports,asbestos_unmanufactured,Unmanufactured,982.0,749.0,990.0,,,,,,,
Brazil,imports,asbestos_unmanufactured,Unmanufactured,35491.0,33136.0,23187.0,,,,,,,
Bulgaria,imports,asbestos_unmanufactured,Unmanufactured,139.0,271.0,160.0,50.0,196.0,,,,,
Canada,imports,asbestos_unmanufactured,Unmanufactured,125.0,111.0,15.0,,,,,,,
Chile,imports,asbestos_unmanufactured,Unmanufactured,2088.0,,,,,,,,,
China,imports,asbestos_unmanufactured,Unmanufactured,72004.0,110489.0,117351.0,,,,,,,
Colombia,imports,asbestos_unmanufactured,Unmanufactured,12189.0,11852.0,12426.0,,,,,,,
Croatia,imports,asbestos_unmanufactured,Unmanufactured,2586.0,2666.0,3274.0,1958.0,3251.0,2429.0,,,,
Cuba,imports,asbestos_unmanufactured,Unmanufactured,800.0,100.0,2700.0,,,,,,,
Czech Republic,imports,asbestos_unmanufactured,Unmanufactured,1402.0,2322.0,785.0,1464.0,2891.0,,,,,
Ecuador,imports,asbestos_unmanufactured,Unmanufactured,4456.0,4064.0,6221.0,,,,,,,
Egypt,imports,asbestos_unmanufactured,Unmanufactured,3000.0,659.0,600.0,,,,,,,
El Salvador,imports,asbestos_unmanufactured,Unmanufactured,1678.0,1691.0,2478.0,,,,,,,
Estonia,imports,asbestos_unmanufactured,Unmanufactured,180.0,58.0,61.0,,,,,,,
France,imports,asbestos_unmanufactured,Unmanufactured,16.0,25.0,0.0,3.0,8.0,5.0,52.0,169.0,120.0,34.0
Georgia,imports,asbestos_unmanufactured,Unmanufactured,,,248.0,,,,,,,
Germany,imports,asbestos_unmanufactured,Unmanufactured,189.0,168.0,199.0,59.0,69.0,98.0,61.0,54.0,54.0,36.0
Ghana,imports,asbestos_unmanufactured,Unmanufactured,648.0,2719.0,,,,,,,,
Greece,imports,asbestos_unmanufactured,Unmanufactured,501.0,1016.0,1988.0,91.0,,,,,,
Hungary,imports,asbestos_unmanufactured,Unmanufactured,3558.0,2167.0,740.0,574.0,,,,,,
India,imports,asbestos_unmanufactured,Unmanufactured,97345.0,143583.0,148821.0,,,,,,,
Indonesia,imports,asbestos_unmanufactured,Unmanufactured,54891.0,49914.0,45140.0,,,,,,,
Iran,imports,asbestos_unmanufactured,Unmanufactured,55265.0,,60500.0,,,,,,,
"Ireland, Republic of",imports,asbestos_unmanufactured,Unmanufactured,1007.0,1.0,19.0,0.0,475.0,2794.0,2700.0,,,
