Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Abu Dhabi,imports,barytes,Barium minerals,,,,,,,,,,
Abu Dhabi,imports,barytes,Barytes,,,,,,,,,,
Albania,imports,barytes,Barium minerals,,,,,,,6800.0,3100.0,9000.0,8500.0
Albania,imports,barytes,Barytes,,,,,,,,,,
Algeria,imports,barytes,Barium minerals,37258.0,10587.0,0.0,4.0,150.0,674.0,50.0,,,
Argentina,imports,barytes,Barium minerals,6418.0,2331.0,677.0,708.0,1043.0,1403.0,259.0,1577.0,212.0,52.0
Argentina,imports,barytes,Barytes,,,,,,,,,,
Australia,imports,barytes,Barium minerals,1273.0,1112.0,3227.0,1166.0,1282.0,1770.0,2306.0,1541.0,1222.0,14164.0
Australia,imports,barytes,Barytes,,,,,,,,,,
Austria,imports,barytes,Barium minerals,5752.0,8273.0,6649.0,9278.0,11325.0,5034.0,9067.0,3112.0,6555.0,2668.0
Austria,imports,barytes,Barytes,,,,,,,,,,
Belgium-Luxembourg,imports,barytes,Barium minerals,8407.0,8003.0,8427.0,7250.0,8165.0,8193.0,8439.0,7084.0,7694.0,9565.0
Belgium-Luxembourg,imports,barytes,Barytes,,,,,,,,,,
Brazil,imports,barytes,Barium minerals,175.0,74.0,,,,,,,,
Cameroon,imports,barytes,Barium minerals,21416.0,41889.0,11645.0,6466.0,29151.0,8114.0,347.0,301.0,,
Canada,imports,barytes,Barium minerals,45157.0,16277.0,23456.0,29952.0,17685.0,26589.0,10525.0,4573.0,4736.0,5577.0
Canada,imports,barytes,Barytes,,,,,,,,,,
Colombia,imports,barytes,Barium minerals,8010.0,6164.0,6497.0,7903.0,47.0,9019.0,10847.0,,12093.0,16029.0
Colombia,imports,barytes,Barytes,,,,,,,,,,
Denmark,imports,barytes,Barium minerals,12461.0,16951.0,18269.0,23726.0,11096.0,96.0,14556.0,17379.0,13030.0,7934.0
Denmark,imports,barytes,Barytes,,,,,,,,,,
Ecuador,imports,barytes,Barium minerals,,,,,,440.0,132.0,3007.0,91.0,51.0
Ecuador,imports,barytes,Barytes,,,,,,,,,,
Finland,imports,barytes,Barium minerals,1168.0,2632.0,2664.0,1613.0,1419.0,1721.0,1769.0,1883.0,1845.0,2036.0
Finland,imports,barytes,Barytes,,,,,,,,,,
France,imports,barytes,Barium minerals,14610.0,12936.0,18884.0,18543.0,30855.0,43660.0,35552.0,34620.0,34250.0,45440.0
France,imports,barytes,Barytes,,,,,,,,,,
Gabon,imports,barytes,Barium minerals,207.0,1410.0,12124.0,6552.0,936.0,8125.0,2716.0,,,
Gabon,imports,barytes,Barytes,,,,,,,,,,
German Federal Republic,imports,barytes,Barium minerals,209182.0,166066.0,177686.0,141022.0,209420.0,221614.0,198558.0,188872.0,216526.0,218489.0
German Federal Republic,imports,barytes,Barytes,,,,,,,,,,
