Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,352.0
Algeria,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,457.0,135.0,1233.0,789.0,372.0,795.0,186.0,290.0,
Algeria,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,,,,,,,,,,8061.0
Algeria,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,3741.0,3284.0,3859.0,3414.0,6810.0,5797.0,6636.0,7665.0,7946.0,
Argentina,imports,bauxite_alumina_and_aluminium,Alumina                                           ,246541.0,286671.0,251992.0,202293.0,312663.0,296763.0,345794.0,226437.0,261862.0,292403.0
Argentina,imports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,5148.0,9200.0,9709.0,12200.0,9930.0,6528.0,11044.0,12787.0,9137.0,8008.0
Argentina,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,18527.0,6138.0,24555.0,23791.0,25187.0,23665.0,25739.0,31525.0,20457.0,25696.0
Australia,imports,bauxite_alumina_and_aluminium,Alumina                                           ,3967.0,3619.0,4435.0,3824.0,4730.0,5050.0,4966.0,5639.0,10939.0,12000.0
Australia,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,,,,4859.0,1423.0,6128.0,3800.0,10107.0,21429.0,35000.0
Australia,imports,bauxite_alumina_and_aluminium,Scrap                                             ,2243.0,3008.0,2433.0,2711.0,2646.0,3105.0,2820.0,1397.0,1834.0,2552.0
Australia,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,,,,,,,,,,3400.0
Australia,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,10221.0,9261.0,13922.0,5225.0,709.0,1079.0,754.0,1060.0,2800.0,
Austria,imports,bauxite_alumina_and_aluminium,Alumina                                           ,225671.0,266526.0,212331.0,210953.0,242993.0,295374.0,275911.0,282983.0,298833.0,224419.0
Austria,imports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,6756.0,7888.0,7653.0,6847.0,7673.0,8141.0,7483.0,8227.0,8139.0,8226.0
Austria,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,41706.0,36655.0,24945.0,27762.0,39174.0,46342.0,36889.0,32661.0,49223.0,54922.0
Austria,imports,bauxite_alumina_and_aluminium,Scrap                                             ,52632.0,68023.0,67352.0,68354.0,47516.0,53109.0,61863.0,54621.0,56043.0,47231.0
Austria,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,35182.0,33160.0,43909.0,52156.0,74677.0,78148.0,93413.0,81133.0,44118.0,50211.0
Austria,imports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,,,,,,,,,64148.0,80217.0
Bahrain,imports,bauxite_alumina_and_aluminium,Alumina                                           ,234690.0,248974.0,1030695.0,298246.0,363599.0,335006.0,332417.0,346191.0,363.0,351694.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Alumina                                           ,7059.0,7595.0,7699.0,8347.0,9757.0,8769.0,8824.0,8029.0,9032.0,10650.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Alumina hydrate                                   ,14460.0,16040.0,15188.0,18251.0,18432.0,19129.0,20066.0,28842.0,23858.0,30841.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,35936.0,33050.0,26574.0,34802.0,40536.0,36650.0,29130.0,26534.0,37841.0,25077.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Scrap                                             ,33316.0,39095.0,51240.0,53086.0,57981.0,62708.0,71291.0,90872.0,112805.0,120849.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,183376.0,184525.0,197133.0,205986.0,220564.0,223568.0,231442.0,238168.0,208265.0,196711.0
Belgium-Luxembourg,imports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,69124.0,60430.0,70311.0,83008.0,91033.0,84300.0,75979.0,77346.0,146873.0,161407.0
Brazil,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,372956.0
Brazil,imports,bauxite_alumina_and_aluminium,Alumina                                           ,64107.0,26867.0,86995.0,202824.0,183724.0,136637.0,285470.0,393438.0,378243.0,
Brazil,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,13175.0,14970.0,8598.0,5020.0,11159.0,8801.0,1020.0,2998.0,2028.0,129259.0
Brazil,imports,bauxite_alumina_and_aluminium,Scrap                                             ,11145.0,5340.0,3750.0,4127.0,210.0,684.0,3119.0,4931.0,759.0,2621.0
Brazil,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,38797.0,18034.0,5520.0,849.0,1248.0,200.0,106.0,118.0,33.0,1287.0
Brazil,imports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,7905.0,10207.0,5247.0,2109.0,3335.0,2418.0,1308.0,2192.0,67.0,1239.0
Bulgaria,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,,,,,,,,,,11000.0
Bulgaria,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,9600.0,15700.0,7000.0,14800.0,17900.0,20800.0,14800.0,14400.0,29600.0,
Cameroon,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,164675.0
Cameroon,imports,bauxite_alumina_and_aluminium,Alumina                                           ,86472.0,155004.0,73718.0,154207.0,151640.0,149601.0,150744.0,161945.0,160000.0,
Canada,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,2040947.0
Canada,imports,bauxite_alumina_and_aluminium,Alumina                                           ,983972.0,1020568.0,939282.0,1063181.0,1349191.0,1543980.0,1724569.0,2068390.0,1875546.0,
Canada,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,3504369.0,2734711.0,2574762.0,2329910.0,2451499.0,2074171.0,2112874.0,2019119.0,2351595.0,2540694.0
Canada,imports,bauxite_alumina_and_aluminium,Scrap                                             ,30724.0,33414.0,36756.0,54666.0,61782.0,53376.0,69945.0,56479.0,62161.0,58203.0
Canada,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,9908.0,14297.0,24380.0,30581.0,44566.0,59739.0,64459.0,53479.0,23973.0,20037.0
Canada,imports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,,,,,,,,,35342.0,44941.0
Chile,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,,,,,,,,,3339.0,4399.0
Chile,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,,,,,,1848.0,3420.0,3010.0,3728.0,3834.0
China,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,298006.0
China,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,31100.0,73600.0,70000.0,81000.0,107800.0,322149.0,159535.0,
China,imports,bauxite_alumina_and_aluminium,Scrap                                             ,,,,,,500.0,1100.0,1600.0,4100.0,8000.0
China,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,,,,,,,,,,175510.0
China,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,67300.0,57772.0,169566.0,283756.0,252736.0,487862.0,266241.0,148130.0,75381.0,
Colombia,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,5039.0
Colombia,imports,bauxite_alumina_and_aluminium,Alumina                                           ,778.0,867.0,2413.0,2947.0,4957.0,4103.0,4151.0,3000.0,3908.0,
Colombia,imports,bauxite_alumina_and_aluminium,Bauxite                                           ,3841.0,5922.0,2150.0,5050.0,3537.0,8090.0,5071.0,7000.0,6733.0,8384.0
Colombia,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,13444.0,15734.0,14265.0,17967.0,17977.0,11641.0,21290.0,17901.0,8690.0,13791.0
Colombia,imports,bauxite_alumina_and_aluminium,Unwrought alloys                                  ,,,,,,,,,,
Costa Rica,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,,,,,,,,,,3496.0
Costa Rica,imports,bauxite_alumina_and_aluminium,Unwrought                                         ,,2103.0,26.0,2575.0,2513.0,2005.0,1544.0,506.0,3436.0,
Czechoslovakia,imports,bauxite_alumina_and_aluminium,Alumina                                           ,,,,,,,,,,400.0
