Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,,4511.0,8541.0,6768.0,11686.0,18891.0
Australia,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,85363.0,54736.0,22204.0,13191.0,30355.0,57241.0
Austria,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,792.0,629.0,541.0,651.0,514.0,594.0
Belgium-Luxembourg,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,17296.0,22654.0,27822.0,26556.0,28628.0,24553.0
Belgium-Luxembourg,imports,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,,3645.0,355.0,357.0,4261.0,12445.0
Brazil,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,17685.0,13099.0,14045.0,16193.0,14354.0,21594.0
Canada,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,263529.0,242183.0,274095.0,358724.0,353790.0,638307.0
Canada,imports,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,8606.0,1833.0,571.0,2356.0,823.0,1710.0
Chile,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,,,,3703.0,2430.0,
Colombia,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,,,,1884.0,3545.0,2322.0
Denmark,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,3219.0,2084.0,2169.0,2867.0,3612.0,3652.0
Denmark,imports,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,,,96.0,189.0,403.0,571.0
France,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,117099.0,102423.0,93080.0,96482.0,87235.0,92464.0
France,imports,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,,1370.0,1195.0,863.0,1283.0,2028.0
German Democratic Rep,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,15643.0,16876.0,15430.0,14130.0,9990.0,10540.0
German Democratic Rep,imports,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,,,,,0.0,250.0
German Federal Republic,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,107035.0,43533.0,93290.0,77527.0,45879.0,66841.0
German Federal Republic,imports,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,,8870.0,8502.0,16360.0,6785.0,5282.0
Greece,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,,359.0,335.0,95.0,243.0,153.0
India,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,13.0,7.0,18.0,6.0,14.0,45.0
India,imports,bentonite_and_fuller's_earth,Fuller's earth                                    ,,,,,33.0,143.0,231.0,25.0,471.0,381.0
Indonesia,imports,bentonite_and_fuller's_earth,Bentonite                                         ,,,,,,4782.0,15514.0,8461.0,25313.0,9164.0
