Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,imports,bismuth,Metal                                             ,,,,,21.0,20.0,20.0,13.0,8.0,12.0
Australia,imports,bismuth,Metal                                             ,,,,,22.0,5.0,14.0,14.0,22.0,13.0
Belgium-Luxembourg,imports,bismuth,Compounds                                         ,,,,,91.0,49.0,64.0,56.0,37.0,18.0
Belgium-Luxembourg,imports,bismuth,Metal                                             ,,,,,717.0,,,,,
Brazil,imports,bismuth,Compounds                                         ,,,,,12.0,9.0,9.0,9.0,11.0,4.0
Brazil,imports,bismuth,Metal                                             ,,,,,26.0,21.0,27.0,23.0,34.0,44.0
France,imports,bismuth,Compounds                                         ,,,,,199.0,115.0,72.0,58.0,4.0,44.0
France,imports,bismuth,Metal                                             ,,,,,1259.0,640.0,737.0,644.0,346.0,322.0
German Federal Republic,imports,bismuth,Compounds                                         ,,,,,13.0,6.0,19.0,16.0,21.0,22.0
German Federal Republic,imports,bismuth,Metal                                             ,,,,,129.0,259.0,246.0,160.0,113.0,211.0
India,imports,bismuth,Metal                                             ,,,,,2.0,1.0,2.0,30.0,97.0,66.0
Italy,imports,bismuth,Compounds                                         ,,,,,45.0,26.0,56.0,48.0,24.0,21.0
Italy,imports,bismuth,Metal                                             ,,,,,156.0,160.0,103.0,97.0,62.0,55.0
Morocco,imports,bismuth,Compounds                                         ,,,,,15.0,19.0,11.0,16.0,19.0,5.0
Netherlands,imports,bismuth,Compounds                                         ,,,,,88.0,102.0,155.0,86.0,171.0,152.0
Netherlands,imports,bismuth,Metal                                             ,,,,,119.0,130.0,49.0,55.0,52.0,54.0
Spain,imports,bismuth,Metal                                             ,,,,,101.0,129.0,161.0,253.0,96.0,102.0
Turkey,imports,bismuth,Compounds                                         ,,,,,18.0,13.0,21.0,17.0,8.0,5.0
USA,imports,bismuth,Metal                                             ,,,,,859.0,604.0,1056.0,932.0,1208.0,1077.0
United Kingdom,imports,bismuth,Metal                                             ,,,,,499.0,353.0,327.0,394.0,325.0,335.0
Yugoslavia,imports,bismuth,Compounds                                         ,,,,,38.0,27.0,16.0,17.0,5.0,6.0
Yugoslavia,imports,bismuth,Metal                                             ,,,,,25.0,4.0,24.0,31.0,18.0,5.0
