Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,imports,bromine,Compounds,,,,,1181.0,,,,,
Algeria,imports,bromine,,,,,,744.0,11080.0,12.0,264.0,0.0,166.0
Argentina,imports,bromine,Compounds,,,,,488486.0,,,,,
Argentina,imports,bromine,,,,,,99963.0,83571.0,12794.0,49314.0,61800.0,78731.0
Australia,imports,bromine,Compounds,,,,,223470.0,,,,,
Belgium-Luxembourg,imports,bromine,Compounds,,,,,705500.0,,,,,
Belgium-Luxembourg,imports,bromine,,,,,,79100.0,46100.0,26800.0,43800.0,249000.0,828100.0
Brazil,imports,bromine,Compounds,,,,,100719.0,,,,,
Brazil,imports,bromine,,,,,,34598.0,86735.0,28556.0,64744.0,33587.0,31611.0
Denmark,imports,bromine,Compounds,,,,,22200.0,,,,,
Denmark,imports,bromine,,,,,,123000.0,163000.0,96200.0,84000.0,121900.0,90200.0
Finland,imports,bromine,Compounds,,,,,4100.0,,,,,
France,imports,bromine,Compounds,,,,,493000.0,,,,,
France,imports,bromine,,,,,,292000.0,673000.0,997000.0,1970000.0,2762000.0,2542000.0
German Federal Republic,imports,bromine,Compounds,,,,,28075600.0,,,,,
German Federal Republic,imports,bromine,,,,,,1625200.0,1805300.0,3109900.0,2204600.0,1871000.0,3007600.0
Greece,imports,bromine,,,,,,1000.0,2000.0,1000.0,1389.0,683.0,
Hong Kong,imports,bromine,Compounds,,,,,71377.0,,,,,
Hungary,imports,bromine,,,,,,,,250400.0,574500.0,587000.0,1036000.0
India,imports,bromine,Compounds,,,,,6946.0,,,,,
India,imports,bromine,,,,,,0.0,4368.0,303983.0,505598.0,192770.0,411430.0
Iran,imports,bromine,Compounds,,,,,20886.0,,,,,
Iran,imports,bromine,,,,,,287633.0,2693908.0,,,,
Italy,imports,bromine,Compounds,,,,,234725.0,,,,,
Italy,imports,bromine,,,,,,1051199.0,1117800.0,1678303.0,2062024.0,1974600.0,3008434.0
Ivory Coast,imports,bromine,Compounds,,,,,241.0,,,,,
Japan,imports,bromine,Compounds,,,,,463748.0,,,,,
Japan,imports,bromine,,,,,,194680.0,7000.0,,,,
Korea (Rep. of),imports,bromine,Compounds,,,,,30262.0,,,,,
Korea (Rep. of),imports,bromine,,,,,,317.0,824.0,11741.0,104736.0,0.0,154530.0
Malaysia,imports,bromine,Compounds,,,,,22903.0,,,,,
Mexico,imports,bromine,,,,,,,,,219166.0,1240899.0,
Morocco,imports,bromine,Compounds,,,,,3810.0,,,,,
Morocco,imports,bromine,,,,,,51.0,277.0,175.0,70.0,40.0,6.0
Netherlands,imports,bromine,Compounds,,,,,138000.0,,,,,
Netherlands,imports,bromine,,,,,,1201000.0,764000.0,1082000.0,1983000.0,3286000.0,4401000.0
Philippines,imports,bromine,Compounds,,,,,479929.0,,,,,
Portugal,imports,bromine,Compounds,,,,,7900.0,,,,,
Portugal,imports,bromine,,,,,,1000.0,200.0,1100.0,500.0,500.0,1400.0
Saudi Arabia,imports,bromine,,,,,,,,0.0,12981.0,0.0,13235.0
South Africa,imports,bromine,Compounds,,,,,136000.0,,,,,
South Africa,imports,bromine,,,,,,32100.0,6100.0,5700.0,3600.0,50900.0,54700.0
Spain,imports,bromine,Compounds,,,,,92000.0,,,,,
Spain,imports,bromine,,,,,,15000.0,20000.0,11000.0,40072.0,46908.0,205000.0
Sweden,imports,bromine,Compounds,,,,,210000.0,,,,,
Switzerland,imports,bromine,Compounds,,,,,150611.0,,,,,
Syria,imports,bromine,Compounds,,,,,740.0,,,,,
Syria,imports,bromine,,,,,,116.0,170.0,3.0,97.0,9500.0,10131.0
Taiwan,imports,bromine,Compounds,,,,,69768.0,,,,,
Taiwan,imports,bromine,,,,,,72.0,255.0,156.0,794.0,5708.0,18.0
Thailand,imports,bromine,Compounds,,,,,51663.0,,,,,
Thailand,imports,bromine,,,,,,1.0,2.0,0.0,0.0,39.0,33.0
Tunisia,imports,bromine,Compounds,,,,,2403.0,,,,,
Turkey,imports,bromine,Compounds,,,,,10660.0,,,,,
Turkey,imports,bromine,,,,,,379.0,359.0,249.0,928.0,84.0,0.0
USA,imports,bromine,Compounds,,,,,10000.0,,,,,
USA,imports,bromine,,,,,,,,,234520.0,303673.0,15267.0
United Kingdom,imports,bromine,Compounds,,,,,862770.0,,,,,
United Kingdom,imports,bromine,,,,,,1311854.0,2066617.0,1740441.0,3495166.0,4006331.0,4168041.0
Venezuela,imports,bromine,,,,,,,,15319.0,47476.0,4027.0,14716.0
Yugoslavia,imports,bromine,Compounds,,,,,8445.0,,,,,
Yugoslavia,imports,bromine,,,,,,6213.0,6030.0,2286.0,15276.0,11812.0,10001.0
Zambia,imports,bromine,Compounds,,,,,33529.0,,,,,
Zambia,imports,bromine,,,,,,61167.0,37996.0,0.0,158.0,,
