Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Austria,imports,cadmium,,5.0,3.0,3.0,3.0,5.0,1.0,2.0,,,
Belgium-Luxembourg,imports,cadmium,Metal                                             ,,1131.0,1199.0,1663.0,1189.0,1174.0,1509.0,1586.0,2096.0,1991.0
Belgium-Luxembourg,imports,cadmium,Sulphide                                          ,,11.0,21.0,17.0,29.0,27.0,6.0,18.0,6.0,29.0
Belgium-Luxembourg,imports,cadmium,,1029.0,,,,,,,,,
Brazil,imports,cadmium,Metal                                             ,210.0,156.0,107.0,157.0,16.0,1.0,3.0,208.0,22.0,98.0
Brazil,imports,cadmium,Oxide                                             ,109.0,88.0,92.0,94.0,39.0,76.0,121.0,158.0,74.0,85.0
China,imports,cadmium,,,,,,,,,,,
Czechoslovakia,imports,cadmium,,206.0,228.0,220.0,201.0,303.0,164.0,170.0,146.0,93.0,137.0
Denmark,imports,cadmium,Sulphide                                          ,,,3.0,,,,,,82.0,157.0
Denmark,imports,cadmium,,4.0,5.0,,2.0,3.0,3.0,1.0,,,
Finland,imports,cadmium,Metal                                             ,,,,,,,,,,0.0
Finland,imports,cadmium,,,,,,0.0,0.0,0.0,242.0,68.0,
France,imports,cadmium,Metal                                             ,659.0,598.0,618.0,744.0,921.0,892.0,888.0,1137.0,1180.0,1746.0
France,imports,cadmium,Sulphide                                          ,48.0,44.0,54.0,51.0,61.0,42.0,39.0,58.0,76.0,70.0
German Democratic Rep,imports,cadmium,,,340.0,250.0,220.0,140.0,110.0,180.0,130.0,50.0,10.0
German Federal Republic,imports,cadmium,Metal                                             ,1145.0,673.0,783.0,829.0,757.0,546.0,531.0,511.0,658.0,791.0
German Federal Republic,imports,cadmium,Oxide                                             ,550.0,417.0,487.0,635.0,571.0,532.0,556.0,660.0,,
German Federal Republic,imports,cadmium,Sulphide                                          ,,12.0,8.0,17.0,9.0,9.0,6.0,14.0,59.0,8.0
Germany,imports,cadmium,Metal                                             ,,,,,,,,,,
Germany,imports,cadmium,Sulphide                                          ,,,,,,,,,,
India,imports,cadmium,,66.0,7.0,131.0,,20.0,64.0,52.0,116.0,2.0,24.0
Italy,imports,cadmium,Metal                                             ,68.0,86.0,49.0,135.0,107.0,54.0,105.0,90.0,84.0,64.0
Italy,imports,cadmium,Sulphide                                          ,28.0,10.0,12.0,4.0,8.0,6.0,6.0,3.0,6.0,8.0
Japan,imports,cadmium,,,,,,,,,,2546.0,2908.0
Korea (Rep. of),imports,cadmium,,,,,,,,,,,
Netherlands,imports,cadmium,Metal                                             ,68.0,118.0,155.0,286.0,112.0,129.0,53.0,115.0,102.0,65.0
Netherlands,imports,cadmium,Sulphide                                          ,15.0,12.0,4.0,27.0,4.0,2.0,4.0,3.0,7.0,7.0
Pakistan,imports,cadmium,Sulphide                                          ,,,,,,,50.0,51.0,15.0,
Soviet Union,imports,cadmium,,,70.0,600.0,300.0,300.0,300.0,100.0,110.0,,
Spain,imports,cadmium,,,,,1.0,31.0,49.0,92.0,87.0,65.0,105.0
Sweden,imports,cadmium,,268.0,186.0,224.0,218.0,241.0,260.0,201.0,122.0,177.0,181.0
Taiwan,imports,cadmium,Oxide                                             ,,,,,,249.0,476.0,341.0,282.0,274.0
Taiwan,imports,cadmium,Sulphide                                          ,,,,,,,,,,
USA,imports,cadmium,,2617.0,3090.0,2305.0,2191.0,1898.0,1988.0,3174.0,2701.0,2482.0,2787.0
United Kingdom,imports,cadmium,,793.0,982.0,872.0,1100.0,820.0,878.0,1095.0,1093.0,1157.0,943.0
