Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,imports,cement,Cement clinkers                                   ,,,,,249376.0,220519.0,185532.0,,,19.0
Albania,imports,cement,Other cement                                      ,,,,,25199.0,9812.0,289535.0,447010.0,499092.0,550840.0
Albania,imports,cement,Portland cement                                   ,,,,,1020130.0,1426618.0,1119786.0,622793.0,580877.0,817589.0
Austria,imports,cement,Cement clinkers                                   ,302996.0,314407.0,314864.0,444535.0,443956.0,532745.0,487406.0,520714.0,456127.0,404998.0
Austria,imports,cement,Other cement                                      ,33111.0,29489.0,18597.0,17434.0,51811.0,43083.0,31100.0,39568.0,40766.0,52715.0
Austria,imports,cement,Portland cement                                   ,819643.0,717691.0,804924.0,763455.0,773897.0,860087.0,686652.0,626723.0,753529.0,639545.0
Belgium,imports,cement,Cement clinkers                                   ,,,,,,,545575.0,746734.0,627133.0,684634.0
Belgium,imports,cement,Other cement                                      ,,,,,,,277825.0,368325.0,292741.0,252247.0
Belgium,imports,cement,Portland cement                                   ,,,,,,,897314.0,860913.0,954591.0,819923.0
Belgium-Luxembourg,imports,cement,Cement clinkers                                   ,94978.0,133317.0,64453.0,256355.0,553911.0,442986.0,,,,
Belgium-Luxembourg,imports,cement,Other cement                                      ,138924.0,159414.0,187371.0,292756.0,314515.0,275177.0,,,,
Belgium-Luxembourg,imports,cement,Portland cement                                   ,709775.0,809758.0,795844.0,846044.0,956062.0,898871.0,,,,
Brazil,imports,cement,Cement clinkers                                   ,5570.0,122237.0,262592.0,,,,,,,
Brazil,imports,cement,Portland cement                                   ,157389.0,134364.0,145792.0,,,,,,,
Bulgaria,imports,cement,Cement clinkers                                   ,,,3088.0,3815.0,23048.0,180254.0,586194.0,123806.0,248737.0,45002.0
Bulgaria,imports,cement,Other cement                                      ,,,420.0,1027.0,920.0,1128.0,1665.0,1829.0,1110.0,955.0
Bulgaria,imports,cement,Portland cement                                   ,8690.0,7864.0,7491.0,33810.0,51493.0,23787.0,9127.0,5690.0,13645.0,481991.0
China,imports,cement,Cement clinkers                                   ,1389554.0,2700291.0,1794574.0,,,,,,,
China,imports,cement,Other cement                                      ,8044.0,7655.0,4330.0,,,,,,,
China,imports,cement,Portland cement                                   ,28220.0,93010.0,573475.0,,,,,,,
Croatia,imports,cement,Cement clinkers                                   ,,,7330.0,144509.0,61672.0,,,27488.0,50.0,1.0
Croatia,imports,cement,Other cement                                      ,,,1841.0,1782.0,287.0,1569.0,5547.0,5242.0,7447.0,10620.0
Croatia,imports,cement,Portland cement                                   ,,,85593.0,176027.0,214400.0,379711.0,447202.0,340112.0,393886.0,393613.0
Cyprus,imports,cement,Cement clinkers                                   ,,5550.0,17144.0,74627.0,28622.0,43375.0,17819.0,17498.0,66787.0,15455.0
Cyprus,imports,cement,Other cement                                      ,,,,,,,,,,279.0
Cyprus,imports,cement,Portland cement                                   ,685.0,1636.0,2926.0,2496.0,2092.0,2339.0,1241.0,1017.0,29311.0,249.0
Czech Republic,imports,cement,Cement clinkers                                   ,144.0,147.0,6792.0,76152.0,167711.0,95108.0,117477.0,109392.0,134179.0,101031.0
Czech Republic,imports,cement,Other cement                                      ,106403.0,104981.0,83286.0,28197.0,24799.0,38434.0,38439.0,30602.0,23816.0,51482.0
Czech Republic,imports,cement,Portland cement                                   ,1168974.0,1278439.0,748672.0,1044234.0,1105823.0,1027011.0,1001321.0,918739.0,932685.0,890776.0
Denmark,imports,cement,Cement clinkers                                   ,2.0,10.0,4033.0,23222.0,22506.0,31634.0,46600.0,35555.0,33825.0,31847.0
Denmark,imports,cement,Other cement                                      ,21963.0,33903.0,29067.0,30501.0,33913.0,36753.0,54194.0,52662.0,38687.0,46117.0
Denmark,imports,cement,Portland cement                                   ,252378.0,238654.0,274440.0,185757.0,187982.0,230842.0,274151.0,243348.0,289307.0,208467.0
Estonia,imports,cement,Cement clinkers                                   ,,,,,,21219.0,44059.0,31127.0,25438.0,0.0
Estonia,imports,cement,Other cement                                      ,2878.0,572.0,,,,,,,304.0,458.0
Estonia,imports,cement,Portland cement                                   ,33161.0,44989.0,31847.0,36438.0,16827.0,3311.0,1833.0,2536.0,4613.0,30424.0
Finland,imports,cement,Cement clinkers                                   ,150391.0,95591.0,7265.0,67297.0,28129.0,17594.0,95730.0,314436.0,236439.0,536.0
Finland,imports,cement,Other cement                                      ,24434.0,8722.0,8669.0,9654.0,9344.0,13211.0,12176.0,16006.0,15911.0,12232.0
Finland,imports,cement,Portland cement                                   ,342793.0,333868.0,382160.0,438363.0,423958.0,383260.0,380296.0,341748.0,281924.0,320084.0
France,imports,cement,Cement clinkers                                   ,855948.0,919175.0,852287.0,793933.0,865213.0,946642.0,1010056.0,1739962.0,1338362.0,784892.0
France,imports,cement,Other cement                                      ,987862.0,926599.0,1190848.0,1123098.0,927157.0,984597.0,1120524.0,1223442.0,1185083.0,980685.0
France,imports,cement,Portland cement                                   ,1230950.0,1104447.0,1114553.0,1090120.0,1114684.0,1271478.0,1556864.0,1793027.0,1940065.0,1744423.0
Germany,imports,cement,Cement clinkers                                   ,591026.0,494930.0,523967.0,325302.0,370454.0,289600.0,235023.0,92757.0,14184.0,9200.0
Germany,imports,cement,Other cement                                      ,334557.0,413249.0,321014.0,277349.0,343597.0,380858.0,345286.0,311152.0,293583.0,272741.0
Germany,imports,cement,Portland cement                                   ,2714963.0,2003309.0,1197165.0,906718.0,1002404.0,934865.0,794716.0,833311.0,770566.0,904023.0
Greece,imports,cement,Cement clinkers                                   ,,,,5243.0,1237.0,1494.0,50907.0,45388.0,23558.0,4249.0
Greece,imports,cement,Other cement                                      ,3163.0,2989.0,2628.0,3322.0,3497.0,4548.0,3228.0,3010.0,2618.0,2359.0
Greece,imports,cement,Portland cement                                   ,1847.0,79052.0,56424.0,302.0,1754.0,425.0,3237.0,3603.0,74239.0,136300.0
Hungary,imports,cement,Cement clinkers                                   ,,,,1924.0,583.0,9051.0,65437.0,40099.0,,117232.0
Hungary,imports,cement,Other cement                                      ,151109.0,174362.0,466700.0,536445.0,579735.0,508067.0,375337.0,144824.0,55798.0,49051.0
Hungary,imports,cement,Portland cement                                   ,649903.0,401168.0,303249.0,342107.0,451613.0,565366.0,455108.0,560863.0,643776.0,565552.0
Iceland,imports,cement,Cement clinkers                                   ,,,,,0.0,45464.0,11922.0,17978.0,628.0,30.0
Iceland,imports,cement,Other cement                                      ,,,,273.0,3901.0,27165.0,847.0,868.0,505.0,241.0
Iceland,imports,cement,Portland cement                                   ,,,,57789.0,89455.0,59628.0,199525.0,166488.0,111918.0,38640.0
India,imports,cement,Cement clinkers                                   ,967.0,58864.0,2332.0,,,,,,,
India,imports,cement,Portland cement                                   ,12779.0,482.0,2110.0,,,,,,,
"Ireland, Republic of",imports,cement,Cement clinkers                                   ,178554.0,66661.0,56199.0,88669.0,226116.0,245955.0,395053.0,330948.0,36153.0,31983.0
"Ireland, Republic of",imports,cement,Other cement                                      ,4160.0,3092.0,2968.0,4105.0,9132.0,8958.0,9079.0,16409.0,14649.0,10698.0
"Ireland, Republic of",imports,cement,Portland cement                                   ,498089.0,430990.0,373759.0,259703.0,281044.0,335055.0,559645.0,664977.0,780528.0,192556.0
Italy,imports,cement,Cement clinkers                                   ,546747.0,1018494.0,1777159.0,2322710.0,2720499.0,2828906.0,2872114.0,2827333.0,2095716.0,1495609.0
Italy,imports,cement,Other cement                                      ,173744.0,314706.0,304329.0,168008.0,146033.0,152325.0,184862.0,287190.0,295988.0,308222.0
Italy,imports,cement,Portland cement                                   ,1677438.0,1915641.0,1796508.0,2033657.0,2130079.0,2014905.0,1564049.0,1162254.0,962746.0,1433820.0
Latvia,imports,cement,Cement clinkers                                   ,44422.0,3255.0,,,,38589.0,43774.0,29438.0,30233.0,34375.0
Latvia,imports,cement,Other cement                                      ,,,,,,,,,209.0,1088.0
Latvia,imports,cement,Portland cement                                   ,94635.0,87609.0,112025.0,138488.0,204353.0,234862.0,322187.0,431482.0,353174.0,87660.0
Lithuania,imports,cement,Cement clinkers                                   ,,,14459.0,,22496.0,766.0,416.0,104219.0,79102.0,996.0
Lithuania,imports,cement,Portland cement                                   ,188422.0,88783.0,128201.0,206317.0,183712.0,265103.0,209400.0,170955.0,111578.0,133039.0
Luxembourg,imports,cement,Cement clinkers                                   ,,,,,,,28582.0,51936.0,36976.0,17827.0
Luxembourg,imports,cement,Other cement                                      ,,,,,,,34141.0,23525.0,22879.0,16255.0
Luxembourg,imports,cement,Portland cement                                   ,,,,,,,38197.0,32068.0,33617.0,56666.0
Malta,imports,cement,Cement clinkers                                   ,,,,,,,,,,142.0
Malta,imports,cement,Other cement                                      ,,,,,,181.0,1518.0,2949.0,1498.0,1552.0
Malta,imports,cement,Portland cement                                   ,251860.0,260812.0,275627.0,275736.0,288610.0,316012.0,389690.0,356365.0,374392.0,328411.0
Montenegro,imports,cement,Other cement                                      ,,,,,,,2494.0,6169.0,214958.0,171150.0
Montenegro,imports,cement,Portland cement                                   ,,,,,,,393506.0,557771.0,517062.0,279497.0
Netherlands,imports,cement,Cement clinkers                                   ,147310.0,706124.0,52231.0,679330.0,581267.0,388146.0,494944.0,228817.0,380281.0,511560.0
Netherlands,imports,cement,Other cement                                      ,972419.0,934043.0,229933.0,826513.0,774050.0,846622.0,1452353.0,722635.0,993318.0,842190.0
Netherlands,imports,cement,Portland cement                                   ,1608997.0,1551824.0,370170.0,1614917.0,1812884.0,1632872.0,1925756.0,2072034.0,1705144.0,904788.0
North Macedonia,imports,cement,Cement clinkers                                   ,,,,,,,,1.0,9000.0,17000.0
North Macedonia,imports,cement,Other cement                                      ,,,,,,,,,797.0,397.0
North Macedonia,imports,cement,Portland cement                                   ,,,41859.0,60849.0,81250.0,59679.0,44542.0,69220.0,136030.0,193076.0
Norway,imports,cement,Cement clinkers                                   ,,,,1450.0,2307.0,6615.0,8782.0,14895.0,36704.0,6904.0
Norway,imports,cement,Other cement                                      ,7823.0,7224.0,5549.0,5026.0,10738.0,12319.0,14147.0,19062.0,22317.0,20474.0
Norway,imports,cement,Portland cement                                   ,159245.0,192678.0,186529.0,188442.0,236622.0,373788.0,443104.0,441619.0,361216.0,237896.0
Poland,imports,cement,Cement clinkers                                   ,605835.0,251458.0,66800.0,70207.0,13746.0,33673.0,45560.0,65632.0,127428.0,35106.0
Poland,imports,cement,Other cement                                      ,31863.0,17313.0,23531.0,16352.0,2323.0,5537.0,5700.0,22982.0,29529.0,21466.0
Poland,imports,cement,Portland cement                                   ,306163.0,328347.0,630256.0,699379.0,540342.0,444855.0,285135.0,520330.0,680447.0,421822.0
Portugal,imports,cement,Cement clinkers                                   ,1307807.0,917322.0,5421.0,7715.0,8775.0,17084.0,140673.0,331025.0,196929.0,24156.0
Portugal,imports,cement,Other cement                                      ,14553.0,17671.0,11842.0,50576.0,65793.0,10479.0,14286.0,11966.0,8842.0,11072.0
Portugal,imports,cement,Portland cement                                   ,677746.0,1497434.0,1485581.0,1225167.0,1066969.0,669272.0,356040.0,45012.0,22862.0,150065.0
Romania,imports,cement,Cement clinkers                                   ,,,,8.0,3.0,50.0,280.0,500794.0,486462.0,23613.0
Romania,imports,cement,Other cement                                      ,,,,1654.0,1755.0,1653.0,3085.0,12072.0,32765.0,15779.0
