Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,imports,chromium,Ores & concentrates                               ,,,,,,,,,2776.0,580.0
Argentina,imports,chromium,Ores & concentrates                               ,55031.0,33803.0,54691.0,,,,,,,
Australia,imports,chromium,Metal                                             ,160.0,165.0,212.0,,,,,,,
Australia,imports,chromium,Ores & concentrates                               ,10141.0,10978.0,13386.0,,,,,,,
Austria,imports,chromium,Metal                                             ,2050.0,1713.0,1808.0,2337.0,3731.0,4440.0,8879.0,14480.0,8006.0,4325.0
Austria,imports,chromium,Ores & concentrates                               ,36490.0,37321.0,28384.0,36348.0,26761.0,21398.0,37326.0,39071.0,42008.0,25891.0
Belgium,imports,chromium,Metal                                             ,,,,,,,1265.0,1177.0,1097.0,871.0
Belgium,imports,chromium,Ores & concentrates                               ,,,,,,,22053.0,20761.0,56183.0,19050.0
Belgium-Luxembourg,imports,chromium,Metal                                             ,557.0,629.0,664.0,765.0,821.0,1245.0,,,,
Belgium-Luxembourg,imports,chromium,Ores & concentrates                               ,9808.0,5789.0,4179.0,4644.0,6094.0,18464.0,,,,
Brazil,imports,chromium,Metal                                             ,257.0,250.0,336.0,,,,,,,
Brazil,imports,chromium,Ores & concentrates                               ,48347.0,10295.0,7596.0,,,,,,,
Bulgaria,imports,chromium,Ores & concentrates                               ,,,710.0,480.0,812.0,997.0,1440.0,969.0,793.0,637.0
Canada,imports,chromium,Metal                                             ,700.0,533.0,438.0,,,,,,,
Canada,imports,chromium,Ores & concentrates                               ,15084.0,13759.0,21096.0,,,,,,,
Chile,imports,chromium,Ores & concentrates                               ,13210.0,12385.0,7613.0,,,,,,,
China,imports,chromium,Metal                                             ,751.0,250.0,672.0,,,,,,,
China,imports,chromium,Ores & concentrates                               ,1112791.0,1090441.0,1142740.0,,,,,,,
Croatia,imports,chromium,Metal                                             ,,6.0,160.0,200.0,279.0,54.0,51.0,280.0,394.0,307.0
Croatia,imports,chromium,Ores & concentrates                               ,15705.0,908.0,287.0,341.0,459.0,537.0,615.0,584.0,568.0,
Czech Republic,imports,chromium,Metal                                             ,35.0,12.0,14.0,66.0,60.0,149.0,123.0,281.0,282.0,83.0
Czech Republic,imports,chromium,Ores & concentrates                               ,11821.0,15054.0,11655.0,10674.0,11365.0,12440.0,11380.0,13936.0,12990.0,8244.0
Denmark,imports,chromium,Metal                                             ,64.0,19.0,63.0,106.0,90.0,,,,,
Denmark,imports,chromium,Ores & concentrates                               ,294.0,512.0,1496.0,920.0,594.0,837.0,774.0,945.0,974.0,384.0
Estonia,imports,chromium,Metal                                             ,317.0,204.0,,,,,,,,
Finland,imports,chromium,Metal                                             ,42.0,174.0,87.0,190.0,164.0,258.0,575.0,282.0,327.0,105.0
Finland,imports,chromium,Ores & concentrates                               ,6288.0,7174.0,4294.0,6050.0,6092.0,6962.0,8388.0,9324.0,8866.0,4521.0
France,imports,chromium,Metal                                             ,649.0,699.0,782.0,677.0,1323.0,669.0,1040.0,717.0,1335.0,478.0
France,imports,chromium,Ores & concentrates                               ,27174.0,26693.0,22534.0,22917.0,19770.0,18980.0,23031.0,20156.0,26952.0,10813.0
Georgia,imports,chromium,Metal                                             ,,,285.0,,,,,,,
Germany,imports,chromium,Metal                                             ,2905.0,2257.0,3291.0,4063.0,5599.0,5428.0,7552.0,8454.0,7022.0,3328.0
Germany,imports,chromium,Ores & concentrates                               ,119869.0,130485.0,114806.0,126278.0,128886.0,141483.0,126874.0,154367.0,175277.0,45684.0
Greece,imports,chromium,Ores & concentrates                               ,213.0,231.0,360.0,218.0,122.0,477.0,732.0,,,
Hungary,imports,chromium,Metal                                             ,104.0,85.0,65.0,82.0,69.0,182.0,289.0,,,0.0
Hungary,imports,chromium,Ores & concentrates                               ,1010.0,549.0,651.0,593.0,367.0,388.0,306.0,,,
India,imports,chromium,Metal                                             ,138.0,176.0,220.0,,,,,,,
India,imports,chromium,Ores & concentrates                               ,54567.0,1153.0,1740.0,,,,,,,
Indonesia,imports,chromium,Ores & concentrates                               ,421.0,714.0,505.0,,,,,,,
"Ireland, Republic of",imports,chromium,Metal                                             ,46.0,26.0,19.0,27.0,25.0,40.0,44.0,101.0,120.0,138.0
Italy,imports,chromium,Metal                                             ,467.0,549.0,544.0,520.0,677.0,958.0,848.0,902.0,721.0,943.0
Italy,imports,chromium,Ores & concentrates                               ,60566.0,82769.0,56835.0,26802.0,30872.0,39999.0,41992.0,46433.0,36552.0,23842.0
Japan,imports,chromium,Metal                                             ,3202.0,3480.0,2922.0,,,,,,,
Japan,imports,chromium,Ores & concentrates                               ,501727.0,411120.0,354928.0,,,,,,,
Korea (Rep. of),imports,chromium,Metal                                             ,1312.0,1372.0,1147.0,,,,,,,
Korea (Rep. of),imports,chromium,Ores & concentrates                               ,188.0,171.0,85.0,,,,,,,
Lithuania,imports,chromium,Metal                                             ,58.0,,,,,,,,,
Luxembourg,imports,chromium,Metal                                             ,,,,,,,105.0,,,
Mexico,imports,chromium,Ores & concentrates                               ,8852.0,5072.0,11713.0,,,,,,,
Netherlands,imports,chromium,Metal                                             ,1488.0,1359.0,562.0,310.0,612.0,1838.0,3632.0,2222.0,3897.0,2157.0
Netherlands,imports,chromium,Ores & concentrates                               ,55178.0,73730.0,62992.0,52353.0,88660.0,80622.0,99305.0,125778.0,145698.0,18702.0
North Macedonia,imports,chromium,Ores & concentrates                               ,,,,,,3.0,709.0,1432.0,306.0,495.0
Norway,imports,chromium,Metal                                             ,48.0,89.0,53.0,47.0,88.0,92.0,73.0,253.0,128.0,74.0
Norway,imports,chromium,Ores & concentrates                               ,282000.0,176000.0,51000.0,600.0,400.0,500.0,500.0,20.0,600.0,400.0
Peru,imports,chromium,Ores & concentrates                               ,1612.0,3921.0,1685.0,,,,,,,
Philippines,imports,chromium,Ores & concentrates                               ,,,,,,,,,,
Poland,imports,chromium,Metal                                             ,,20.0,18.0,29.0,242.0,54.0,45.0,1717.0,2137.0,679.0
Poland,imports,chromium,Ores & concentrates                               ,25804.0,26128.0,8461.0,10977.0,13053.0,9391.0,16161.0,38543.0,36646.0,12728.0
Portugal,imports,chromium,Metal                                             ,,,16.0,14.0,18.0,18.0,336.0,,,
Portugal,imports,chromium,Ores & concentrates                               ,1916.0,2569.0,2334.0,2062.0,1547.0,2599.0,2845.0,3339.0,5369.0,2361.0
Romania,imports,chromium,Metal                                             ,95.0,22.0,60.0,70.0,58.0,245.0,957.0,78.0,64.0,39.0
Romania,imports,chromium,Ores & concentrates                               ,1301.0,2405.0,3869.0,2701.0,2562.0,2828.0,1675.0,1856.0,77546.0,705.0
Russia,imports,chromium,Metal                                             ,696.0,547.0,762.0,,,,,,,
Russia,imports,chromium,Ores & concentrates                               ,714322.0,600337.0,589584.0,,,,,,,
Serbia,imports,chromium,Ores & concentrates                               ,,,,,,,,330.0,519.0,436.0
Serbia and Montenegro,imports,chromium,Metal                                             ,3.0,4.0,152.0,,,,,,,
Serbia and Montenegro,imports,chromium,Ores & concentrates                               ,629.0,1581.0,1628.0,,,,,,,
Singapore,imports,chromium,Metal                                             ,23.0,29.0,43.0,,,,,,,
Singapore,imports,chromium,Ores & concentrates                               ,588.0,656.0,201.0,,,,,,,
Slovakia,imports,chromium,Metal                                             ,9.0,58.0,103.0,179.0,2.0,55.0,11.0,,104.0,
Slovakia,imports,chromium,Ores & concentrates                               ,54500.0,28803.0,16766.0,12624.0,24479.0,12475.0,11252.0,16819.0,11969.0,2533.0
Slovenia,imports,chromium,Metal                                             ,8.0,18.0,10.0,26.0,31.0,122.0,97.0,85.0,313.0,143.0
Slovenia,imports,chromium,Ores & concentrates                               ,607.0,722.0,451.0,340.0,406.0,446.0,1414.0,986.0,999.0,1005.0
South Africa,imports,chromium,Metal                                             ,172.0,87.0,95.0,,,,,,,
South Africa,imports,chromium,Ores & concentrates                               ,21301.0,11046.0,11152.0,,,,,,,
Spain,imports,chromium,Metal                                             ,385.0,1202.0,666.0,921.0,1520.0,1206.0,1552.0,1393.0,1219.0,1192.0
Spain,imports,chromium,Ores & concentrates                               ,5861.0,9141.0,2585.0,5799.0,3947.0,10262.0,5906.0,6437.0,6721.0,4031.0
