Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,imports,coal,Anthracite                                        ,5023.0,8245.0,9240.0,8729.0,500.0,,,,,
Albania,imports,coal,Other coal                                        ,59663.0,82438.0,90273.0,84406.0,79800.0,,,,,
Austria,imports,coal,Anthracite                                        ,3774.0,5760.0,5932.0,1654.0,2246.0,,,,,
Austria,imports,coal,Briquettes                                        ,34999.0,35695.0,26598.0,28482.0,32497.0,,,,,
Austria,imports,coal,Lignite                                           ,68777.0,74609.0,75705.0,82039.0,95181.0,,,,,
Austria,imports,coal,Other coal                                        ,3614354.0,3359294.0,3339262.0,3178153.0,3158357.0,,,,,
Belgium,imports,coal,Anthracite                                        ,2660267.0,3382132.0,2377808.0,2077612.0,1862605.0,,,,,
Belgium,imports,coal,Briquettes                                        ,27379.0,53793.0,40447.0,60486.0,65614.0,,,,,
Belgium,imports,coal,Lignite                                           ,362257.0,411424.0,425918.0,474879.0,495571.0,,,,,
Belgium,imports,coal,Other coal                                        ,6851382.0,5887514.0,7104464.0,6870834.0,4867631.0,,,,,
Bulgaria,imports,coal,Anthracite                                        ,1858397.0,2203775.0,1132609.0,732939.0,842995.0,,,,,
Bulgaria,imports,coal,Briquettes                                        ,46754.0,19.0,47.0,24.0,0.0,,,,,
Bulgaria,imports,coal,Other coal                                        ,1081783.0,1032074.0,1080540.0,964062.0,939141.0,,,,,
Croatia,imports,coal,Anthracite                                        ,1325.0,2332.0,234.0,2658.0,4194.0,,,,,
Croatia,imports,coal,Briquettes                                        ,1823.0,2302.0,2175.0,6848.0,3142.0,,,,,
Croatia,imports,coal,Lignite                                           ,85413.0,85316.0,44423.0,49158.0,41246.0,,,,,
Croatia,imports,coal,Other coal                                        ,1111497.0,1090562.0,874882.0,1178367.0,956749.0,,,,,
Cyprus,imports,coal,Hard coal                                         ,7714.0,129.0,164.0,386.0,5170.0,,,,,
Czech Republic,imports,coal,Anthracite                                        ,24471.0,95762.0,121247.0,183417.0,88545.0,,,,,
Czech Republic,imports,coal,Briquettes                                        ,137933.0,157513.0,156682.0,167695.0,135442.0,,,,,
Czech Republic,imports,coal,Lignite                                           ,49426.0,91889.0,350322.0,304216.0,1358543.0,,,,,
Czech Republic,imports,coal,Other coal                                        ,2016443.0,2286190.0,1833669.0,1940720.0,3019631.0,,,,,
Denmark,imports,coal,Anthracite                                        ,21000.0,6000.0,6000.0,7.0,308.0,,,,,
Denmark,imports,coal,Briquettes                                        ,7554.0,14768.0,4106.0,3522.0,675.0,,,,,
Denmark,imports,coal,Other coal                                        ,3670544.0,7107000.0,3827000.0,4516000.0,4465000.0,,,,,
Estonia,imports,coal,Hard coal                                         ,77300.0,89422.0,81082.0,58945.0,82302.0,,,,,
Finland,imports,coal,Hard coal                                         ,5919757.0,6972540.0,3954916.0,5064181.0,5436916.0,,,,,
France,imports,coal,Anthracite                                        ,2291609.0,1304643.0,1527937.0,1766268.0,1072158.0,,,,,
France,imports,coal,Briquettes                                        ,129465.0,102257.0,164158.0,120067.0,127366.0,,,,,
France,imports,coal,Lignite                                           ,52076.0,82504.0,75621.0,146480.0,154525.0,,,,,
France,imports,coal,Other coal                                        ,16688152.0,14073053.0,16249645.0,16699467.0,13170273.0,,,,,
Germany,imports,coal,Anthracite                                        ,3643048.0,2535881.0,1399126.0,1047216.0,990703.0,,,,,
