Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,imports,cobalt,Metal & refined,47.0,37.0,35.0,43.0,39.0,27.0,44.0,73.0,125.0,78.0
Australia,imports,cobalt,Oxides,71.0,55.0,47.0,54.0,77.0,71.0,75.0,96.0,79.0,113.0
Austria,imports,cobalt,Metal & refined,405.0,286.0,304.0,271.0,355.0,353.0,283.0,439.0,340.0,332.0
Austria,imports,cobalt,Oxides                                            ,23.0,20.0,21.0,24.0,,,,,,
Belgium-Luxembourg,imports,cobalt,Metal & refined,440.0,460.0,600.0,300.0,1080.0,1000.0,1000.0,1500.0,2000.0,5000.0
Belgium-Luxembourg,imports,cobalt,Oxides                                            ,191.0,171.0,184.0,202.0,348.0,475.0,263.0,340.0,358.0,436.0
Brazil,imports,cobalt,Metal & refined,496.0,564.0,263.0,355.0,418.0,358.0,306.0,1002.0,297.0,185.0
Brazil,imports,cobalt,Ore                                               ,,,,,,,,,,59.0
Brazil,imports,cobalt,Oxides,48.0,45.0,59.0,73.0,74.0,94.0,246.0,243.0,208.0,
Brazil,imports,cobalt,Oxides                                            ,,,,,,,,,,149.0
Canada,imports,cobalt,Metal & refined,,,,,950.0,1246.0,856.0,1224.0,1325.0,862.0
Canada,imports,cobalt,,812.0,2083.0,1200.0,546.0,,,,,,
Canada,imports,cobalt,,812.0,2083.0,,,,,,,,
China,imports,cobalt,Metal & refined,,,,581.0,435.0,1052.0,428.0,572.0,600.0,1348.0
China,imports,cobalt,Ore                                               ,,,,,2142.0,4691.0,4913.0,494.0,2787.0,7573.0
China,imports,cobalt,Oxides                                            ,,,,69.0,324.0,197.0,108.0,150.0,52.0,98.0
China,imports,cobalt,,498.0,437.0,768.0,,,,,,,
China,imports,cobalt,,498.0,437.0,,,,,,,,
Czech Republic,imports,cobalt,Metal & refined,,,,,,,,48.0,81.0,55.0
Czech Republic,imports,cobalt,Oxides                                            ,,,,,,,,,27.0,32.0
Denmark,imports,cobalt,Metal & refined,24.0,19.0,13.0,18.0,27.0,24.0,123.0,8.0,,
Denmark,imports,cobalt,Oxides                                            ,,,,,,,,,,
Dubai,imports,cobalt,Metal & refined,,,,,,,11.0,272.0,434.0,930.0
Estonia,imports,cobalt,Metal & refined,,,,,,,,2.0,36.0,29.0
Finland,imports,cobalt,Ore                                               ,,,,,,,0.0,138.0,12690.0,90323.0
Finland,imports,cobalt,Oxides                                            ,,,,,55.0,23.0,15.0,,,
France,imports,cobalt,Metal & refined,1632.0,1339.0,1559.0,978.0,1453.0,1643.0,1256.0,2023.0,1768.0,1428.0
France,imports,cobalt,Ore                                               ,,,,,,49.0,30.0,76.0,1639.0,80.0
France,imports,cobalt,Oxides                                            ,290.0,404.0,415.0,555.0,578.0,602.0,539.0,649.0,568.0,534.0
German Democratic Rep,imports,cobalt,,20.0,,,,,,,,,
German Federal Republic,imports,cobalt,Metal & refined,2765.0,,,,,,,,,
German Federal Republic,imports,cobalt,Oxides                                            ,496.0,,,,,,,,,
Germany,imports,cobalt,Metal & refined,,2163.0,2476.0,1819.0,2220.0,2360.0,2508.0,2127.0,2481.0,2094.0
Germany,imports,cobalt,Oxides                                            ,,503.0,447.0,478.0,621.0,479.0,346.0,339.0,477.0,488.0
Greece,imports,cobalt,Metal & refined,,,,,30.0,32.0,39.0,43.0,57.0,44.0
Hong Kong,imports,cobalt,Metal & refined,,,1828.0,1207.0,1427.0,1171.0,1342.0,1626.0,890.0,1481.0
Hong Kong,imports,cobalt,Ore                                               ,,,,,,21.0,204.0,273.0,0.0,
Hong Kong,imports,cobalt,Oxides,62.0,46.0,64.0,211.0,771.0,309.0,153.0,333.0,161.0,230.0
India,imports,cobalt,Metal & refined,318.0,205.0,197.0,233.0,322.0,330.0,361.0,408.0,384.0,357.0
India,imports,cobalt,Ore                                               ,,,,,,12.0,251.0,607.0,2465.0,2356.0
India,imports,cobalt,Oxides                                            ,,,,,,,,,,11.0
India,imports,cobalt,,318.0,205.0,,,,,,,,
Indonesia,imports,cobalt,Metal & refined,,,,,5.0,44.0,29.0,42.0,163.0,5.0
Indonesia,imports,cobalt,Ore                                               ,,,,,,,0.0,49.0,22.0,1554.0
Indonesia,imports,cobalt,Oxides                                            ,41.0,156.0,139.0,60.0,54.0,48.0,69.0,,79.0,82.0
Iran,imports,cobalt,Metal & refined,,,,,,,,,39.0,15.0
Iran,imports,cobalt,Oxides,,,,,,,50.0,61.0,29.0,49.0
"Ireland, Republic of",imports,cobalt,Metal & refined,,,0.0,408.0,249.0,140.0,149.0,191.0,265.0,151.0
"Ireland, Republic of",imports,cobalt,Oxides                                            ,,,,,,25.0,12.0,35.0,21.0,70.0
Italy,imports,cobalt,Metal & refined,632.0,543.0,722.0,603.0,698.0,629.0,682.0,691.0,595.0,564.0
Italy,imports,cobalt,Oxides                                            ,591.0,656.0,510.0,608.0,655.0,734.0,669.0,735.0,914.0,874.0
Japan,imports,cobalt,Metal & refined,4807.0,6815.0,4387.0,4107.0,5809.0,5548.0,6662.0,7016.0,6789.0,7476.0
Japan,imports,cobalt,Oxides,631.0,571.0,336.0,498.0,620.0,808.0,1119.0,1753.0,1752.0,2800.0
Korea (Rep. of),imports,cobalt,Metal & refined,630.0,654.0,467.0,577.0,717.0,796.0,573.0,626.0,561.0,820.0
Korea (Rep. of),imports,cobalt,Oxides                                            ,147.0,168.0,120.0,133.0,121.0,140.0,172.0,147.0,126.0,218.0
Malaysia,imports,cobalt,Metal & refined,88.0,25.0,26.0,131.0,1689.0,300.0,300.0,100.0,400.0,700.0
Malaysia,imports,cobalt,Oxides                                            ,,29.0,199.0,43.0,67.0,64.0,83.0,44.0,72.0,62.0
Mexico,imports,cobalt,Metal & refined,31.0,49.0,124.0,46.0,53.0,36.0,52.0,97.0,158.0,69.0
Mexico,imports,cobalt,Oxides                                            ,182.0,277.0,172.0,138.0,166.0,125.0,176.0,250.0,267.0,196.0
Netherlands,imports,cobalt,Metal & refined,127.0,161.0,125.0,254.0,476.0,615.0,577.0,456.0,679.0,1394.0
Netherlands,imports,cobalt,Oxides                                            ,329.0,316.0,270.0,211.0,212.0,257.0,244.0,452.0,337.0,228.0
Norway,imports,cobalt,Metal & refined,2.0,13.0,78.0,1075.0,922.0,1637.0,1754.0,1100.0,1661.0,1371.0
Norway,imports,cobalt,Oxides                                            ,2.0,41.0,335.0,890.0,912.0,1018.0,696.0,408.0,631.0,645.0
Philippines,imports,cobalt,Metal & refined,,,,,,,,33.0,12.0,20.0
Poland,imports,cobalt,Metal & refined,,,,,,,33.0,37.0,48.0,37.0
Poland,imports,cobalt,Oxides,,,,,,,35.0,46.0,54.0,31.0
Portugal,imports,cobalt,Oxides,,,,,,,,,,
Russia,imports,cobalt,Metal & refined,,,,100.0,100.0,500.0,107.0,1.0,72.0,17.0
Russia,imports,cobalt,Oxides,,,,,,,16.0,56.0,27.0,
Russia,imports,cobalt,Oxides                                            ,,,,,,,,,,72.0
Russia,imports,cobalt,,,,100.0,,,,,,,
Saudi Arabia,imports,cobalt,Oxides                                            ,106.0,256.0,52.0,254.0,19.0,537.0,142.0,192.0,74.0,1666.0
Singapore,imports,cobalt,Metal & refined,,264.0,41.0,41.0,542.0,257.0,355.0,619.0,780.0,852.0
Singapore,imports,cobalt,Oxides,,42.0,82.0,101.0,157.0,,290.0,207.0,137.0,279.0
Slovenia,imports,cobalt,Metal & refined,,,,,,,,,83.0,134.0
South Africa,imports,cobalt,Metal & refined,348.0,324.0,114.0,158.0,1202.0,580.0,195.0,629.0,840.0,822.0
South Africa,imports,cobalt,Ore                                               ,,,,,,,,0.0,327.0,2862.0
South Africa,imports,cobalt,Oxides                                            ,6.0,14.0,17.0,16.0,10.0,12.0,2.0,7.0,44.0,67.0
Spain,imports,cobalt,Metal & refined,285.0,189.0,173.0,183.0,113.0,144.0,190.0,163.0,146.0,204.0
Spain,imports,cobalt,Ore                                               ,,,,,,,,,,
Spain,imports,cobalt,Oxides                                            ,255.0,209.0,248.0,362.0,135.0,437.0,540.0,783.0,901.0,1071.0
Sweden,imports,cobalt,Metal & refined,,,,,741.0,1085.0,816.0,669.0,1004.0,680.0
Sweden,imports,cobalt,,785.0,576.0,881.0,510.0,,,,,,
Sweden,imports,cobalt,,785.0,576.0,,,,,,,,
Switzerland,imports,cobalt,Metal & refined,,,,,295.0,335.0,275.0,353.0,353.0,316.0
Switzerland,imports,cobalt,,256.0,248.0,249.0,287.0,,,,,,
Switzerland,imports,cobalt,,256.0,248.0,,,,,,,,
Taiwan,imports,cobalt,Metal & refined,107.0,181.0,175.0,271.0,474.0,517.0,790.0,879.0,1010.0,859.0
Taiwan,imports,cobalt,Oxides                                            ,148.0,133.0,102.0,178.0,223.0,244.0,232.0,197.0,164.0,182.0
Thailand,imports,cobalt,Metal & refined,,,,,40.0,12.0,48.0,119.0,109.0,131.0
Thailand,imports,cobalt,Oxides,,,,,35.0,48.0,52.0,55.0,32.0,84.0
Turkey,imports,cobalt,Metal & refined,,,,,39.0,,83.0,70.0,60.0,58.0
Turkey,imports,cobalt,Oxides                                            ,63.0,57.0,72.0,46.0,34.0,39.0,46.0,80.0,53.0,59.0
USA,imports,cobalt,Metal & refined,6377.0,6894.0,6081.0,6140.0,6945.0,6682.0,6651.0,7858.0,8036.0,7584.0
USA,imports,cobalt,Oxides,488.0,584.0,430.0,444.0,768.0,808.0,892.0,1149.0,1205.0,1264.0
United Kingdom,imports,cobalt,Metal & refined,3857.0,3558.0,3157.0,3344.0,3501.0,3458.0,3875.0,3980.0,3950.0,4434.0
