Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,imports,copper,Unwrought,,,5790.0,5544.0,3990.0,84.0,2192.0,3830.0,4325.0,2399.0
Argentina,imports,copper,"Unwrought, refined",22885.0,34717.0,37313.0,36667.0,44696.0,38932.0,28526.0,36695.0,31189.0,46812.0
Australia,imports,copper,Scrap,2916.0,2318.0,2739.0,7949.0,1407.0,1169.0,957.0,796.0,869.0,1109.0
Australia,imports,copper,Unwrought,50.0,64.0,31.0,553.0,503.0,4.0,8.0,33.0,11.0,228.0
Australia,imports,copper,Unwrought alloys,49.0,82.0,50.0,77.0,73.0,52.0,66.0,458.0,120.0,283.0
Austria,imports,copper,Scrap,13544.0,9483.0,7878.0,11880.0,8937.0,11904.0,12938.0,12116.0,15602.0,23280.0
Austria,imports,copper,Unwrought alloys,1023.0,1298.0,1823.0,1265.0,1523.0,882.0,1935.0,1445.0,1036.0,1340.0
Austria,imports,copper,"Unwrought, refined",26432.0,27725.0,28889.0,25182.0,26477.0,15869.0,10348.0,8066.0,4406.0,3664.0
Austria,imports,copper,"Unwrought, unrefined",5460.0,6554.0,8635.0,5909.0,6569.0,8268.0,9706.0,12949.0,15948.0,7887.0
Belgium-Luxembourg,imports,copper,Burnt cupreous pyrites,,,,,,,37730.0,23847.0,13240.0,7964.0
Belgium-Luxembourg,imports,copper,Ores & concentrates,21222.0,37594.0,25447.0,30990.0,32406.0,46651.0,24053.0,21283.0,5485.0,1774.0
Belgium-Luxembourg,imports,copper,Scrap,115125.0,62322.0,51478.0,89449.0,100321.0,58545.0,82098.0,69660.0,64993.0,100383.0
Belgium-Luxembourg,imports,copper,Unwrought,384748.0,369958.0,399206.0,443537.0,,,,,,
Belgium-Luxembourg,imports,copper,Unwrought alloys,,,,,4233.0,2765.0,5573.0,3465.0,2741.0,2993.0
Belgium-Luxembourg,imports,copper,"Unwrought, matte",,,,,,,,,,
Belgium-Luxembourg,imports,copper,"Unwrought, refined",,,,,187769.0,187891.0,302216.0,358305.0,361165.0,343106.0
Belgium-Luxembourg,imports,copper,"Unwrought, unrefined",,,,,201189.0,214471.0,,,,
Brazil,imports,copper,Scrap,,,,,,,,,1303.0,2326.0
Brazil,imports,copper,"Unwrought, refined",50638.0,70437.0,84817.0,93001.0,131418.0,127664.0,150552.0,182299.0,156989.0,190175.0
Bulgaria,imports,copper,Ores & concentrates,,,,,,,,,650.0,2800.0
Bulgaria,imports,copper,Unwrought,,,,,,,,,,1100.0
Canada,imports,copper,Ores & concentrates,,,16127.0,47463.0,49139.0,16519.0,14012.0,4615.0,18427.0,2653.0
Canada,imports,copper,Scrap,3421.0,3620.0,3506.0,5372.0,5191.0,3728.0,4754.0,15577.0,27539.0,35442.0
Canada,imports,copper,Unwrought,13192.0,19866.0,16241.0,17179.0,22106.0,10908.0,9124.0,18821.0,21441.0,32541.0
Canada,imports,copper,Unwrought alloys,,,9105.0,8546.0,8839.0,5937.0,6680.0,7913.0,9941.0,9814.0
China,imports,copper,Unwrought,,,18500.0,65200.0,,,,,134100.0,134200.0
China,imports,copper,"Unwrought, refined",,,,,112100.0,36900.0,32100.0,37300.0,,
Colombia,imports,copper,Unwrought,,,,,,,,1969.0,3209.0,3613.0
Colombia,imports,copper,Unwrought & Scrap,869.0,920.0,1466.0,1172.0,4.0,,1192.0,,,
Cuba,imports,copper,Unwrought,,,,2761.0,,,,,,
