Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Abu Dhabi,imports,diamond,,,,,,,,,,,
Algeria,imports,diamond,Industrial                                        ,,,,,,,,55000.0,75000.0,75000.0
Argentina,imports,diamond,Dust                                              ,436550.0,487170.0,429700.0,360220.0,,500000.0,455000.0,600000.0,260000.0,
Argentina,imports,diamond,Industrial                                        ,55000.0,305000.0,45000.0,15000.0,360000.0,135000.0,115000.0,870000.0,115000.0,
Australia,imports,diamond,Dust                                              ,,,,,,,,,783000.0,755000.0
Australia,imports,diamond,Gem                                               ,67415.0,78558.0,75801.0,71981.0,96966.0,114185.0,112121.0,113639.0,127555.0,148000.0
Australia,imports,diamond,Industrial                                        ,1259233.0,1267592.0,1024470.0,1120405.0,1471714.0,1787148.0,2249893.0,2749365.0,2176931.0,1577000.0
Australia,imports,diamond,Rough                                             ,,,,,,3736.0,0.0,90554.0,313343.0,8000.0
Austria,imports,diamond,Dust                                              ,,,,,,,,,4505000.0,5440000.0
Austria,imports,diamond,Industrial                                        ,50000.0,25000.0,40000.0,15000.0,65000.0,55000.0,50000.0,10000.0,10135000.0,5060000.0
Austria,imports,diamond,Other                                             ,125000.0,230000.0,115000.0,75000.0,40000.0,80000.0,80000.0,110000.0,60000.0,45000.0
Belgium-Luxembourg,imports,diamond,Cut                                               ,2097733.0,1990760.0,2453910.0,2576938.0,2698445.0,2662239.0,3508531.0,3543728.0,4060064.0,4402608.0
Belgium-Luxembourg,imports,diamond,Dust                                              ,,,,,,22618135.0,14400000.0,15560140.0,16545000.0,26218635.0
Belgium-Luxembourg,imports,diamond,Industrial                                        ,9388064.0,13402937.0,18312529.0,14148153.0,16534385.0,18750532.0,18232730.0,18592351.0,21943039.0,24380043.0
Belgium-Luxembourg,imports,diamond,Rough                                             ,26513377.0,29574750.0,29267085.0,31731755.0,37746620.0,42855082.0,55831368.0,66204960.0,66154145.0,74616865.0
Brazil,imports,diamond,Cut                                               ,8335.0,2085.0,4210.0,1925.0,225.0,260.0,1870.0,100.0,0.0,10000.0
Brazil,imports,diamond,Dust                                              ,2872070.0,2438630.0,1772635.0,2918510.0,3001360.0,3355145.0,4221980.0,4698335.0,6068840.0,6920000.0
Brazil,imports,diamond,Industrial                                        ,416345.0,160010.0,128305.0,105675.0,48575.0,88730.0,132250.0,128370.0,171455.0,640000.0
Brazil,imports,diamond,Rough                                             ,5990.0,2000.0,715.0,750.0,0.0,0.0,,,,
Bulgaria,imports,diamond,,,133600.0,126800.0,86700.0,87300.0,179200.0,138500.0,25200.0,18700.0,16000.0
Canada,imports,diamond,Cut                                               ,133308.0,191293.0,200582.0,275711.0,263143.0,297961.0,296740.0,273018.0,91934.0,104501.0
Canada,imports,diamond,Dust                                              ,1287451.0,1799297.0,885816.0,1577841.0,2378496.0,2647489.0,4128282.0,2457987.0,6394797.0,2653848.0
Canada,imports,diamond,Industrial                                        ,1343395.0,1503758.0,1090627.0,1168149.0,1382677.0,1360396.0,1733857.0,3348200.0,2110586.0,1331724.0
Chile,imports,diamond,Industrial                                        ,,,,,,,,,,
China,imports,diamond,Industrial                                        ,191400.0,240616.0,266124.0,358123.0,502298.0,551052.0,759872.0,106148.0,1044235.0,408415.0
China,imports,diamond,Other                                             ,482700.0,6900.0,22200.0,19400.0,65600.0,68900.0,123700.0,119183.0,342575.0,478320.0
Colombia,imports,diamond,Industrial                                        ,,,,,,25000.0,95000.0,,105000.0,295000.0
Colombia,imports,diamond,Other                                             ,,,,,,55000.0,85000.0,,65000.0,50000.0
Costa Rica,imports,diamond,Industrial                                        ,90000.0,,560000.0,160000.0,330000.0,330000.0,160000.0,210000.0,5000.0,45000.0
Czechoslovakia,imports,diamond,,33200.0,130000.0,101900.0,30200.0,103500.0,52900.0,55600.0,180200.0,47800.0,21800.0
El Salvador,imports,diamond,Industrial                                        ,750000.0,955000.0,225000.0,70000.0,235000.0,,,,,
Finland,imports,diamond,Industrial                                        ,10000.0,10000.0,10000.0,10000.0,10000.0,15000.0,425000.0,15000.0,210000.0,245000.0
Finland,imports,diamond,Other                                             ,20000.0,50000.0,20000.0,15000.0,15000.0,35000.0,30000.0,640000.0,125000.0,20000.0
France,imports,diamond,Cut                                               ,705079.0,627869.0,1099717.0,469559.0,297018.0,236638.0,300679.0,372972.0,443950.0,314179.0
France,imports,diamond,Dust                                              ,4469740.0,4453265.0,4125495.0,4334170.0,4663900.0,5284730.0,5598255.0,5863980.0,7140455.0,8947820.0
France,imports,diamond,Industrial                                        ,689793.0,1170808.0,694744.0,489081.0,479777.0,1347679.0,253252.0,280955.0,360430.0,554106.0
France,imports,diamond,Rough                                             ,21867.0,18060.0,9443.0,89677.0,949325.0,23950.0,15025.0,15173.0,48512.0,29709.0
German Democratic Rep,imports,diamond,,,,,,35100.0,25700.0,68900.0,39300.0,90400.0,39800.0
German Federal Republic,imports,diamond,Cut                                               ,525976.0,477949.0,474943.0,509479.0,461321.0,401563.0,479011.0,563920.0,601688.0,650622.0
German Federal Republic,imports,diamond,Dust                                              ,,,,,,,,,61195000.0,38205000.0
German Federal Republic,imports,diamond,Industrial                                        ,1105324.0,961711.0,864233.0,939371.0,1082628.0,1166858.0,1180203.0,1155651.0,983250.0,1255480.0
German Federal Republic,imports,diamond,Rough                                             ,34540.0,18529.0,18061.0,24967.0,9678.0,20405.0,11325.0,9224.0,14104.0,10798.0
Germany,imports,diamond,Cut                                               ,,,,,,,,,,
Germany,imports,diamond,Dust                                              ,,,,,,,,,,
Germany,imports,diamond,Industrial                                        ,,,,,,,,,,
Germany,imports,diamond,Rough                                             ,,,,,,,,,,
Greece,imports,diamond,Dust                                              ,,,,,,,,,18149450.0,3080000.0
Greece,imports,diamond,Industrial                                        ,,,,17776.0,27280.0,33875.0,29413.0,38608.0,99903.0,69350.0
Greece,imports,diamond,Other                                             ,,,,2341.0,190352.0,9370.0,19202.0,23645.0,78809.0,78409.0
Honduras,imports,diamond,Industrial                                        ,10000.0,1070000.0,,805000.0,,,,,,
Hong Kong,imports,diamond,Cut                                               ,1169288.0,1094272.0,1220652.0,1167524.0,1248658.0,1343518.0,1984785.0,2472936.0,2791158.0,2848252.0
Hong Kong,imports,diamond,Industrial                                        ,145309.0,9260.0,127489.0,20190.0,148748.0,234076.0,427305.0,355698.0,653788.0,227070.0
Hong Kong,imports,diamond,Rough                                             ,121377.0,108528.0,221450.0,118739.0,87054.0,90611.0,105825.0,99698.0,216690.0,267007.0
Hungary,imports,diamond,Industrial                                        ,,24186.0,31025.0,23819.0,18926.0,21474.0,30386.0,29149.0,120487.0,21647.0
India,imports,diamond,Industrial                                        ,965000.0,590000.0,1270000.0,,170000.0,715000.0,590000.0,5170000.0,125000.0,45000.0
India,imports,diamond,Rough                                             ,20006377.0,19637202.0,36646703.0,,,39808594.0,58620165.0,58813329.0,72452779.0,72914421.0
Indonesia,imports,diamond,Industrial                                        ,1620000.0,200000.0,,,,,,,,
"Ireland, Republic of",imports,diamond,Dust                                              ,,,,,,,,,13325000.0,9745000.0
"Ireland, Republic of",imports,diamond,Industrial                                        ,20000.0,25000.0,3380000.0,1015000.0,5000.0,3015000.0,2930000.0,110000.0,185000.0,925000.0
"Ireland, Republic of",imports,diamond,Other                                             ,,,,,,,,,1475000.0,1365000.0
Israel,imports,diamond,Cut                                               ,102000.0,72000.0,197000.0,296000.0,401000.0,444000.0,478000.0,601000.0,810000.0,851000.0
Israel,imports,diamond,Industrial                                        ,2451000.0,2453000.0,2667000.0,3565000.0,4325000.0,5779000.0,6778000.0,8529000.0,,
Israel,imports,diamond,Rough                                             ,5884000.0,4259000.0,4662000.0,5693000.0,6438000.0,8123000.0,9717000.0,10757000.0,12521000.0,10296000.0
Italy,imports,diamond,Dust                                              ,,,,,,,,,33575000.0,39911380.0
Italy,imports,diamond,Industrial                                        ,221140.0,183034.0,169727.0,114613.0,179458.0,187880.0,153921.0,169003.0,316734.0,283038.0
Italy,imports,diamond,Other                                             ,173711.0,215246.0,196650.0,171443.0,193540.0,219958.0,222140.0,231400.0,1476352.0,2170329.0
Japan,imports,diamond,Cut                                               ,683055.0,766890.0,823757.0,906574.0,1042415.0,1177040.0,1571921.0,2356713.0,3344661.0,3243934.0
Japan,imports,diamond,Dust                                              ,828240.0,726815.0,881650.0,987205.0,1399120.0,1267595.0,1305535.0,1541830.0,1810015.0,2072354.0
Japan,imports,diamond,Industrial                                        ,681354.0,634540.0,757507.0,793890.0,681713.0,721704.0,737530.0,519349.0,631311.0,654918.0
Japan,imports,diamond,Rough                                             ,29763.0,13363.0,19292.0,17108.0,29605.0,18129.0,151272.0,23431.0,40279.0,108629.0
Kenya,imports,diamond,Rough & Cut,5050.0,280000.0,0.0,0.0,30000.0,,,,,
Korea (Rep. of),imports,diamond,Dust                                              ,1120235.0,198655.0,28600.0,135000.0,387210.0,62900.0,106335.0,96590.0,1243200.0,153750.0
Korea (Rep. of),imports,diamond,Industrial                                        ,,,,,,,,30000.0,235115.0,216130.0
Korea (Rep. of),imports,diamond,Other                                             ,,,,,,,,45000.0,14980.0,14600.0
Kuwait,imports,diamond,,,,,,,,8305000.0,4315000.0,1780000.0,1750000.0
Malaysia,imports,diamond,Industrial                                        ,,,,,,,,,,226000.0
Malta,imports,diamond,Cut                                               ,,,0.0,,,,,,,
