Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Argentina,imports,diatomite,,5848.0,4938.0,5137.0,,,,,,,
Australia,imports,diatomite,,9440.0,9411.0,9506.0,,,,,,,
Austria,imports,diatomite,,22891.0,21396.0,24364.0,12946.0,13178.0,12892.0,11693.0,13710.0,12561.0,16327.0
Belarus,imports,diatomite,,2299.0,402.0,309.0,,,,,,,
Belgium,imports,diatomite,,,,,,,,7450.0,8483.0,8353.0,6414.0
Belgium-Luxembourg,imports,diatomite,,6776.0,9067.0,8357.0,7507.0,9052.0,8192.0,,,,
Brazil,imports,diatomite,,3182.0,3985.0,4107.0,,,,,,,
Bulgaria,imports,diatomite,,1141.0,1198.0,8478.0,1139.0,1292.0,1312.0,1156.0,436.0,,
Cameroon,imports,diatomite,,461.0,590.0,,,,,,,,
Canada,imports,diatomite,,20339.0,19910.0,19966.0,,,,,,,
Chile,imports,diatomite,,14748.0,11256.0,14849.0,,,,,,,
China,imports,diatomite,,3053.0,2775.0,1910.0,,,,,,,
Colombia,imports,diatomite,,3158.0,4090.0,2820.0,,,,,,,
Croatia,imports,diatomite,,631.0,1232.0,928.0,809.0,703.0,495.0,633.0,610.0,511.0,462.0
Czech Republic,imports,diatomite,,1895.0,1695.0,1647.0,1562.0,1969.0,2263.0,2288.0,3318.0,4768.0,3173.0
Denmark,imports,diatomite,,5993.0,5728.0,7175.0,6744.0,5001.0,6561.0,4974.0,4244.0,5849.0,3347.0
Ecuador,imports,diatomite,,392.0,272.0,186.0,,,,,,,
Egypt,imports,diatomite,,,833.0,,,,,,,,
El Salvador,imports,diatomite,,788.0,756.0,595.0,,,,,,,
Finland,imports,diatomite,,2738.0,2996.0,5871.0,6981.0,5881.0,2700.0,2339.0,3510.0,3344.0,3015.0
France,imports,diatomite,,14075.0,12725.0,12168.0,12194.0,12368.0,11181.0,12712.0,14371.0,14308.0,15163.0
Germany,imports,diatomite,,45488.0,35286.0,34820.0,43406.0,48644.0,40224.0,40197.0,42882.0,49237.0,38258.0
Greece,imports,diatomite,,714.0,504.0,529.0,556.0,610.0,645.0,757.0,958.0,790.0,482.0
Guatemala,imports,diatomite,,337.0,559.0,393.0,,,,,,,
Honduras,imports,diatomite,,569.0,963.0,394.0,,,,,,,
Hong Kong,imports,diatomite,,1547.0,777.0,478.0,,,,,,,
Hungary,imports,diatomite,,2975.0,2845.0,1633.0,1593.0,1390.0,1158.0,1476.0,2111.0,1110.0,796.0
Iceland,imports,diatomite,,,,,17.0,29.0,,,,,
India,imports,diatomite,,3389.0,3195.0,2337.0,,,,,,,
Indonesia,imports,diatomite,,3405.0,3907.0,3187.0,,,,,,,
Iran,imports,diatomite,,381.0,,650.0,,,,,,,
"Ireland, Republic of",imports,diatomite,,211.0,286.0,450.0,729.0,594.0,641.0,943.0,859.0,1458.0,1243.0
Italy,imports,diatomite,,7865.0,7047.0,8990.0,10429.0,14744.0,9141.0,5179.0,4487.0,3939.0,2497.0
Japan,imports,diatomite,,9054.0,7427.0,6889.0,,,,,,,
Kazakhstan,imports,diatomite,,503.0,,,,,,,,,
Korea (Rep. of),imports,diatomite,,188.0,685.0,1754.0,,,,,,,
Latvia,imports,diatomite,,211.0,263.0,236.0,392.0,592.0,389.0,467.0,545.0,681.0,534.0
Lithuania,imports,diatomite,,364.0,319.0,503.0,1499.0,917.0,520.0,504.0,1178.0,763.0,836.0
Luxembourg,imports,diatomite,,,,,,,,1167.0,159.0,1492.0,7054.0
Malaysia,imports,diatomite,,3588.0,,,,,,,,,
Mexico,imports,diatomite,,1795.0,968.0,781.0,,,,,,,
Moldova,imports,diatomite,,100.0,204.0,284.0,,,,,,,
Morocco,imports,diatomite,,262.0,284.0,,,,,,,,
Netherlands,imports,diatomite,,20654.0,11800.0,12979.0,12069.0,10806.0,7967.0,6799.0,7214.0,6275.0,3794.0
New Zealand,imports,diatomite,,1479.0,1599.0,1389.0,,,,,,,
Nigeria,imports,diatomite,,1037.0,,,,,,,,,
Norway,imports,diatomite,,1974.0,2021.0,1400.0,1596.0,2500.0,2044.0,1228.0,1645.0,1891.0,931.0
Panama,imports,diatomite,,540.0,413.0,461.0,,,,,,,
Peru,imports,diatomite,,2323.0,2972.0,2966.0,,,,,,,
Philippines,imports,diatomite,,1126.0,726.0,,,,,,,,
Poland,imports,diatomite,,7150.0,7284.0,6961.0,6394.0,6387.0,6465.0,5997.0,8235.0,9504.0,9790.0
Portugal,imports,diatomite,,2151.0,1771.0,1537.0,3223.0,2263.0,3946.0,3432.0,1731.0,1372.0,1127.0
Qatar,imports,diatomite,,,3411.0,2060.0,,,,,,,
Romania,imports,diatomite,,3133.0,2980.0,2909.0,3267.0,3294.0,3183.0,3707.0,3254.0,3798.0,2477.0
Russia,imports,diatomite,,6130.0,7287.0,7865.0,,,,,,,
Saudi Arabia,imports,diatomite,,3169.0,1006.0,2657.0,,,,,,,
Serbia and Montenegro,imports,diatomite,,1104.0,643.0,1121.0,,,,,,,
Singapore,imports,diatomite,,3151.0,2596.0,2858.0,,,,,,,
Slovakia,imports,diatomite,,1599.0,1406.0,1283.0,1067.0,865.0,675.0,698.0,549.0,577.0,901.0
Slovenia,imports,diatomite,,481.0,503.0,446.0,450.0,730.0,846.0,738.0,686.0,644.0,550.0
South Africa,imports,diatomite,,4272.0,3772.0,4788.0,,,,,,,
Spain,imports,diatomite,,5501.0,5349.0,4442.0,10575.0,7166.0,5256.0,7281.0,9340.0,8870.0,9600.0
Sudan,imports,diatomite,,,3601.0,5878.0,,,,,,,
Sweden,imports,diatomite,,5964.0,4684.0,3913.0,4143.0,5475.0,5096.0,6095.0,6976.0,6929.0,6082.0
Switzerland,imports,diatomite,,3869.0,4332.0,3534.0,5425.0,11204.0,3291.0,3157.0,4636.0,4864.0,5071.0
Taiwan,imports,diatomite,,8316.0,7245.0,6540.0,,,,,,,
Thailand,imports,diatomite,,1398.0,1252.0,1230.0,,,,,,,
Tunisia,imports,diatomite,,1212.0,1180.0,,,,,,,,
Turkey,imports,diatomite,,1183.0,1211.0,1185.0,1736.0,1211.0,1460.0,1619.0,1385.0,1491.0,1392.0
USA,imports,diatomite,,531.0,1990.0,523.0,,,,,,,
United Kingdom,imports,diatomite,,35561.0,33474.0,34490.0,37217.0,34988.0,29208.0,28290.0,24224.0,23084.0,22014.0
Venezuela,imports,diatomite,,1573.0,2224.0,1039.0,,,,,,,
"Yemen, Republic of",imports,diatomite,,,,35.0,,,,,,,
