Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,imports,feldspar,,3391.0,,,,,,,,,
Austria,imports,feldspar,,3844.0,4213.0,1608.0,1083.0,418.0,1549.0,2220.0,3816.0,1928.0,1933.0
Belarus,imports,feldspar,,30186.0,44065.0,71806.0,,,,,,,
Belgium,imports,feldspar,,,,,,,,21482.0,25951.0,34837.0,27113.0
Belgium-Luxembourg,imports,feldspar,,25329.0,25250.0,24632.0,30225.0,30969.0,25876.0,,,,
Brazil,imports,feldspar,,1547.0,735.0,1220.0,,,,,,,
Bulgaria,imports,feldspar,,18920.0,22072.0,21852.0,23367.0,30805.0,34723.0,40416.0,35851.0,31346.0,54178.0
Canada,imports,feldspar,,1704.0,1426.0,1498.0,,,,,,,
Chile,imports,feldspar,,2430.0,3355.0,,,,,,,,
China,imports,feldspar,,6205.0,3446.0,3360.0,,,,,,,
Costa Rica,imports,feldspar,,6398.0,5919.0,6533.0,,,,,,,
Croatia,imports,feldspar,,6578.0,10491.0,10609.0,11894.0,13713.0,17011.0,15986.0,16212.0,15983.0,14603.0
Czech Republic,imports,feldspar,,7658.0,7226.0,7975.0,7388.0,8785.0,13315.0,16032.0,14213.0,11414.0,5330.0
Denmark,imports,feldspar,,3740.0,5753.0,4698.0,3904.0,3878.0,3868.0,2590.0,3145.0,2678.0,2666.0
Ecuador,imports,feldspar,,2264.0,4611.0,2217.0,,,,,,,
Egypt,imports,feldspar,,,83.0,,,,,,,,
Estonia,imports,feldspar,,,,,,,,,,114.0,115.0
Finland,imports,feldspar,,734.0,742.0,352.0,104.0,257.0,380.0,796.0,1023.0,699.0,851.0
France,imports,feldspar,,37596.0,29741.0,40941.0,37538.0,44615.0,85460.0,54106.0,20974.0,59857.0,43981.0
Germany,imports,feldspar,,51494.0,51965.0,43033.0,50809.0,70064.0,101931.0,126834.0,143596.0,143758.0,130081.0
Ghana,imports,feldspar,,164.0,63.0,,,,,,,,
Greece,imports,feldspar,,2545.0,7466.0,4599.0,5216.0,499.0,3032.0,439.0,478.0,2830.0,5851.0
Hong Kong,imports,feldspar,,410.0,84.0,0.0,,,,,,,
Hungary,imports,feldspar,,24276.0,19213.0,20250.0,19131.0,19205.0,20184.0,16091.0,13567.0,10418.0,14499.0
India,imports,feldspar,,5.0,246.0,8219.0,,,,,,,
Indonesia,imports,feldspar,,105271.0,120525.0,118819.0,,,,,,,
"Ireland, Republic of",imports,feldspar,,50.0,,,,,,,,,
Italy,imports,feldspar,,1566525.0,1865170.0,1871798.0,2291993.0,2693951.0,2623428.0,2603981.0,2573637.0,2511704.0,1570345.0
Japan,imports,feldspar,,1781.0,1366.0,2049.0,,,,,,,
Jordan,imports,feldspar,,940.0,979.0,1261.0,,,,,,,
Korea (Rep. of),imports,feldspar,,1629.0,1316.0,1882.0,,,,,,,
Latvia,imports,feldspar,,,,,,,,,,852.0,9.0
Lebanon,imports,feldspar,,15849.0,24708.0,,,,,,,,
Lithuania,imports,feldspar,,5563.0,5065.0,3259.0,3380.0,7461.0,4166.0,1933.0,1693.0,1516.0,2958.0
Malaysia,imports,feldspar,,280968.0,382850.0,,,,,,,,
Mexico,imports,feldspar,,1818.0,1916.0,1711.0,,,,,,,
Morocco,imports,feldspar,,24350.0,17970.0,,,,,,,,
Netherlands,imports,feldspar,,9213.0,7531.0,11603.0,11084.0,9606.0,7721.0,7505.0,8529.0,12633.0,8849.0
New Zealand,imports,feldspar,,781.0,584.0,655.0,,,,,,,
Nicaragua,imports,feldspar,,1342.0,1321.0,1169.0,,,,,,,
Norway,imports,feldspar,,8870.0,14040.0,13589.0,13710.0,15490.0,17103.0,17199.0,12930.0,17367.0,13781.0
Philippines,imports,feldspar,,5902.0,22586.0,,,,,,,,
Poland,imports,feldspar,,81995.0,144145.0,168167.0,155283.0,201509.0,215185.0,219719.0,237963.0,243798.0,176717.0
Portugal,imports,feldspar,,50280.0,72198.0,87177.0,79521.0,96049.0,115286.0,98106.0,108150.0,85400.0,72275.0
Romania,imports,feldspar,,19694.0,34378.0,35924.0,41385.0,38470.0,39448.0,31433.0,48999.0,49160.0,37639.0
Russia,imports,feldspar,,530.0,279.0,1005.0,,,,,,,
Saudi Arabia,imports,feldspar,,528.0,2640.0,2216.0,,,,,,,
Serbia,imports,feldspar,,,,,,,,,16965.0,15131.0,8424.0
Singapore,imports,feldspar,,7598.0,6547.0,7604.0,,,,,,,
Slovakia,imports,feldspar,,26213.0,29202.0,27596.0,48100.0,39689.0,36989.0,30726.0,27548.0,24788.0,16352.0
Slovenia,imports,feldspar,,3923.0,5232.0,4870.0,8605.0,10045.0,5852.0,5813.0,6877.0,6576.0,8899.0
Spain,imports,feldspar,,552152.0,501395.0,593452.0,760473.0,955039.0,1231861.0,1422514.0,1407350.0,1410760.0,664830.0
Sweden,imports,feldspar,,7194.0,6430.0,6765.0,5960.0,7019.0,9387.0,4029.0,6021.0,3861.0,4268.0
Switzerland,imports,feldspar,,4550.0,7408.0,7541.0,7229.0,8347.0,7977.0,6219.0,8056.0,7653.0,6478.0
