Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Abu Dhabi,imports,gold,Metal,,,,,,,5.0,,1464.0,57828.0
Albania,imports,gold,Metal,,,,,,,,,,89627.0
Armenia,imports,gold,Metal,,,,,300.0,700.0,196.0,154.0,100.0,557.0
Australia,imports,gold,Metal,,,431398000.0,453000000.0,368550000.0,,320814000.0,361214000.0,1200405000.0,797620000.0
Australia,imports,gold,Waste & scrap,,,,,817000.0,,,,5569000.0,2076000.0
Austria,imports,gold,Metal,16646.0,2871.0,3315.0,2766.0,2680.0,53559.0,18365.0,41500.0,53200.0,40700.0
Austria,imports,gold,Waste & scrap,,,,,,100.0,200.0,1000.0,600.0,1600.0
Belarus,imports,gold,Metal,,,,,300.0,100.0,300.0,300.0,100.0,300.0
Belgium-Luxembourg,imports,gold,Metal,26948.0,24003.0,36125.0,22425.0,13815.0,17102.0,9000.0,10700.0,13000.0,3900.0
Belgium-Luxembourg,imports,gold,Waste & scrap,,,1552000.0,1294000.0,3339109.0,623000.0,22584000.0,21216000.0,,
Bolivia,imports,gold,Metal,,,,,,,3486.0,3916.0,7144.0,3643.0
Brazil,imports,gold,Metal,894.0,98.0,796.0,1329.0,2931.0,147.0,58.0,379.0,174.0,
Canada,imports,gold,Metal,47906.0,30388.0,43896.0,55360.0,36487.0,23773.0,54237.0,83373.0,113913.0,120772.0
Canada,imports,gold,Ores & concentrates,625.0,703.0,4381.0,10590.0,1897.0,2648.0,3137.0,3336.0,4436.0,6744.0
China,imports,gold,Metal,4900.0,2500.0,4400.0,7400.0,2400.0,1800.0,1700.0,2000.0,8500.0,16700.0
Croatia,imports,gold,Metal,,,,,,,,,598000.0,
Cyprus,imports,gold,Metal,2481.0,2511.0,3132.0,2229.0,2696.0,2430.0,3381.0,4169.0,2031.0,1672.0
Czech Republic,imports,gold,Metal,,,0.0,10979.0,2312.0,2463.0,3388.0,2346.0,2415.0,2244.0
Czech Republic,imports,gold,Waste & scrap,,,,,,,,,190.0,257.0
Czechoslovakia,imports,gold,Metal,600.0,800.0,1700.0,,,,,,,
Denmark,imports,gold,Metal,1239.0,1159.0,1229.0,1072.0,1362.0,1518.0,1664.0,17933.0,4429.0,1237.0
Denmark,imports,gold,Waste & scrap,385.0,494.0,1044.0,499.0,1384.0,802.0,470.0,321.0,1017.0,1951.0
Dubai,imports,gold,Metal,,,,,,,68.0,52.0,10.0,63.0
Egypt,imports,gold,Metal,,,,,,,,6663.0,6765.0,
Estonia,imports,gold,Metal,,,,,,186.0,,182.0,953.0,105.0
Finland,imports,gold,Metal,962.0,942.0,784.0,786.0,896.0,13000.0,828.0,1060.0,1577.0,1408.0
France,imports,gold,Metal,199052.0,130451.0,164554.0,101405.0,89999.0,139599.0,84814.0,54200.0,49700.0,55000.0
France,imports,gold,Waste & scrap,638516.0,542702.0,255544.0,415838.0,427300.0,306256.0,35199.0,16600.0,2800.0,1900.0
German Federal Republic,imports,gold,Metal,118394.0,,,,,,,,,
German Federal Republic,imports,gold,Waste & scrap,360989.0,,,,,,,,,
Germany,imports,gold,Metal,,116945.0,138223.0,119230.0,96141.0,102149.0,96541.0,91500.0,141200.0,83700.0
Germany,imports,gold,Waste & scrap,,347327.0,192353.0,137355.0,203012.0,118332.0,178025.0,202000.0,449300.0,465400.0
