Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,imports,graphite,,312.0,210.0,136.0,263.0,481.0,632.0,161.0,,,
Argentina,imports,graphite,,725.0,349.0,241.0,312.0,301.0,183.0,391.0,435.0,553.0,1317.0
Australia,imports,graphite,,1812.0,1460.0,1429.0,795.0,979.0,1199.0,1293.0,1551.0,2176.0,2773.0
Austria,imports,graphite,,2301.0,1056.0,2653.0,3738.0,7134.0,3280.0,4966.0,2083.0,3291.0,8362.0
Belgium-Luxembourg,imports,graphite,,5832.0,6494.0,811.0,963.0,992.0,827.0,951.0,824.0,578.0,1288.0
Bulgaria,imports,graphite,,,200.0,500.0,400.0,2000.0,2000.0,1400.0,1700.0,1000.0,1100.0
Canada,imports,graphite,,,,,,,3688.0,3645.0,8621.0,9237.0,6047.0
Czechoslovakia,imports,graphite,,,800.0,500.0,500.0,300.0,300.0,400.0,300.0,300.0,400.0
Denmark,imports,graphite,,990.0,853.0,1254.0,1225.0,1414.0,1316.0,1388.0,1068.0,1599.0,1445.0
Egypt,imports,graphite,,101.0,812.0,479.0,227.0,921.0,518.0,165.0,1365.0,859.0,1036.0
Finland,imports,graphite,,172.0,2268.0,480.0,263.0,37.0,84.0,82.0,115.0,77.0,301.0
France,imports,graphite,,9058.0,4672.0,4677.0,3662.0,4578.0,5277.0,5572.0,5864.0,5707.0,6424.0
German Democratic Rep,imports,graphite,,5632.0,6759.0,7945.0,6359.0,5712.0,6634.0,5289.0,4947.0,5338.0,5643.0
German Federal Republic,imports,graphite,,25124.0,29763.0,32432.0,28869.0,31983.0,33998.0,37793.0,30504.0,30264.0,43061.0
Germany,imports,graphite,,,,,,,,,,,
Greece,imports,graphite,,194.0,378.0,252.0,333.0,272.0,765.0,791.0,741.0,656.0,1351.0
Hong Kong,imports,graphite,,214.0,640.0,549.0,494.0,1545.0,1499.0,3685.0,4104.0,2995.0,4593.0
Hungary,imports,graphite,,1673.0,1410.0,1481.0,1722.0,1549.0,993.0,1302.0,2270.0,4690.0,1602.0
India,imports,graphite,,248.0,428.0,130.0,,245.0,620.0,389.0,423.0,457.0,719.0
Indonesia,imports,graphite,,135.0,191.0,231.0,161.0,98.0,150.0,968.0,704.0,448.0,766.0
Iran,imports,graphite,,196.0,596.0,421.0,611.0,526.0,160.0,734.0,653.0,144.0,133.0
Italy,imports,graphite,,5410.0,4046.0,5137.0,4104.0,6280.0,5955.0,6867.0,7465.0,6792.0,10840.0
Japan,imports,graphite,,69605.0,52697.0,53138.0,54195.0,85009.0,78857.0,58645.0,94268.0,96611.0,119251.0
Korea (Rep. of),imports,graphite,,322.0,205.0,414.0,443.0,1260.0,1084.0,3180.0,3784.0,5942.0,6341.0
Kuwait,imports,graphite,,,,,,,,,650.0,632.0,784.0
Malaysia,imports,graphite,,716.0,366.0,531.0,834.0,1183.0,908.0,510.0,734.0,697.0,718.0
Mauritius,imports,graphite,,,1.0,609.0,1046.0,390.0,1030.0,714.0,,1813.0,737.0
Mexico,imports,graphite,,380.0,1013.0,363.0,,,,,399.0,1181.0,1229.0
Netherlands,imports,graphite,,782.0,900.0,863.0,564.0,954.0,636.0,1204.0,1726.0,2306.0,3392.0
New Zealand,imports,graphite,,133.0,190.0,79.0,67.0,113.0,36.0,108.0,121.0,,
Norway,imports,graphite,,757.0,861.0,693.0,496.0,573.0,495.0,441.0,233.0,61.0,146.0
Pakistan,imports,graphite,,1060.0,3944.0,986.0,1418.0,1777.0,1566.0,845.0,2630.0,2433.0,
Philippines,imports,graphite,,184.0,177.0,206.0,141.0,199.0,73.0,122.0,365.0,328.0,213.0
Poland,imports,graphite,,11386.0,7972.0,6775.0,6688.0,7445.0,6082.0,3929.0,4066.0,4957.0,4108.0
Portugal,imports,graphite,,388.0,174.0,248.0,146.0,95.0,123.0,148.0,541.0,241.0,281.0
Singapore,imports,graphite,,572.0,554.0,583.0,455.0,1125.0,427.0,407.0,314.0,587.0,715.0
South Africa,imports,graphite,,1132.0,1261.0,1630.0,2129.0,4122.0,3834.0,2751.0,3182.0,3894.0,4287.0
Spain,imports,graphite,,2218.0,1404.0,2446.0,1905.0,2004.0,2519.0,3993.0,4692.0,4108.0,5161.0
Sweden,imports,graphite,,914.0,504.0,534.0,401.0,675.0,743.0,570.0,789.0,599.0,456.0
Switzerland,imports,graphite,,232.0,149.0,167.0,112.0,141.0,108.0,237.0,187.0,158.0,150.0
Taiwan,imports,graphite,,15696.0,10440.0,7942.0,10957.0,6574.0,8428.0,8513.0,8390.0,14890.0,10106.0
Thailand,imports,graphite,,913.0,864.0,369.0,733.0,532.0,722.0,827.0,1138.0,665.0,1275.0
Turkey,imports,graphite,,527.0,273.0,326.0,334.0,474.0,555.0,440.0,509.0,453.0,725.0
USA,imports,graphite,,52284.0,59566.0,48217.0,39540.0,52840.0,47842.0,38817.0,43334.0,53830.0,69597.0
United Kingdom,imports,graphite,,18115.0,15529.0,17862.0,28352.0,19540.0,23460.0,23101.0,19729.0,23437.0,28447.0
Venezuela,imports,graphite,,776.0,903.0,737.0,594.0,701.0,927.0,681.0,1014.0,1560.0,637.0
Yugoslavia,imports,graphite,,1843.0,1601.0,1854.0,2996.0,2220.0,2267.0,2234.0,2415.0,2560.0,2458.0
