Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,imports,gypsum_and_plaster,Calcined                                          ,,,,6407.0,,,,,,
Albania,imports,gypsum_and_plaster,Crude                                             ,,,,1131.0,822.0,1048.0,1576.0,1204.0,1548.0,1038.0
Albania,imports,gypsum_and_plaster,Crude & calcined                                  ,3974.0,10702.0,10910.0,,,,,,,
Australia,imports,gypsum_and_plaster,Calcined                                          ,3180.0,4553.0,6549.0,,,,,,,
Australia,imports,gypsum_and_plaster,Crude                                             ,7372.0,50142.0,4407.0,,,,,,,
Austria,imports,gypsum_and_plaster,Calcined                                          ,31735.0,41988.0,48808.0,59897.0,70261.0,66118.0,61713.0,97281.0,67712.0,73588.0
Austria,imports,gypsum_and_plaster,Crude                                             ,29926.0,16701.0,17429.0,23705.0,16985.0,15280.0,11057.0,14651.0,10118.0,12098.0
Azerbaijan,imports,gypsum_and_plaster,Crude & calcined                                  ,14881.0,10822.0,13876.0,,,,,,,
Bahrain,imports,gypsum_and_plaster,,9340.0,7625.0,10209.0,,,,,,,
Belarus,imports,gypsum_and_plaster,Crude & calcined                                  ,122874.0,72714.0,96372.0,,,,,,,
Belgium,imports,gypsum_and_plaster,Calcined                                          ,,,,,,,499433.0,490242.0,505792.0,424465.0
Belgium,imports,gypsum_and_plaster,Crude                                             ,,,,,,,811923.0,1118068.0,1231279.0,702104.0
Belgium-Luxembourg,imports,gypsum_and_plaster,Calcined                                          ,350278.0,329502.0,322930.0,290348.0,366504.0,460067.0,,,,
Belgium-Luxembourg,imports,gypsum_and_plaster,Crude                                             ,800514.0,701760.0,719403.0,524938.0,713502.0,768702.0,,,,
Brazil,imports,gypsum_and_plaster,Crude & calcined                                  ,61916.0,1057.0,696.0,,,,,,,
Bulgaria,imports,gypsum_and_plaster,Calcined                                          ,10342.0,9692.0,17476.0,22615.0,35558.0,49163.0,56869.0,58880.0,70280.0,42086.0
Bulgaria,imports,gypsum_and_plaster,Crude                                             ,46566.0,33737.0,47984.0,38119.0,49426.0,18684.0,10088.0,8240.0,12223.0,15830.0
Burkina Faso,imports,gypsum_and_plaster,,5343.0,,,,,,,,,
Cambodia,imports,gypsum_and_plaster,Calcined                                          ,736.0,1244.0,1945.0,,,,,,,
Cambodia,imports,gypsum_and_plaster,Crude                                             ,619.0,1091.0,1376.0,,,,,,,
Cameroon,imports,gypsum_and_plaster,,46803.0,44602.0,,,,,,,,
Canada,imports,gypsum_and_plaster,Calcined                                          ,22245.0,37570.0,2258.0,,,,,,,
Canada,imports,gypsum_and_plaster,Crude                                             ,154604.0,243158.0,332509.0,,,,,,,
China,imports,gypsum_and_plaster,Calcined                                          ,27335.0,18064.0,7011.0,,,,,,,
