Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,imports,iodine,,213000.0,198500.0,147200.0,195100.0,322300.0,192300.0,101500.0,124400.0,79400.0,
Belgium,imports,iodine,,4087700.0,3814500.0,4663100.0,4773300.0,5909800.0,2946682.0,5554553.0,5053406.0,5801358.0,
Bulgaria,imports,iodine,,2300.0,2800.0,3600.0,3200.0,3200.0,1287.0,2050.0,1111.0,2968.0,
Croatia,imports,iodine,,204.0,233.0,195.0,400.0,900.0,391.0,98.0,71.0,71.0,
Cyprus,imports,iodine,,,,,,5.0,313.0,52.0,1545.0,1476.0,
Czech Republic,imports,iodine,,35100.0,36500.0,22600.0,16400.0,15800.0,7648.0,4175.0,6038.0,3729.0,
Denmark,imports,iodine,,10168.0,5895.0,14601.0,11421.0,14159.0,8567.0,1989.0,2761.0,698.0,
Estonia,imports,iodine,,13157.0,258.0,39.0,5024.0,10400.0,10876.0,126.0,103.0,6.0,
Finland,imports,iodine,,1443.0,1174.0,856.0,719.0,794.0,409.0,148.0,151.0,135.0,
France,imports,iodine,,1530436.0,1492427.0,1501344.0,1237444.0,1361833.0,1424836.0,1229203.0,1213174.0,1309582.0,
Germany,imports,iodine,,1422575.0,1576165.0,1700953.0,1771622.0,1656931.0,1792178.0,1800144.0,1897569.0,1877901.0,
Greece,imports,iodine,,1300.0,200.0,300.0,753.0,200.0,453.0,549.0,406.0,982.0,
Hungary,imports,iodine,,2700.0,6100.0,4000.0,8000.0,12600.0,30088.0,23195.0,31860.0,28830.0,
Iceland,imports,iodine,,9.0,24.0,278.0,159.0,1316.0,1822.0,1285.0,521.0,973.0,
"Ireland, Republic of",imports,iodine,,13311.0,22220.0,32305.0,23685.0,31919.0,4438.0,10736.0,9320.0,10158.0,
Italy,imports,iodine,,1080203.0,1375868.0,1633655.0,1673429.0,1613146.0,2020978.0,1874487.0,1964609.0,2162658.0,
Latvia,imports,iodine,,140.0,272.0,252.0,708.0,19.0,10.0,5.0,4411.0,2628.0,
Lithuania,imports,iodine,,17732.0,20100.0,3200.0,2000.0,400.0,4257.0,681.0,644.0,16151.0,
Malta,imports,iodine,,,,,1.0,,3.0,1162.0,17.0,1.0,
Netherlands,imports,iodine,,16031.0,1352421.0,811065.0,1174000.0,947209.0,1123273.0,1052235.0,959973.0,1131180.0,
North Macedonia,imports,iodine,,,,208.0,210.0,13.0,600.0,207.0,21.0,259.0,
Norway,imports,iodine,,1708338.0,1663657.0,1759025.0,2035784.0,2057520.0,2679881.0,3037209.0,3295599.0,3373822.0,
Poland,imports,iodine,,21700.0,11600.0,12900.0,21800.0,9200.0,6498.0,5689.0,9260.0,29939.0,
Portugal,imports,iodine,,8700.0,8600.0,6300.0,10800.0,19100.0,3216.0,21552.0,8384.0,8678.0,
Romania,imports,iodine,,300.0,500.0,400.0,2500.0,600.0,530.0,655.0,455.0,678.0,
Serbia,imports,iodine,,8137.0,10876.0,2790.0,748.0,1171.0,2607.0,16303.0,11396.0,8849.0,
Slovakia,imports,iodine,,325.0,500.0,300.0,500.0,,,,,,
Slovenia,imports,iodine,,45.0,35.0,111.0,3529.0,,,,,,
Spain,imports,iodine,,342914.0,522768.0,357482.0,534309.0,461345.0,429971.0,371565.0,336570.0,415445.0,
Sweden,imports,iodine,,1100.0,1800.0,8600.0,1700.0,2900.0,2904.0,1270.0,1716.0,1135.0,
Switzerland,imports,iodine,,10238.0,10839.0,13172.0,13865.0,9232.0,5258.0,10217.0,10627.0,19555.0,
Turkey,imports,iodine,,3218.0,6641.0,6163.0,4423.0,5561.0,9118.0,5519.0,5310.0,4383.0,
United Kingdom,imports,iodine,,1253806.0,1426239.0,1573126.0,1135699.0,1129242.0,742742.0,599604.0,938345.0,1004989.0,847437.0
