Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Abu Dhabi,imports,iron_ore,,,,,60262.0,39881.0,66652.0,,40428.0,21040.0,38183.0
Albania,imports,iron_ore,,25500.0,,,,,,,,,
Argentina,imports,iron_ore,,3140243.0,2310419.0,3574092.0,3204605.0,3819661.0,4361701.0,4947040.0,5054185.0,5558631.0,4142666.0
Australia,imports,iron_ore,,2760000.0,2946000.0,3474000.0,3487000.0,3999983.0,4196787.0,4081167.0,5558851.0,4926790.0,4282000.0
Austria,imports,iron_ore,Burnt pyrites                                     ,16249.0,7593.0,13864.0,6003.0,18257.0,2427.0,,,,
Austria,imports,iron_ore,,3891887.0,3968429.0,3915271.0,3590300.0,3921881.0,4636000.0,4335000.0,5101249.0,5237875.0,4349862.0
Bahrain,imports,iron_ore,,,,,,2880000.0,3242000.0,2700000.0,3163000.0,1600000.0,2600000.0
Belgium-Luxembourg,imports,iron_ore,Burnt pyrites                                     ,70935.0,3197.0,9636.0,27.0,,,,,,
Belgium-Luxembourg,imports,iron_ore,,20277528.0,19485930.0,17994255.0,15766015.0,17010881.0,15330478.0,12996054.0,11158528.0,13493548.0,12112181.0
Brazil,imports,iron_ore,,,,,,,,,,,94.0
Bulgaria,imports,iron_ore,,1964000.0,551200.0,346100.0,878500.0,819500.0,1484326.0,1143871.0,1992564.0,2208000.0,715254.0
Canada,imports,iron_ore,,4112971.0,4620082.0,5280481.0,5436091.0,5235832.0,5968843.0,6873506.0,7081265.0,7200963.0,7311445.0
China,imports,iron_ore,Burnt pyrites                                     ,0.0,91287.0,53083.0,370830.0,111557.0,96011.0,937.0,38346.0,176040.0,1123.0
China,imports,iron_ore,,14342626.0,18458146.0,25171190.0,32675989.0,37231349.0,41057844.0,43873023.0,55067487.0,51594678.0,55272881.0
Croatia,imports,iron_ore,,,,,,,,,,80.0,9564.0
