Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Abu Dhabi,imports,iron_steel_and_ferro-alloys,Scrap,,,,10861.0,12937.0,,,,,
Albania,imports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",,,,,,,3420.0,1306.0,2261.0,4570.0
Albania,imports,iron_steel_and_ferro-alloys,Pig iron,,,,,,,,,,
Algeria,imports,iron_steel_and_ferro-alloys,Ferro-chrome,200.0,,,,,,,,,
Algeria,imports,iron_steel_and_ferro-alloys,Ferro-manganese,464.0,,1598.0,1500.0,1992.0,1000.0,402.0,1931.0,1951.0,1786.0
Algeria,imports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,29.0,,,,,,,,,
Algeria,imports,iron_steel_and_ferro-alloys,Ferro-silicon,6861.0,4323.0,,,,,,,,
Algeria,imports,iron_steel_and_ferro-alloys,Ferro-vanadium,18.0,,,,,,,,,
Algeria,imports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",2588.0,23379.0,18633.0,28000.0,,,,,,
Algeria,imports,iron_steel_and_ferro-alloys,Other ferro-alloys,144.0,1853.0,2428.0,,2089.0,,262.0,1758.0,3202.0,1740.0
Algeria,imports,iron_steel_and_ferro-alloys,Pig iron,3768.0,7454.0,2801.0,,,,,,,
Argentina,imports,iron_steel_and_ferro-alloys,Ferro-chrome,,,2746.0,2702.0,2872.0,3026.0,3339.0,3164.0,3715.0,2097.0
Argentina,imports,iron_steel_and_ferro-alloys,Ferro-manganese,2109.0,985.0,1881.0,2230.0,3344.0,5448.0,5571.0,6289.0,8649.0,8212.0
Argentina,imports,iron_steel_and_ferro-alloys,Ferro-silico-manganese,,,,542.0,21.0,371.0,7064.0,21550.0,4344.0,17187.0
Argentina,imports,iron_steel_and_ferro-alloys,Ferro-silicon,62.0,64.0,417.0,237.0,1977.0,2356.0,161.0,974.0,3174.0,3196.0
Argentina,imports,iron_steel_and_ferro-alloys,"Ingots, blooms, billets",,45860.0,170382.0,181100.0,499392.0,396876.0,270655.0,528367.0,413903.0,151337.0
Argentina,imports,iron_steel_and_ferro-alloys,Other ferro-alloys,2466.0,3287.0,1360.0,574.0,964.0,1166.0,1357.0,1632.0,2226.0,1897.0
Argentina,imports,iron_steel_and_ferro-alloys,Pig iron,250.0,20031.0,8678.0,11970.0,9036.0,2650.0,2900.0,1322.0,1580.0,975.0
Argentina,imports,iron_steel_and_ferro-alloys,Scrap,19286.0,25126.0,23525.0,7524.0,4590.0,6491.0,12831.0,7743.0,9827.0,943.0
Argentina,imports,iron_steel_and_ferro-alloys,Silicon metal,,,,,,2151.0,2718.0,5119.0,4214.0,5292.0
Australia,imports,iron_steel_and_ferro-alloys,Ferro-chrome,4748.0,5446.0,6692.0,7280.0,9486.0,11703.0,7616.0,11707.0,8438.0,11871.0
Australia,imports,iron_steel_and_ferro-alloys,Ferro-manganese,5058.0,4611.0,7054.0,12268.0,,,,,,
Australia,imports,iron_steel_and_ferro-alloys,Ferro-manganese & Fe-Si-Mn,,,,,10880.0,10948.0,15084.0,8075.0,11933.0,6600.0
Australia,imports,iron_steel_and_ferro-alloys,Ferro-molybdenum,18453.0,228.0,318.0,157.0,316.0,320.0,262.0,334.0,294.0,283.0
Australia,imports,iron_steel_and_ferro-alloys,Ferro-niobium,,,,,170.0,94.0,364.0,150.0,100.0,91.0
