Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,imports,kaolin,,7589.0,5741.0,5867.0,7500.0,1040.0,6281.0,12769.0,12393.0,11686.0,18891.0
Angola,imports,kaolin,,61.0,218.0,44.0,92.0,,,,,,
Argentina,imports,kaolin,,14962.0,13741.0,12536.0,15513.0,17812.0,12400.0,16853.0,17778.0,2453.0,19458.0
Australia,imports,kaolin,,42605.0,32717.0,30584.0,35160.0,36495.0,1718.0,5262.0,6432.0,10202.0,6193.0
Austria,imports,kaolin,,48029.0,55264.0,70478.0,82515.0,95837.0,73043.0,89085.0,96950.0,102546.0,111887.0
Belgium-Luxembourg,imports,kaolin,,229848.0,208622.0,229540.0,277598.0,301766.0,237206.0,252834.0,275973.0,289598.0,290085.0
Brazil,imports,kaolin,,6235.0,6947.0,6543.0,10831.0,20312.0,4505.0,14813.0,4096.0,1617.0,3307.0
Bulgaria,imports,kaolin,,,,,,,,,1100.0,1200.0,1300.0
Canada,imports,kaolin,,215555.0,183650.0,210499.0,185455.0,181260.0,148378.0,176751.0,153775.0,56147.0,273422.0
Chile,imports,kaolin,,484.0,1045.0,1374.0,669.0,563.0,,,1605.0,,
Colombia,imports,kaolin,,3862.0,3948.0,3736.0,2732.0,,,3208.0,5550.0,5236.0,828.0
Costa Rica,imports,kaolin,,577.0,472.0,854.0,802.0,991.0,810.0,1694.0,,,
Czechoslovakia,imports,kaolin,,,,,,,,,,,7000.0
Denmark,imports,kaolin,,42158.0,38110.0,36580.0,41725.0,50828.0,29721.0,25162.0,32746.0,33464.0,40598.0
Egypt,imports,kaolin,,,,,,4257.0,15543.0,22314.0,18846.0,,
Finland,imports,kaolin,,308597.0,233941.0,267921.0,318108.0,379203.0,221627.0,290678.0,361648.0,330644.0,419969.0
France,imports,kaolin,,317594.0,302535.0,304567.0,348505.0,353893.0,278500.0,288500.0,322324.0,306755.0,332710.0
German Democratic Rep,imports,kaolin,,34906.0,31721.0,25342.0,25894.0,28873.0,32128.0,27825.0,27500.0,47400.0,15000.0
German Federal Republic,imports,kaolin,,642383.0,590701.0,644508.0,714497.0,767992.0,554821.0,653325.0,679510.0,751596.0,842984.0
Greece,imports,kaolin,,,,,,,65444.0,65593.0,69624.0,51104.0,64194.0
Guatemala,imports,kaolin,,1552.0,1657.0,3542.0,4286.0,2572.0,3419.0,13457.0,6779.0,,
Hong Kong,imports,kaolin,,1014.0,793.0,769.0,2567.0,2380.0,5653.0,3387.0,1088.0,387.0,5086.0
Hungary,imports,kaolin,,76477.0,63833.0,23632.0,22019.0,24423.0,28533.0,28797.0,24871.0,34563.0,41685.0
India,imports,kaolin,,987.0,980.0,239.0,92.0,310.0,10.0,5.0,13.0,65.0,73.0
Indonesia,imports,kaolin,,,,,,,5769.0,4116.0,3500.0,8247.0,11429.0
Iran,imports,kaolin,,3559.0,5801.0,9482.0,13194.0,17034.0,18848.0,22663.0,16618.0,14088.0,17071.0
Italy,imports,kaolin,,562457.0,463663.0,515919.0,635484.0,742567.0,430841.0,565442.0,649280.0,673576.0,767543.0
Ivory Coast,imports,kaolin,,,,,,79.0,51.0,120.0,114.0,167.0,138.0
Japan,imports,kaolin,,243060.0,248504.0,275529.0,342486.0,351372.0,284389.0,373820.0,404320.0,467410.0,578548.0
Korea (Rep. of),imports,kaolin,,,400398.0,2852.0,10828.0,12676.0,8129.0,14301.0,116028.0,,18414.0
Malaysia,imports,kaolin,,1418.0,990.0,1234.0,1100.0,1457.0,1313.0,1544.0,1816.0,2942.0,1864.0
Mexico,imports,kaolin,,23317.0,23229.0,28955.0,34533.0,41921.0,32696.0,39598.0,45507.0,11607.0,71450.0
Morocco,imports,kaolin,,3256.0,3794.0,3050.0,3904.0,4959.0,1868.0,4583.0,3303.0,2119.0,2601.0
Netherlands,imports,kaolin,,228852.0,229468.0,230129.0,324417.0,412558.0,309345.0,377792.0,371919.0,393188.0,438693.0
New Zealand,imports,kaolin,,2679.0,2945.0,1961.0,2194.0,1998.0,2288.0,1394.0,3927.0,2345.0,956.0
Nicaragua,imports,kaolin,,3064.0,2728.0,,4525.0,6163.0,3324.0,,,,
Norway,imports,kaolin,,80399.0,83507.0,73946.0,85406.0,86521.0,77800.0,76585.0,77512.0,79369.0,83765.0
Pakistan,imports,kaolin,,,,,,,,2483.0,3756.0,3824.0,10603.0
Peru,imports,kaolin,,,,,,,,1028.0,3387.0,3204.0,2444.0
Philippines,imports,kaolin,,3862.0,2816.0,5023.0,5844.0,8545.0,4686.0,5226.0,7168.0,9107.0,9441.0
Poland,imports,kaolin,,113503.0,127633.0,119592.0,129354.0,127871.0,155699.0,163651.0,161034.0,185221.0,218032.0
Portugal,imports,kaolin,,4505.0,3658.0,5335.0,5827.0,7406.0,4760.0,6211.0,9334.0,10357.0,12413.0
Romania,imports,kaolin,,31600.0,25900.0,33000.0,32800.0,,,,,,23800.0
Saudi Arabia,imports,kaolin,,,,,,,466.0,9931.0,7538.0,,6472.0
Singapore,imports,kaolin,,3007.0,2710.0,1568.0,3936.0,4171.0,2464.0,2741.0,4925.0,4802.0,5983.0
Spain,imports,kaolin,,77022.0,69782.0,92468.0,106676.0,139804.0,121382.0,134504.0,165756.0,165311.0,172379.0
Sweden,imports,kaolin,,238508.0,208299.0,212241.0,253645.0,262728.0,222855.0,224857.0,245800.0,257343.0,291381.0
Taiwan,imports,kaolin,,,,16490.0,27913.0,30219.0,20857.0,28119.0,32418.0,42171.0,40425.0
Thailand,imports,kaolin,,6026.0,6185.0,5160.0,7174.0,5055.0,2546.0,6844.0,1342.0,2296.0,3452.0
Tunisia,imports,kaolin,,,,,,18312.0,18701.0,11032.0,17234.0,15034.0,21450.0
Turkey,imports,kaolin,,44.0,969.0,4322.0,37.0,2599.0,5334.0,4973.0,5041.0,693.0,1899.0
USA,imports,kaolin,,59271.0,40480.0,23116.0,31028.0,17337.0,17351.0,20962.0,17857.0,18934.0,28537.0
United Kingdom,imports,kaolin,,1853.0,1570.0,3196.0,4588.0,9588.0,9466.0,5350.0,7363.0,6560.0,5853.0
Uruguay,imports,kaolin,,2730.0,2020.0,1392.0,1739.0,2356.0,1114.0,1638.0,1864.0,2110.0,3313.0
Venezuela,imports,kaolin,,12668.0,8882.0,10311.0,17824.0,17075.0,16542.0,24530.0,30087.0,21539.0,19510.0
Yugoslavia,imports,kaolin,,37463.0,36066.0,38330.0,48768.0,48332.0,59528.0,60389.0,67062.0,73464.0,75805.0
Zimbabwe,imports,kaolin,,,,,,,,,,181887.0,1650.0
