Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,imports,lead,Unwrought                                         ,8529.0,11803.0,6996.0,4276.0,3959.0,7993.0,14265.0,11430.0,6951.0,7324.0
Algeria,imports,lead,Unwrought alloys                                  ,314.0,1231.0,600.0,562.0,2103.0,2390.0,2761.0,4784.0,3399.0,3162.0
Argentina,imports,lead,Unwrought                                         ,4708.0,1397.0,1450.0,1138.0,0.0,0.0,0.0,,,
Australia,imports,lead,Ores & concentrates                               ,,16003.0,18839.0,,,8000.0,9100.0,21175.0,59489.0,27551.0
Austria,imports,lead,Ores & concentrates                               ,4156.0,1728.0,6993.0,4611.0,7730.0,3987.0,4124.0,1152.0,6884.0,17947.0
Austria,imports,lead,Scrap                                             ,2628.0,3605.0,2367.0,2925.0,4332.0,6745.0,6333.0,3787.0,3023.0,2637.0
Austria,imports,lead,Unwrought                                         ,32396.0,35740.0,32549.0,31362.0,39271.0,37501.0,38516.0,31476.0,36714.0,38902.0
Belgium-Luxembourg,imports,lead,Ores & concentrates                               ,75709.0,83142.0,106078.0,85480.0,67774.0,114697.0,76144.0,107072.0,114018.0,101958.0
Belgium-Luxembourg,imports,lead,Scrap                                             ,11944.0,7520.0,11238.0,13485.0,15053.0,11626.0,6218.0,10317.0,12357.0,12383.0
Belgium-Luxembourg,imports,lead,Unwrought                                         ,47458.0,35147.0,37319.0,55356.0,50579.0,39195.0,49740.0,30810.0,24451.0,27099.0
Belgium-Luxembourg,imports,lead,Unwrought alloys                                  ,6828.0,6087.0,6572.0,7945.0,7372.0,10195.0,11639.0,10315.0,12109.0,10341.0
Brazil,imports,lead,Ores & concentrates                               ,34801.0,15405.0,0.0,6591.0,10724.0,27447.0,30120.0,38095.0,25047.0,38503.0
Brazil,imports,lead,Scrap                                             ,1409.0,1770.0,0.0,2849.0,6543.0,12888.0,16308.0,25192.0,31135.0,18865.0
Brazil,imports,lead,Unwrought                                         ,12.0,151.0,611.0,649.0,652.0,2141.0,3410.0,15581.0,2642.0,2261.0
Bulgaria,imports,lead,Ores & concentrates                               ,24500.0,35500.0,11200.0,5000.0,2100.0,2000.0,7800.0,18000.0,25500.0,23600.0
Canada,imports,lead,Ores & concentrates                               ,,,,,21564.0,,,,14565.0,28392.0
Canada,imports,lead,Scrap                                             ,,,,,48137.0,44308.0,61530.0,74152.0,36741.0,26660.0
Canada,imports,lead,Unwrought                                         ,2602.0,9221.0,5661.0,2551.0,6312.0,5676.0,4244.0,12559.0,14690.0,11130.0
Chile,imports,lead,Unwrought                                         ,,,,,,,1596.0,2005.0,2563.0,1877.0
China,imports,lead,Scrap                                             ,,,,,,1200.0,1100.0,1500.0,2400.0,6200.0
China,imports,lead,Unwrought                                         ,,27600.0,13800.0,9200.0,6400.0,1700.0,6200.0,4575.0,4577.0,36374.0
Colombia,imports,lead,Scrap                                             ,,,,,,,,,,
Colombia,imports,lead,Unwrought                                         ,2612.0,1944.0,1504.0,1328.0,618.0,790.0,1424.0,1430.0,2633.0,2616.0
Costa Rica,imports,lead,Unwrought                                         ,177.0,21.0,,,,,,,,
Cuba,imports,lead,Unwrought                                         ,,,,,,,2106.0,2200.0,2078.0,1494.0
Czechoslovakia,imports,lead,Unwrought                                         ,40000.0,38000.0,30000.0,28000.0,27000.0,25000.0,25000.0,23000.0,20000.0,18000.0
Denmark,imports,lead,Scrap                                             ,16546.0,18161.0,7706.0,6782.0,5872.0,994.0,339.0,323.0,152.0,680.0
Denmark,imports,lead,Unwrought                                         ,3231.0,2270.0,4225.0,10269.0,9337.0,246.0,8502.0,9329.0,4595.0,2566.0
Denmark,imports,lead,Unwrought alloys                                  ,3292.0,1322.0,3246.0,2912.0,6732.0,20222.0,11024.0,6080.0,4033.0,2797.0
Egypt,imports,lead,Unwrought & scrap                                 ,9106.0,7106.0,11520.0,16881.0,12358.0,16934.0,8085.0,16368.0,19071.0,8406.0
Finland,imports,lead,Unwrought                                         ,20498.0,21422.0,19461.0,11929.0,12137.0,15953.0,10742.0,12926.0,7869.0,8081.0
Finland,imports,lead,Unwrought alloys                                  ,,,821.0,390.0,2803.0,3625.0,5030.0,5029.0,4221.0,5146.0
France,imports,lead,Ores & concentrates                               ,139029.0,142392.0,167556.0,144346.0,158366.0,190536.0,182378.0,183927.0,190105.0,186920.0
France,imports,lead,Scrap                                             ,31187.0,21058.0,19836.0,13246.0,4870.0,9279.0,14644.0,20640.0,21444.0,31541.0
France,imports,lead,Unwrought                                         ,47455.0,33848.0,35113.0,33303.0,41588.0,28098.0,27830.0,32412.0,34823.0,35299.0
France,imports,lead,Unwrought alloys                                  ,7633.0,6767.0,8308.0,15829.0,13661.0,13009.0,9245.0,10148.0,12081.0,12391.0
German Democratic Rep,imports,lead,Scrap                                             ,,3000.0,3200.0,5300.0,4900.0,7600.0,1700.0,9700.0,5500.0,11300.0
German Democratic Rep,imports,lead,Unwrought                                         ,,3400.0,3900.0,3000.0,4100.0,6900.0,11500.0,10900.0,30700.0,20800.0
German Federal Republic,imports,lead,Ores & concentrates                               ,181679.0,214800.0,192371.0,217753.0,206723.0,236490.0,194054.0,226010.0,235442.0,222361.0
German Federal Republic,imports,lead,Scrap                                             ,43309.0,34594.0,35606.0,30886.0,69865.0,45905.0,50542.0,44995.0,30397.0,29934.0
German Federal Republic,imports,lead,Unwrought                                         ,135259.0,100570.0,140184.0,103830.0,130402.0,118711.0,121939.0,79908.0,87138.0,109792.0
German Federal Republic,imports,lead,Unwrought alloys                                  ,25390.0,15219.0,13793.0,14840.0,14281.0,16428.0,25727.0,27855.0,25476.0,28071.0
Germany,imports,lead,Ores & concentrates                               ,,,,,,,,,,
