Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,imports,lithium,Carbonate                                         ,402.0,463.0,359.0,298.0,340.0,340.0,408.0,321.0,320.0,
Belgium,imports,lithium,Carbonate                                         ,4183.0,7770.0,7205.0,6403.0,4406.0,7859.0,10391.0,7720.0,10085.0,
Belgium,imports,lithium,Oxides                                            ,2410.0,2953.0,2515.0,3179.0,2389.0,2324.0,2852.0,2722.0,2371.0,
Cyprus,imports,lithium,Carbonate                                         ,,,,,,,,,,
Czech Republic,imports,lithium,Carbonate                                         ,,,99.0,66.0,88.0,89.0,104.0,363.0,66.0,
Czech Republic,imports,lithium,Oxides                                            ,,,,,23.0,27.0,15.0,48.0,214.0,
Denmark,imports,lithium,Carbonate                                         ,340.0,358.0,80.0,63.0,63.0,107.0,87.0,113.0,67.0,
France,imports,lithium,Carbonate                                         ,1137.0,2792.0,1756.0,1162.0,1371.0,770.0,1021.0,881.0,2013.0,
France,imports,lithium,Oxides                                            ,570.0,479.0,547.0,505.0,581.0,603.0,397.0,3628.0,5540.0,
Germany,imports,lithium,Carbonate                                         ,6486.0,5735.0,6064.0,5977.0,6015.0,6769.0,7027.0,5483.0,5960.0,
Germany,imports,lithium,Oxides                                            ,1800.0,1700.0,1300.0,1600.0,1800.0,1200.0,2700.0,13000.0,10000.0,
Hungary,imports,lithium,Oxides                                            ,,,,,,,,,,
"Ireland, Republic of",imports,lithium,Oxides                                            ,,,,,,,,,,
Italy,imports,lithium,Carbonate                                         ,1123.0,1369.0,1052.0,1241.0,1116.0,926.0,1131.0,934.0,913.0,
Italy,imports,lithium,Oxides                                            ,175.0,148.0,143.0,121.0,160.0,114.0,418.0,293.0,117.0,
Latvia,imports,lithium,Carbonate                                         ,,,,,,,,,,
Netherlands,imports,lithium,Carbonate                                         ,431.0,527.0,462.0,524.0,542.0,342.0,277.0,374.0,267.0,
Netherlands,imports,lithium,Oxides                                            ,290.0,494.0,201.0,229.0,188.0,225.0,457.0,357.0,201.0,
Poland,imports,lithium,Carbonate                                         ,175.0,177.0,177.0,165.0,186.0,174.0,219.0,137.0,154.0,
Poland,imports,lithium,Oxides                                            ,86.0,114.0,141.0,100.0,137.0,106.0,130.0,132.0,104.0,
Slovakia,imports,lithium,Oxides                                            ,,,,,,,,,,
Slovenia,imports,lithium,Oxides                                            ,95.0,125.0,190.0,298.0,332.0,348.0,405.0,367.0,198.0,
Spain,imports,lithium,Carbonate                                         ,3239.0,3877.0,2638.0,2905.0,2765.0,2250.0,2198.0,1432.0,2094.0,
Spain,imports,lithium,Oxides                                            ,1007.0,706.0,763.0,645.0,647.0,677.0,640.0,1654.0,2657.0,
Sweden,imports,lithium,Carbonate                                         ,87.0,69.0,159.0,126.0,136.0,167.0,176.0,253.0,156.0,
Sweden,imports,lithium,Oxides                                            ,214.0,243.0,213.0,235.0,218.0,243.0,218.0,212.0,216.0,
Switzerland,imports,lithium,Oxides                                            ,118.0,141.0,98.0,136.0,101.0,102.0,116.0,96.0,77.0,
Turkey,imports,lithium,Carbonate                                         ,770.0,865.0,1006.0,1304.0,1598.0,1372.0,1514.0,1000.0,1100.0,
Turkey,imports,lithium,Oxides                                            ,268.0,261.0,236.0,273.0,238.0,268.0,313.0,411.0,268.0,
United Kingdom,imports,lithium,Carbonate                                         ,427.0,376.0,344.0,364.0,434.0,405.0,1095.0,1919.0,1680.0,1648.0
United Kingdom,imports,lithium,Oxides                                            ,218.0,215.0,119.0,281.0,384.0,93.0,263.0,324.0,358.0,552.0
