Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Algeria,imports,magnesite_and_magnesia,Magnesia                                          ,1893.0,1334.0,,,,,,,,
Argentina,imports,magnesite_and_magnesia,Magnesia                                          ,15855.0,18292.0,11742.0,19075.0,27606.0,25141.0,21015.0,23286.0,22385.0,14879.0
Australia,imports,magnesite_and_magnesia,Magnesia                                          ,935.0,10191.0,13746.0,7395.0,3943.0,3867.0,8503.0,8755.0,4469.0,3990.0
Australia,imports,magnesite_and_magnesia,Magnesite                                         ,16926.0,8942.0,13593.0,9973.0,4565.0,2576.0,1151.0,776.0,2428.0,2391.0
Austria,imports,magnesite_and_magnesia,Magnesia                                          ,134806.0,145167.0,174186.0,149103.0,174538.0,41300.0,29900.0,49691.0,53684.0,32182.0
Austria,imports,magnesite_and_magnesia,Magnesite                                         ,607.0,148.0,62.0,261.0,686.0,199100.0,132700.0,176566.0,136780.0,108884.0
Bangladesh,imports,magnesite_and_magnesia,,1234.0,,,,,,,,,
Belarus,imports,magnesite_and_magnesia,,,,,,,1100.0,1100.0,2100.0,2846.0,4007.0
Belgium-Luxembourg,imports,magnesite_and_magnesia,Magnesia                                          ,27835.0,27114.0,178175.0,108866.0,84886.0,68293.0,82493.0,68013.0,82172.0,61148.0
Belgium-Luxembourg,imports,magnesite_and_magnesia,Magnesite                                         ,1738.0,959.0,15323.0,804.0,6368.0,1557.0,1178.0,1274.0,1585.0,1738.0
Brazil,imports,magnesite_and_magnesia,Magnesia                                          ,1875.0,2572.0,4534.0,3453.0,16550.0,7048.0,12766.0,126041.0,121966.0,46717.0
Bulgaria,imports,magnesite_and_magnesia,,17200.0,2100.0,2100.0,3200.0,,9332.0,11313.0,8753.0,7915.0,5306.0
Canada,imports,magnesite_and_magnesia,Magnesia                                          ,99827.0,87006.0,67780.0,86315.0,95180.0,102553.0,130375.0,84378.0,103898.0,112090.0
Canada,imports,magnesite_and_magnesia,Magnesite                                         ,96714.0,71341.0,66111.0,67689.0,80202.0,158313.0,220375.0,190355.0,120294.0,25914.0
Chile,imports,magnesite_and_magnesia,Magnesia                                          ,9947.0,12820.0,9817.0,10624.0,12979.0,11481.0,15235.0,13201.0,18688.0,13474.0
China,imports,magnesite_and_magnesia,Magnesia                                          ,,,,,,,,,,5207.0
China,imports,magnesite_and_magnesia,Magnesite                                         ,,,,,,,,,,88.0
China,imports,magnesite_and_magnesia,,,,,,3341.0,3825.0,7863.0,5983.0,7420.0,
Colombia,imports,magnesite_and_magnesia,,1779.0,6384.0,7055.0,3469.0,10701.0,6675.0,7032.0,10024.0,11960.0,8616.0
Croatia,imports,magnesite_and_magnesia,,,,593.0,940.0,1000.0,802.0,688.0,677.0,836.0,405.0
Czech Republic,imports,magnesite_and_magnesia,Magnesia                                          ,,,,50100.0,47700.0,48500.0,40200.0,41237.0,40207.0,36544.0
Czech Republic,imports,magnesite_and_magnesia,Magnesite                                         ,,,,12800.0,8500.0,7500.0,2300.0,972.0,885.0,1810.0
Denmark,imports,magnesite_and_magnesia,Magnesia                                          ,9746.0,9222.0,8051.0,15206.0,11022.0,7842.0,4809.0,7045.0,5178.0,3509.0
Denmark,imports,magnesite_and_magnesia,Magnesite                                         ,5730.0,7218.0,4727.0,5213.0,5807.0,4101.0,1074.0,1143.0,1077.0,639.0
Egypt,imports,magnesite_and_magnesia,,,,29678.0,14785.0,45800.0,29700.0,27774.0,16706.0,11748.0,10937.0
Finland,imports,magnesite_and_magnesia,Magnesia                                          ,6192.0,5053.0,8724.0,3575.0,4966.0,3973.0,12653.0,8032.0,12834.0,12536.0
Finland,imports,magnesite_and_magnesia,Magnesite                                         ,956.0,1520.0,3156.0,4144.0,4255.0,,,,,
France,imports,magnesite_and_magnesia,Magnesia                                          ,206689.0,209522.0,192790.0,145343.0,193556.0,217764.0,192423.0,186512.0,199802.0,145692.0
France,imports,magnesite_and_magnesia,Magnesite                                         ,1368.0,745.0,1728.0,633.0,3121.0,2671.0,4080.0,7544.0,9615.0,21054.0
German Democratic Rep,imports,magnesite_and_magnesia,,33900.0,,,,,,,,,
German Federal Republic,imports,magnesite_and_magnesia,Magnesia                                          ,508324.0,,,,,,,,,
German Federal Republic,imports,magnesite_and_magnesia,Magnesite                                         ,18598.0,,,,,,,,,
Germany,imports,magnesite_and_magnesia,Magnesia                                          ,,526083.0,570510.0,469428.0,519967.0,568632.0,523866.0,496025.0,471106.0,385102.0
Germany,imports,magnesite_and_magnesia,Magnesite                                         ,,15609.0,13201.0,6721.0,10434.0,16838.0,26105.0,10547.0,8371.0,15190.0
Greece,imports,magnesite_and_magnesia,Magnesia                                          ,1420.0,6185.0,523.0,951.0,1284.0,273.0,1420.0,381.0,541.0,814.0
Greece,imports,magnesite_and_magnesia,Magnesite                                         ,92623.0,57401.0,39690.0,15252.0,32473.0,18529.0,11032.0,1508.0,9851.0,8275.0
Hong Kong,imports,magnesite_and_magnesia,,14808.0,10592.0,15559.0,14946.0,21747.0,9807.0,7092.0,3329.0,3296.0,3066.0
Hungary,imports,magnesite_and_magnesia,Magnesia                                          ,50729.0,,2685.0,2254.0,,,,,,
Hungary,imports,magnesite_and_magnesia,,,,,,19300.0,18600.0,20200.0,12849.0,12163.0,9787.0
India,imports,magnesite_and_magnesia,Magnesia                                          ,72284.0,77319.0,85532.0,72503.0,189786.0,115097.0,64883.0,54906.0,37026.0,47453.0
India,imports,magnesite_and_magnesia,Magnesite                                         ,7304.0,2142.0,2133.0,2290.0,6199.0,2876.0,2070.0,2284.0,5074.0,9755.0
Indonesia,imports,magnesite_and_magnesia,Magnesia                                          ,19149.0,15156.0,13171.0,30380.0,33354.0,52491.0,34138.0,30012.0,27163.0,28200.0
Indonesia,imports,magnesite_and_magnesia,Magnesite                                         ,466.0,1372.0,10016.0,3002.0,3642.0,312.0,567.0,313.0,217.0,3049.0
Iran,imports,magnesite_and_magnesia,,,,,,,,,,13027.0,4486.0
"Ireland, Republic of",imports,magnesite_and_magnesia,Magnesia                                          ,15197.0,11521.0,17025.0,25623.0,37335.0,44762.0,47152.0,42419.0,45694.0,44757.0
"Ireland, Republic of",imports,magnesite_and_magnesia,Magnesite                                         ,30643.0,23503.0,13447.0,117.0,226.0,240.0,337.0,232.0,252.0,3531.0
Israel,imports,magnesite_and_magnesia,,1200.0,2200.0,2200.0,2200.0,2200.0,2200.0,1900.0,3000.0,1400.0,1800.0
Italy,imports,magnesite_and_magnesia,Magnesia                                          ,86147.0,93468.0,81751.0,101189.0,105643.0,121808.0,103752.0,121772.0,111329.0,98192.0
Italy,imports,magnesite_and_magnesia,Magnesite                                         ,16640.0,16891.0,18457.0,31113.0,23128.0,28933.0,27136.0,21130.0,31542.0,30695.0
Japan,imports,magnesite_and_magnesia,Magnesia                                          ,372014.0,421934.0,385528.0,466224.0,532354.0,593617.0,506740.0,577942.0,499443.0,486827.0
Japan,imports,magnesite_and_magnesia,Magnesite                                         ,1381.0,2270.0,6525.0,8544.0,12400.0,14469.0,6129.0,2738.0,1828.0,1607.0
Jordan,imports,magnesite_and_magnesia,,,,,,,,,,136.0,393.0
Kazakhstan,imports,magnesite_and_magnesia,,,,,,,38200.0,30200.0,20500.0,12184.0,9317.0
Korea (Rep. of),imports,magnesite_and_magnesia,Magnesia                                          ,80494.0,97192.0,99662.0,137353.0,147354.0,174478.0,182780.0,186167.0,175726.0,177116.0
Korea (Rep. of),imports,magnesite_and_magnesia,Magnesite                                         ,2384.0,365.0,1974.0,491.0,312.0,1900.0,466.0,5088.0,1240.0,1237.0
Latvia,imports,magnesite_and_magnesia,,,,,,,,,,4573.0,3014.0
