Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Argentina,imports,manganese,Ores & Concentrates                               ,97301.0,73813.0,61083.0,38543.0,67352.0,77225.0,63615.0,74093.0,64419.0,20345.0
Australia,imports,manganese,Metal                                             ,1346.0,1246.0,1465.0,2000.0,1871.0,2366.0,1206.0,1783.0,2121.0,1921.0
Australia,imports,manganese,Ores & Concentrates                               ,1008.0,860.0,21.0,,8.0,22.0,130.0,26.0,2034.0,11138.0
Austria,imports,manganese,Metal                                             ,429.0,1484.0,192.0,239.0,841.0,1395.0,1706.0,1882.0,2143.0,8287.0
Austria,imports,manganese,Ores & Concentrates                               ,801.0,488.0,,,,,,,,
Belgium-Luxembourg,imports,manganese,Metal                                             ,3166.0,2781.0,2968.0,3982.0,3065.0,3896.0,4323.0,4076.0,3728.0,4823.0
Belgium-Luxembourg,imports,manganese,Ores & Concentrates                               ,164337.0,138151.0,149821.0,106689.0,138836.0,94326.0,164757.0,139130.0,127521.0,83407.0
Brazil,imports,manganese,Metal                                             ,799.0,946.0,1847.0,2269.0,2864.0,3008.0,2658.0,3353.0,2247.0,2161.0
Brazil,imports,manganese,Ores & Concentrates                               ,,,,,,,,,,6.0
Bulgaria,imports,manganese,Ores & Concentrates                               ,18000.0,16000.0,1900.0,3700.0,,1055.0,967.0,1918.0,3249.0,0.0
Cameroon,imports,manganese,Ores & Concentrates                               ,2360.0,2400.0,2000.0,1000.0,900.0,1500.0,1900.0,2000.0,2041.0,1980.0
Canada,imports,manganese,Metal                                             ,4268.0,3712.0,3326.0,4140.0,5889.0,4932.0,4853.0,5087.0,5580.0,5853.0
Canada,imports,manganese,Ores & Concentrates                               ,62831.0,7324.0,7611.0,7609.0,6285.0,9603.0,6736.0,3974.0,24967.0,59301.0
China,imports,manganese,Metal                                             ,468.0,303.0,261.0,212.0,63.0,337.0,278.0,532.0,122.0,79.0
China,imports,manganese,Ores & Concentrates                               ,357021.0,560947.0,635114.0,568029.0,962215.0,1289870.0,1585287.0,1316784.0,1179052.0,1056874.0
Colombia,imports,manganese,Ores & Concentrates                               ,7777.0,9410.0,13531.0,17242.0,10161.0,1683.0,12492.0,13134.0,18036.0,1816.0
Croatia,imports,manganese,Metal                                             ,,,52.0,264.0,,65.0,72.0,54.0,51.0,14.0
Croatia,imports,manganese,Ores & Concentrates                               ,,,44575.0,29766.0,,,,,,
Czech Republic,imports,manganese,Metal                                             ,,,,,200.0,200.0,200.0,198.0,207.0,155.0
Czech Republic,imports,manganese,Ores & Concentrates                               ,,,0.0,13000.0,13000.0,47253.0,18515.0,18231.0,3507.0,3505.0
Czechoslovakia,imports,manganese,Ores & Concentrates                               ,951000.0,217000.0,200000.0,,,,,,,
Denmark,imports,manganese,Metal                                             ,1672.0,434.0,260.0,38.0,107.0,61.0,55.0,31.0,29.0,129.0
Denmark,imports,manganese,Ores & Concentrates                               ,184.0,264.0,237.0,107.0,168.0,132.0,218.0,,,
Dubai,imports,manganese,Metal                                             ,,,,,,,23.0,88.0,29.0,8.0
Egypt,imports,manganese,Ores & Concentrates                               ,900.0,1994.0,12245.0,13000.0,817.0,1000.0,12617.0,953.0,674.0,483.0
Estonia,imports,manganese,Metal                                             ,,,,,,29.0,,,41.0,437.0
Finland,imports,manganese,Metal                                             ,,,,142.0,146.0,157.0,98.0,140.0,1375.0,774.0
Finland,imports,manganese,Ores & Concentrates                               ,17830.0,8452.0,28599.0,25626.0,19603.0,15873.0,9424.0,24339.0,22184.0,18681.0
France,imports,manganese,Metal                                             ,3274.0,3220.0,4433.0,4518.0,6764.0,6712.0,5897.0,6352.0,8251.0,6396.0
France,imports,manganese,Ores & Concentrates                               ,754626.0,719715.0,902486.0,816364.0,946617.0,1274390.0,1111060.0,998570.0,1204454.0,950913.0
German Federal Republic,imports,manganese,Metal                                             ,9581.0,,,,,,,,,
German Federal Republic,imports,manganese,Ores & Concentrates                               ,368591.0,,,,,,,,,
Germany,imports,manganese,Metal                                             ,,11492.0,13649.0,13215.0,16764.0,24898.0,18666.0,18324.0,42939.0,27449.0
Germany,imports,manganese,Ores & Concentrates                               ,,252537.0,285849.0,101070.0,10926.0,11355.0,12717.0,26234.0,23108.0,21711.0
Greece,imports,manganese,Metal                                             ,229.0,274.0,2166.0,914.0,2224.0,378.0,392.0,399.0,500.0,474.0
Greece,imports,manganese,Ores & Concentrates                               ,22751.0,24491.0,23931.0,80.0,11085.0,23720.0,12720.0,27130.0,22396.0,28303.0
Hong Kong,imports,manganese,Metal                                             ,,,3505.0,2708.0,1004.0,514.0,399.0,319.0,254.0,354.0
Hong Kong,imports,manganese,Ores & Concentrates                               ,959.0,762.0,1493.0,1178.0,,,,,,
Hungary,imports,manganese,Metal                                             ,,,,,0.0,0.0,200.0,328.0,357.0,361.0
India,imports,manganese,Metal                                             ,4978.0,1994.0,731.0,1500.0,2119.0,1380.0,1333.0,1298.0,1565.0,1910.0
India,imports,manganese,Ores & Concentrates                               ,3471.0,3087.0,2676.0,2241.0,3607.0,3689.0,2760.0,5065.0,4343.0,5102.0
Indonesia,imports,manganese,Metal                                             ,,,,,44.0,181.0,149.0,100.0,37.0,131.0
Indonesia,imports,manganese,Ores & Concentrates                               ,2803.0,2705.0,3642.0,5009.0,14756.0,31752.0,13052.0,15488.0,24724.0,5566.0
Iran,imports,manganese,Metal                                             ,,,,,,,100.0,100.0,98.0,40.0
"Ireland, Republic of",imports,manganese,Metal                                             ,,,,,5.0,19.0,25.0,16.0,64.0,55.0
"Ireland, Republic of",imports,manganese,Ores & Concentrates                               ,22729.0,32476.0,33605.0,35381.0,31206.0,25443.0,39259.0,47339.0,37408.0,39799.0
Israel,imports,manganese,Ores & Concentrates                               ,1700.0,1100.0,2000.0,2500.0,1400.0,2000.0,2700.0,3500.0,1800.0,200.0
Italy,imports,manganese,Metal                                             ,2248.0,2069.0,2798.0,2729.0,3202.0,3941.0,3445.0,2665.0,2791.0,2708.0
Italy,imports,manganese,Ores & Concentrates                               ,348450.0,240852.0,85086.0,165897.0,202210.0,327145.0,201200.0,166266.0,283914.0,135299.0
Japan,imports,manganese,Metal                                             ,13687.0,17931.0,19948.0,24512.0,28012.0,33827.0,36846.0,40565.0,39197.0,39936.0
Japan,imports,manganese,Ores & Concentrates                               ,1646743.0,1663589.0,1054360.0,1350768.0,1199398.0,1272977.0,1261623.0,1363516.0,1207907.0,1227064.0
Kenya,imports,manganese,Ores & Concentrates                               ,2600.0,2000.0,1000.0,1184.0,1651.0,2709.0,,,,
Korea (Rep. of),imports,manganese,Metal                                             ,891.0,1158.0,1039.0,1830.0,1929.0,3243.0,2650.0,3337.0,5539.0,10580.0
Korea (Rep. of),imports,manganese,Ores & Concentrates                               ,393118.0,442785.0,397923.0,406125.0,457636.0,500999.0,392179.0,482797.0,494333.0,503337.0
"Korea, Dem. P.R. of",imports,manganese,Ores & Concentrates                               ,39100.0,73300.0,31500.0,30500.0,700.0,,,,,
Malaysia,imports,manganese,Ores & Concentrates                               ,,1233.0,5135.0,1209.0,861.0,,,,,
Mexico,imports,manganese,Metal                                             ,,,,,,,,1941.0,905.0,1631.0
Mexico,imports,manganese,Ores & Concentrates                               ,137416.0,80713.0,75400.0,45409.0,47555.0,76727.0,62773.0,109022.0,78176.0,73071.0
Netherlands,imports,manganese,Metal                                             ,2263.0,1750.0,2793.0,3688.0,9115.0,10693.0,9232.0,6128.0,8270.0,8156.0
Netherlands,imports,manganese,Ores & Concentrates                               ,71157.0,65905.0,50123.0,25638.0,17729.0,29708.0,25792.0,18057.0,24485.0,19833.0
New Zealand,imports,manganese,Metal                                             ,,,,,,,,36.0,29.0,43.0
North Macedonia,imports,manganese,Ores & Concentrates                               ,,,,43808.0,45000.0,45000.0,16000.0,40453.0,12625.0,1161.0
Norway,imports,manganese,Metal                                             ,1294.0,1288.0,1438.0,1242.0,1363.0,1949.0,1540.0,1648.0,2224.0,1783.0
Norway,imports,manganese,Ores & Concentrates                               ,713174.0,498782.0,619431.0,652774.0,674952.0,734973.0,676573.0,730758.0,721529.0,650379.0
Pakistan,imports,manganese,Ores & Concentrates                               ,,,,20.0,22331.0,,,,,
Philippines,imports,manganese,Ores & Concentrates                               ,20224.0,15002.0,4474.0,4335.0,5029.0,4617.0,15362.0,13559.0,800.0,2758.0
Poland,imports,manganese,Metal                                             ,,,,198.0,215.0,359.0,408.0,319.0,310.0,337.0
