Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,imports,molybdenum,Oxides                                            ,65.0,63.0,97.0,99.0,105.0,84.0,152.0,348.0,259.0,368.0
Australia,imports,molybdenum,Ores & concentrates                               ,,,134.0,483.0,713.0,213.0,91.0,309.0,326.0,243.0
Australia,imports,molybdenum,Oxides                                            ,25.0,3.0,6.0,3.0,,,,,,
Austria,imports,molybdenum,Metal                                             ,,,,,,9.0,5.0,44.0,87.0,366.0
Austria,imports,molybdenum,Oxides                                            ,702.0,637.0,891.0,675.0,1351.0,688.0,1421.0,1489.0,1375.0,1639.0
Belgium-Luxembourg,imports,molybdenum,Metal                                             ,,,,,,78.0,110.0,118.0,332.0,189.0
Belgium-Luxembourg,imports,molybdenum,Ores & concentrates                               ,5112.0,4561.0,9542.0,10987.0,12545.0,13175.0,11909.0,12517.0,13381.0,15856.0
Belgium-Luxembourg,imports,molybdenum,Oxides                                            ,37.0,84.0,56.0,89.0,16.0,61.0,22.0,64.0,331.0,28.0
Brazil,imports,molybdenum,Metal                                             ,,,,,,,,,42.0,208.0
Brazil,imports,molybdenum,Ores & concentrates                               ,,,,,1400.0,1063.0,1413.0,2169.0,2874.0,8535.0
Canada,imports,molybdenum,Oxides                                            ,34.0,29.0,12.0,90.0,86.0,56.0,111.0,192.0,330.0,336.0
Finland,imports,molybdenum,Metal                                             ,,,,,4.0,3.0,74.0,91.0,2.0,4.0
Finland,imports,molybdenum,Ores & concentrates                               ,,,,,,78270.0,79.0,269.0,40111.0,512.0
France,imports,molybdenum,Metal                                             ,93.0,100.0,152.0,178.0,158.0,183.0,168.0,149.0,114.0,206.0
France,imports,molybdenum,Ores & concentrates                               ,9431.0,5391.0,5331.0,7544.0,8836.0,7138.0,7633.0,7314.0,6963.0,7413.0
France,imports,molybdenum,Oxides                                            ,90.0,68.0,64.0,153.0,134.0,136.0,75.0,55.0,359.0,119.0
German Federal Republic,imports,molybdenum,Metal                                             ,411.0,372.0,271.0,403.0,354.0,365.0,482.0,533.0,640.0,797.0
German Federal Republic,imports,molybdenum,Ores & concentrates                               ,15976.0,12453.0,14192.0,18795.0,17556.0,14736.0,41674.0,17987.0,19203.0,22065.0
German Federal Republic,imports,molybdenum,Oxides                                            ,,,,,,129.0,125.0,309.0,457.0,515.0
India,imports,molybdenum,Metal                                             ,,,13.0,16.0,67.0,44.0,106.0,14.0,35.0,37.0
Italy,imports,molybdenum,Metal                                             ,47.0,43.0,54.0,70.0,79.0,91.0,260.0,189.0,176.0,251.0
Italy,imports,molybdenum,Ores & concentrates                               ,4648.0,3769.0,5705.0,6699.0,8230.0,6229.0,5397.0,5808.0,5638.0,5866.0
Italy,imports,molybdenum,Oxides                                            ,,,,,,84.0,196.0,623.0,819.0,619.0
Japan,imports,molybdenum,Metal                                             ,144.0,44.0,142.0,288.0,146.0,106.0,84.0,113.0,184.0,182.0
Japan,imports,molybdenum,Ores & concentrates                               ,15121.0,12814.0,10235.0,16613.0,17778.0,12128.0,17916.0,16495.0,16645.0,18431.0
Japan,imports,molybdenum,Oxides                                            ,,,123.0,447.0,520.0,90.0,482.0,498.0,497.0,613.0
Malaysia,imports,molybdenum,Metal                                             ,,,45.0,13.0,56.0,18.0,13.0,,,
Mexico,imports,molybdenum,Metal                                             ,,,,,,,,265.0,68.0,234.0
Mexico,imports,molybdenum,Ores & concentrates                               ,34.0,286.0,433.0,522.0,981.0,874.0,589.0,459.0,710.0,693.0
Netherlands,imports,molybdenum,Metal                                             ,73.0,55.0,128.0,158.0,170.0,172.0,201.0,208.0,153.0,235.0
Netherlands,imports,molybdenum,Ores & concentrates                               ,18785.0,18000.0,18000.0,28000.0,29000.0,25000.0,24000.0,27000.0,27644.0,27944.0
