Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Austria,imports,natural_gas,,,,,,6220717.0,6922117.0,7593331.0,6988269.0,7136000.0,7566509.0
Belgium,imports,natural_gas,,,,,,,,12961751.0,11194656.0,11419294.0,14431349.0
Belgium-Luxembourg,imports,natural_gas,,,,,,33170346.0,31896566.0,,,,
Brazil,imports,natural_gas,,1493470.0,2444941.0,4294562.0,,,,,,,
China,imports,natural_gas,,2510.0,1219.0,0.0,,,,,,,
Croatia,imports,natural_gas,,,,,,979394.0,1088406.0,1085554.0,700955.0,855326.0,738109.0
Czech Republic,imports,natural_gas,,,,,,6345673.0,6733431.0,5489325.0,5478515.0,6264909.0,7080247.0
Denmark,imports,natural_gas,,,,,,33801.0,242936.0,,,,
Estonia,imports,natural_gas,,,,,,153430.0,155659.0,154926.0,726823.0,717831.0,477844.0
Finland,imports,natural_gas,,,,,,3364823.0,3068411.0,4402041.0,5822601.0,6028908.0,0.0
France,imports,natural_gas,,,,,,37043057.0,48574413.0,62023544.0,75216254.0,79101617.0,32440935.0
Germany,imports,natural_gas,,,,,,77411493.0,78310541.0,83475456.0,75980087.0,78201702.0,78990573.0
Greece,imports,natural_gas,,,,,,2455612.0,2634247.0,3029778.0,3789666.0,4186746.0,3086243.0
Hungary,imports,natural_gas,,,,,,7993113.0,8238371.0,8013603.0,7366053.0,8574143.0,6238749.0
India,imports,natural_gas,,0.0,3500.0,23755.0,,,,,,,
"Ireland, Republic of",imports,natural_gas,,,,,,1237980.0,2383218.0,1946640.0,3838104.0,4364595.0,4192236.0
Italy,imports,natural_gas,,,,,,,39034000.0,42870000.0,71491000.0,36489000.0,52879546.0
Latvia,imports,natural_gas,,,,,,960563.0,1153086.0,1201960.0,1158965.0,1138776.0,1047240.0
Lithuania,imports,natural_gas,,,,,,1991505.0,2071091.0,2129513.0,2414798.0,2246642.0,1761529.0
Luxembourg,imports,natural_gas,,,,,,,,3205.0,1797.0,221375.0,92122.0
Netherlands,imports,natural_gas,,,,,,9210387.0,14229445.0,29784906.0,10072000.0,17228000.0,9512000.0
North Macedonia,imports,natural_gas,,,,,,47782.0,52416.0,56876.0,63225.0,86823.0,53192.0
Norway,imports,natural_gas,,,,,,0.0,0.0,89684.0,118063.0,442.0,231.0
Poland,imports,natural_gas,,,,,,6226121.0,7118539.0,,,,
Portugal,imports,natural_gas,,,,,,2812628.0,3588097.0,3356949.0,3758075.0,4188706.0,3770943.0
Romania,imports,natural_gas,,,,,,3725638.0,4140078.0,4048749.0,8877219.0,7757273.0,1451767.0
Russia,imports,natural_gas,,2906264.0,225531.0,760510.0,,,,,,,
Serbia,imports,natural_gas,,,,,,,,,1453564.0,1548551.0,1046465.0
Slovakia,imports,natural_gas,,,,,,5099100.0,5177312.0,5157793.0,4249360.0,4640012.0,4820301.0
Slovenia,imports,natural_gas,,,,,,798848.0,851258.0,811065.0,807877.0,750581.0,748930.0
Spain,imports,natural_gas,,,,,,19758243.0,24439892.0,26548202.0,27048984.0,32044466.0,28024572.0
Sweden,imports,natural_gas,,,,,,862740.0,618697.0,372627.0,749162.0,647510.0,860497.0
Switzerland,imports,natural_gas,,,,,,2469629.0,2539454.0,2560801.0,2402267.0,2596153.0,2450414.0
United Kingdom,imports,natural_gas,,,,,,5198582.0,13538836.0,20142072.0,27836698.0,33996147.0,38706148.0
