Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Argentina,imports,nickel,Unwrought,636.0,395.0,443.0,762.0,735.0,311.0,538.0,844.0,322.0,262.0
Australia,imports,nickel,"Mattes, sinters etc",1928.0,0.0,31.0,51.0,0.0,121.0,590.0,1416.0,,
Australia,imports,nickel,Scrap,,,22.0,14.0,44.0,129.0,161.0,355.0,243.0,160.0
Australia,imports,nickel,Unwrought,1359.0,838.0,1307.0,306.0,1133.0,737.0,627.0,1287.0,282.0,76.0
Australia,imports,nickel,Unwrought alloys,276.0,646.0,682.0,77.0,132.0,80.0,34.0,50.0,257.0,243.0
Austria,imports,nickel,"Mattes, sinters etc",1279.0,734.0,833.0,622.0,1122.0,1207.0,907.0,405.0,672.0,835.0
Austria,imports,nickel,Oxides,,,,,,,,,5.0,3.0
Austria,imports,nickel,Scrap,1597.0,567.0,357.0,222.0,608.0,572.0,155.0,949.0,626.0,271.0
Austria,imports,nickel,Unwrought,2378.0,2586.0,2129.0,2888.0,3105.0,2664.0,3030.0,2814.0,2735.0,2370.0
Belgium-Luxembourg,imports,nickel,"Mattes, sinters etc",300.0,446.0,338.0,423.0,2402.0,1669.0,1943.0,1791.0,4445.0,6358.0
Belgium-Luxembourg,imports,nickel,Ores & concentrates,,,,0.0,0.0,0.0,1087.0,2350.0,2273.0,
Belgium-Luxembourg,imports,nickel,Oxides,164.0,106.0,88.0,349.0,384.0,142.0,746.0,274.0,126.0,163.0
Belgium-Luxembourg,imports,nickel,Scrap,519.0,983.0,499.0,327.0,601.0,527.0,304.0,627.0,1390.0,2388.0
Belgium-Luxembourg,imports,nickel,Unwrought,2624.0,2176.0,3149.0,2993.0,2079.0,2322.0,3141.0,5418.0,9238.0,9133.0
Belgium-Luxembourg,imports,nickel,Unwrought alloys,437.0,273.0,969.0,1347.0,971.0,274.0,646.0,1228.0,128.0,65.0
Brazil,imports,nickel,Unwrought,5850.0,4950.0,1747.0,174.0,341.0,1135.0,1915.0,1712.0,1493.0,4017.0
Canada,imports,nickel,"Mattes, sinters etc",,,,,,,,,,2522.0
Canada,imports,nickel,Ores & concentrates,,,,,,,,23533.0,1202.0,716.0
Canada,imports,nickel,"Ores, concentrates & scrap",26149.0,23760.0,22355.0,29401.0,24736.0,31592.0,38331.0,,,
Canada,imports,nickel,Scrap,,,,,,,,,14544.0,13480.0
Canada,imports,nickel,Unwrought,5224.0,2927.0,3403.0,3355.0,4100.0,3338.0,3451.0,3348.0,1682.0,3786.0
China,imports,nickel,Unwrought,,,,,,,,209.0,2471.0,526.0
Colombia,imports,nickel,Unwrought,121.0,245.0,121.0,231.0,309.0,144.0,280.0,164.0,164.0,284.0
Czechoslovakia,imports,nickel,Unwrought,7919.0,8347.0,6741.0,8060.0,6483.0,6558.0,5473.0,7460.0,5352.0,6092.0
Denmark,imports,nickel,Unwrought,131.0,115.0,159.0,222.0,204.0,106.0,178.0,249.0,140.0,117.0
Denmark,imports,nickel,Unwrought alloys,49.0,0.0,2.0,22.0,156.0,38.0,38.0,,,
Finland,imports,nickel,"Mattes, sinters etc",7522.0,6270.0,7853.0,9901.0,8786.0,9759.0,9267.0,4514.0,5778.0,5417.0
Finland,imports,nickel,Ores & concentrates,14676.0,12402.0,11579.0,12188.0,7325.0,13661.0,10971.0,12516.0,7582.0,
Finland,imports,nickel,Scrap,1944.0,1449.0,1959.0,1987.0,2489.0,2681.0,3839.0,3216.0,5761.0,5738.0
Finland,imports,nickel,Unwrought,4299.0,2460.0,2869.0,4973.0,4661.0,5084.0,2735.0,2313.0,3140.0,4045.0
France,imports,nickel,"Mattes, sinters etc",15050.0,19374.0,10756.0,7092.0,8649.0,13600.0,13534.0,11697.0,14019.0,14083.0
France,imports,nickel,Oxides,244.0,262.0,243.0,545.0,283.0,204.0,146.0,61.0,173.0,204.0
France,imports,nickel,Scrap,763.0,983.0,466.0,529.0,917.0,942.0,669.0,580.0,837.0,1167.0
France,imports,nickel,Unwrought,18029.0,16802.0,16377.0,17893.0,18094.0,15415.0,14798.0,22712.0,20375.0,23963.0
France,imports,nickel,Unwrought alloys,4525.0,3109.0,3121.0,2659.0,4604.0,4357.0,3755.0,4872.0,4687.0,3033.0
German Federal Republic,imports,nickel,"Mattes, sinters etc",14116.0,12361.0,13847.0,11999.0,12239.0,12583.0,11186.0,13104.0,14585.0,11936.0
German Federal Republic,imports,nickel,Oxides,391.0,315.0,193.0,186.0,383.0,234.0,558.0,280.0,331.0,271.0
German Federal Republic,imports,nickel,Scrap,7552.0,5469.0,6419.0,4902.0,8389.0,7561.0,6062.0,6987.0,11775.0,12508.0
German Federal Republic,imports,nickel,Unwrought,39329.0,39929.0,40576.0,44830.0,48284.0,42368.0,46071.0,57342.0,56399.0,57458.0
Germany,imports,nickel,"Mattes, sinters etc",,,,,,,,,,
Germany,imports,nickel,Oxides,,,,,,,,,,
Germany,imports,nickel,Scrap,,,,,,,,,,
Germany,imports,nickel,Unwrought,,,,,,,,,,
Greece,imports,nickel,Unwrought,182.0,41.0,152.0,100.0,73.0,133.0,120.0,203.0,105.0,194.0
Hong Kong,imports,nickel,Unwrought,3487.0,4534.0,3312.0,5008.0,4494.0,3811.0,7052.0,6220.0,7026.0,6079.0
India,imports,nickel,"Mattes, sinters etc",,1918.0,1466.0,,,3276.0,1120.0,3884.0,3265.0,3372.0
India,imports,nickel,Scrap,2261.0,3357.0,1702.0,,1133.0,1101.0,1067.0,632.0,969.0,137.0
India,imports,nickel,Unwrought,2872.0,5598.0,4744.0,,,3466.0,2862.0,5322.0,6110.0,5697.0
India,imports,nickel,Unwrought alloys,380.0,2130.0,1969.0,,,1299.0,1331.0,750.0,,
"Ireland, Republic of",imports,nickel,Unwrought,254.0,188.0,187.0,142.0,220.0,305.0,585.0,398.0,515.0,615.0
Italy,imports,nickel,"Mattes, sinters etc",2670.0,1766.0,1870.0,2676.0,4261.0,4426.0,4927.0,6743.0,6978.0,10520.0
Italy,imports,nickel,Oxides,2534.0,2897.0,2430.0,2300.0,2106.0,975.0,1836.0,440.0,110.0,114.0
Italy,imports,nickel,Scrap,685.0,335.0,320.0,140.0,81.0,271.0,87.0,220.0,119.0,42.0
Italy,imports,nickel,Unwrought,17969.0,11502.0,16847.0,13593.0,19811.0,17336.0,17254.0,15616.0,16258.0,15420.0
Italy,imports,nickel,Unwrought alloys,785.0,651.0,1063.0,664.0,473.0,583.0,1133.0,849.0,698.0,1342.0
Japan,imports,nickel,"Mattes, sinters etc",51751.0,36608.0,41812.0,38323.0,50510.0,52656.0,58312.0,54610.0,62658.0,59923.0
Japan,imports,nickel,Ores & concentrates,3950321.0,3462801.0,2996755.0,2297076.0,2834813.0,2976005.0,2885823.0,2926857.0,3265651.0,
Japan,imports,nickel,Oxides,1797.0,1439.0,,,,,,,290.0,283.0
Japan,imports,nickel,Scrap,1806.0,2252.0,2938.0,3668.0,3242.0,2622.0,2219.0,3089.0,3578.0,2241.0
Japan,imports,nickel,Unwrought,15202.0,17732.0,19689.0,26822.0,31377.0,24690.0,24024.0,42352.0,34093.0,37973.0
Japan,imports,nickel,Unwrought alloys,415.0,151.0,218.0,237.0,172.0,208.0,325.0,261.0,235.0,282.0
Korea (Rep. of),imports,nickel,"Mattes, sinters etc",,,,,,,,,,6600.0
Korea (Rep. of),imports,nickel,Scrap,10.0,4.0,318.0,167.0,224.0,327.0,284.0,554.0,2077.0,1781.0
Korea (Rep. of),imports,nickel,Unwrought,2853.0,3811.0,2451.0,2002.0,2306.0,3472.0,5839.0,4961.0,5259.0,8165.0
"Korea, Dem. P.R. of",imports,nickel,Unwrought,,400.0,600.0,200.0,500.0,700.0,600.0,1900.0,600.0,100.0
Malaysia,imports,nickel,Unwrought,3322.0,2010.0,499.0,296.0,398.0,104.0,133.0,111.0,170.0,158.0
Mexico,imports,nickel,"Mattes, sinters etc",3208.0,4049.0,4312.0,1227.0,2088.0,3539.0,1889.0,,,
Mexico,imports,nickel,Oxides,505.0,511.0,268.0,,,,,,,
Mexico,imports,nickel,Unwrought,,,,,,,,0.0,998.0,1258.0
Netherlands,imports,nickel,"Mattes, sinters etc",3695.0,2633.0,8800.0,14600.0,7600.0,10400.0,8600.0,5900.0,11700.0,3200.0
Netherlands,imports,nickel,Oxides,1127.0,1075.0,1245.0,267.0,152.0,314.0,141.0,145.0,196.0,211.0
Netherlands,imports,nickel,Scrap,1021.0,1377.0,1527.0,1320.0,3737.0,2943.0,2776.0,2773.0,3138.0,2962.0
Netherlands,imports,nickel,Unwrought,5518.0,3681.0,3312.0,3054.0,1604.0,1737.0,2973.0,1834.0,1472.0,2924.0
Netherlands,imports,nickel,Unwrought alloys,49.0,54.0,78.0,62.0,30.0,34.0,142.0,83.0,62.0,756.0
New Zealand,imports,nickel,Unwrought,107.0,116.0,142.0,10.0,105.0,131.0,65.0,64.0,25.0,45.0
Norway,imports,nickel,"Mattes, sinters etc",89855.0,84252.0,62419.0,63140.0,93459.0,102443.0,101073.0,92110.0,119220.0,110432.0
Norway,imports,nickel,Scrap,7.0,21.0,31.0,8.0,73.0,3.0,12.0,,,
Norway,imports,nickel,Unwrought,79.0,188.0,85.0,281.0,146.0,202.0,153.0,64.0,19.0,53.0
Pakistan,imports,nickel,Unwrought,,,,,,,,,,
Portugal,imports,nickel,Unwrought,139.0,246.0,297.0,275.0,223.0,286.0,347.0,331.0,279.0,267.0
Singapore,imports,nickel,"Mattes, sinters etc",,,,,,,,,,
Singapore,imports,nickel,Scrap,,135.0,193.0,145.0,182.0,170.0,182.0,284.0,208.0,185.0
Singapore,imports,nickel,Unwrought,1195.0,1415.0,1414.0,11385.0,917.0,2638.0,3726.0,1493.0,4042.0,3355.0
South Africa,imports,nickel,"Mattes, sinters etc",0.0,150.0,560.0,455.0,577.0,904.0,628.0,469.0,,
South Africa,imports,nickel,Scrap,89.0,,,,,,,,,
South Africa,imports,nickel,Unwrought,542.0,522.0,103.0,40.0,57.0,41.0,,,25.0,5.0
Soviet Union,imports,nickel,Ores & concentrates,,,,,,,,,,
Spain,imports,nickel,"Mattes, sinters etc",1779.0,2244.0,2353.0,2625.0,2376.0,1849.0,1591.0,1503.0,503.0,426.0
Spain,imports,nickel,Unwrought,6104.0,3668.0,5036.0,4982.0,4776.0,3780.0,4863.0,4270.0,7895.0,10766.0
Sweden,imports,nickel,"Mattes, sinters etc",4453.0,3113.0,2603.0,4059.0,2934.0,2700.0,3513.0,3515.0,2319.0,1872.0
Sweden,imports,nickel,Ores & concentrates,,,,,,0.0,18.0,0.0,2866.0,
Sweden,imports,nickel,Scrap,2609.0,2082.0,2930.0,3365.0,4575.0,5510.0,6709.0,6048.0,11013.0,11029.0
Sweden,imports,nickel,Unwrought,10518.0,7754.0,10553.0,9224.0,12566.0,11874.0,10042.0,10628.0,13622.0,12412.0
Sweden,imports,nickel,Unwrought alloys,292.0,284.0,308.0,372.0,293.0,309.0,306.0,177.0,554.0,1371.0
Switzerland,imports,nickel,Scrap,164.0,240.0,242.0,94.0,70.0,86.0,29.0,29.0,85.0,51.0
Switzerland,imports,nickel,Unwrought,,,,,,,,1157.0,664.0,1087.0
Switzerland,imports,nickel,"Unwrought, mattes, sinters etc",1340.0,1164.0,1034.0,895.0,901.0,1261.0,1382.0,,,
Taiwan,imports,nickel,"Mattes, sinters etc",,18.0,486.0,429.0,1949.0,2938.0,11514.0,11256.0,17539.0,9923.0
Taiwan,imports,nickel,Oxides,,,,,,,,,300.0,335.0
Taiwan,imports,nickel,Scrap,,79.0,155.0,133.0,136.0,396.0,1223.0,383.0,155.0,7.0
Taiwan,imports,nickel,Unwrought,2230.0,2479.0,2822.0,4060.0,4497.0,3863.0,6535.0,6364.0,3900.0,7061.0
Thailand,imports,nickel,Unwrought,,415.0,440.0,622.0,433.0,387.0,517.0,775.0,567.0,2788.0
Turkey,imports,nickel,Unwrought,,,,,,,,,800.0,780.0
USA,imports,nickel,Ores & concentrates,4701.0,8354.0,1813.0,,,,,,,
USA,imports,nickel,Oxides,3794.0,3928.0,2852.0,3818.0,5013.0,4618.0,712.0,804.0,806.0,749.0
USA,imports,nickel,Scrap,3240.0,4741.0,3901.0,5507.0,5623.0,5036.0,6164.0,6865.0,8384.0,10280.0
USA,imports,nickel,"Slurry, mattes, sinters etc",66043.0,85994.0,50165.0,54552.0,70900.0,55462.0,4518.0,5335.0,6687.0,303.0
USA,imports,nickel,Unwrought,107497.0,109804.0,74328.0,84709.0,93456.0,88704.0,91717.0,103314.0,106867.0,111608.0
United Kingdom,imports,nickel,"Mattes, sinters etc",38325.0,41232.0,15015.0,25937.0,39891.0,42753.0,38008.0,39957.0,46834.0,41792.0
United Kingdom,imports,nickel,Oxides,1020.0,257.0,216.0,511.0,553.0,1062.0,598.0,2709.0,2695.0,818.0
United Kingdom,imports,nickel,Scrap,2174.0,2390.0,3359.0,2298.0,2810.0,4137.0,3197.0,4503.0,6332.0,6493.0
United Kingdom,imports,nickel,Unwrought,16762.0,16431.0,14778.0,10423.0,13280.0,13948.0,14024.0,17031.0,15248.0,17140.0
United Kingdom,imports,nickel,Unwrought alloys,1478.0,526.0,474.0,467.0,2079.0,2216.0,2060.0,1127.0,2326.0,1836.0
Venezuela,imports,nickel,Unwrought,185.0,207.0,185.0,109.0,171.0,201.0,493.0,327.0,243.0,184.0
Yugoslavia,imports,nickel,Unwrought,1960.0,2150.0,1074.0,1394.0,2659.0,2837.0,2395.0,1627.0,1681.0,884.0
