Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Argentina,imports,petroleum_crude,,1402712.0,2248345.0,1375178.0,2358239.0,3079238.0,2099112.0,2979459.0,3306801.0,1970002.0,1773290.0
Australia,imports,petroleum_crude,,21116670.0,12488305.0,8942537.0,8960781.0,9138665.0,8140691.0,8591330.0,9209819.0,10328206.0,10020845.0
Austria,imports,petroleum_crude,,2245862.0,4480379.0,5205368.0,6041567.0,6358131.0,6045035.0,7267468.0,6786993.0,8066333.0,8827011.0
Bahamas,imports,petroleum_crude,,2734847.0,3109209.0,1724931.0,11572339.0,10900000.0,10500000.0,9255000.0,35408565.0,9282000.0,19345084.0
Bahrain,imports,petroleum_crude,,8660000.0,8917000.0,8246000.0,8852450.0,8864700.0,7556000.0,10511500.0,9984000.0,9575600.0,9876000.0
Bangladesh,imports,petroleum_crude,,,,896500.0,572700.0,621200.0,837800.0,1242700.0,1092000.0,1064000.0,1040000.0
Barbados,imports,petroleum_crude,,80921.0,59579.0,92932.0,124106.0,115891.0,119748.0,107223.0,128273.0,108256.0,110000.0
Belgium-Luxembourg,imports,petroleum_crude,,30353510.0,30580920.0,43977591.0,35950322.0,29301947.0,26168207.0,28811418.0,34998483.0,30795740.0,31596685.0
Brazil,imports,petroleum_crude,,15796648.0,18730780.0,22940613.0,32110673.0,32730692.0,34205975.0,40094943.0,40089067.0,44749557.0,50158455.0
Bulgaria,imports,petroleum_crude,,5696000.0,7547000.0,8279000.0,9652000.0,10629000.0,10459000.0,10839000.0,11763000.0,12644000.0,13000000.0
Burma,imports,petroleum_crude,,213569.0,291369.0,188501.0,,460455.0,,,,,
Canada,imports,petroleum_crude,,30136465.0,35555914.0,40823496.0,47629152.0,42253965.0,43313843.0,40193291.0,34729430.0,33552992.0,32253452.0
Chile,imports,petroleum_crude,,1976201.0,2930574.0,21867032.0,2289908.0,4746732.0,3657000.0,3128000.0,2825020.0,3563892.0,4649000.0
Colombia,imports,petroleum_crude,,,,,,,,350528.0,909058.0,1081355.0,1019243.0
Costa Rica,imports,petroleum_crude,,298681.0,386949.0,391762.0,447146.0,390717.0,271435.0,251388.0,335247.0,419595.0,366234.0
Cuba,imports,petroleum_crude,,4261000.0,4757000.0,4749000.0,5243000.0,5875000.0,5797000.0,5783000.0,6201000.0,6359000.0,6131000.0
Cyprus,imports,petroleum_crude,,,,717151.0,707489.0,544608.0,383980.0,426450.0,447303.0,486120.0,514253.0
Czechoslovakia,imports,petroleum_crude,,9798000.0,11505000.0,12571000.0,14176000.0,14655000.0,15839000.0,17082000.0,18322000.0,18577000.0,18834000.0
Denmark,imports,petroleum_crude,,10121818.0,10664444.0,9895164.0,9755876.0,9355520.0,7915462.0,7583897.0,7335965.0,7724824.0,7951692.0
Dominican Republic,imports,petroleum_crude,,463568.0,,,832000.0,1523000.0,1329000.0,1767000.0,1546315.0,1736192.0,1712598.0
Ecuador,imports,petroleum_crude,,969657.0,1238654.0,1162000.0,894000.0,860000.0,331417.0,,,,
Egypt,imports,petroleum_crude,,1046962.0,1524744.0,1375418.0,429000.0,36300.0,2320000.0,640800.0,,,
El Salvador,imports,petroleum_crude,,134796.0,461207.0,435050.0,616499.0,603217.0,517267.0,514298.0,859685.0,705179.0,643421.0
Ethiopia,imports,petroleum_crude,,559074.0,513500.0,398254.0,473761.0,470562.0,519197.0,469900.0,620081.0,611433.0,698574.0
Finland,imports,petroleum_crude,,9753216.0,8945371.0,9234480.0,9522034.0,9365798.0,9622045.0,11135668.0,11517229.0,10453872.0,12716457.0
France,imports,petroleum_crude,,100162702.0,104748661.0,121065264.0,136510651.0,130351074.0,107004656.0,122354540.0,118274281.0,116387810.0,126010262.0
German Democratic Rep,imports,petroleum_crude,,10315000.0,10919000.0,14858000.0,16045000.0,16434000.0,16997000.0,18036000.0,19042000.0,19925000.0,20694000.0
German Federal Republic,imports,petroleum_crude,,98786443.0,100229654.0,102600061.0,110493097.0,102542676.0,88413924.0,97669209.0,96289675.0,94375050.0,107354974.0
Ghana,imports,petroleum_crude,,901835.0,738967.0,1301068.0,933108.0,1195976.0,1242488.0,578556.0,695569.0,631833.0,490201.0
