Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Albania,imports,phosphate_rock,,,,,,60700.0,58800.0,95200.0,103500.0,99300.0,98300.0
Australia,imports,phosphate_rock,,2692422.0,1961897.0,1975348.0,2198005.0,1606414.0,1809830.0,1690000.0,1666215.0,2082000.0,1761000.0
Austria,imports,phosphate_rock,,409810.0,421341.0,351615.0,442367.0,470133.0,424530.0,421837.0,350134.0,328113.0,426191.0
Bangladesh,imports,phosphate_rock,,139000.0,111000.0,100000.0,145000.0,93000.0,123000.0,162601.0,95006.0,87547.0,107200.0
Belgium-Luxembourg,imports,phosphate_rock,,2326081.0,2251950.0,2088573.0,2316777.0,2472435.0,2482188.0,2286726.0,2522224.0,2386939.0,2279182.0
Brazil,imports,phosphate_rock,,772154.0,466308.0,234643.0,5.0,9449.0,31678.0,119237.0,152675.0,142340.0,146349.0
Bulgaria,imports,phosphate_rock,,328000.0,387200.0,757544.0,836501.0,755549.0,722898.0,629255.0,520900.0,732600.0,643000.0
Canada,imports,phosphate_rock,,3816514.0,3245430.0,2477187.0,2625389.0,3142653.0,2621667.0,2355683.0,1968225.0,2157426.0,1846917.0
Chile,imports,phosphate_rock,,,,,0.0,6066.0,18948.0,13871.0,15929.0,18275.0,26508.0
China,imports,phosphate_rock,,579000.0,301000.0,427000.0,579000.0,619000.0,286000.0,338400.0,186794.0,194647.0,211046.0
Colombia,imports,phosphate_rock,,40758.0,37849.0,67286.0,51444.0,37425.0,40608.0,51127.0,47838.0,43696.0,37703.0
Cuba,imports,phosphate_rock,,,,,,,10000.0,24800.0,10000.0,5000.0,5000.0
Czechoslovakia,imports,phosphate_rock,,323000.0,271000.0,280000.0,281000.0,276000.0,282000.0,273000.0,255000.0,146000.0,199000.0
Denmark,imports,phosphate_rock,,312163.0,338153.0,260205.0,286185.0,315972.0,328663.0,198473.0,234464.0,270370.0,219203.0
Finland,imports,phosphate_rock,,613628.0,410231.0,495418.0,443613.0,387694.0,383000.0,190800.0,136200.0,149900.0,121800.0
France,imports,phosphate_rock,,5449733.0,4551522.0,4455205.0,4516315.0,4652290.0,4254324.0,3566714.0,3754538.0,3672788.0,3578361.0
German Democratic Rep,imports,phosphate_rock,,533500.0,416100.0,420100.0,418800.0,425200.0,424000.0,437300.0,368300.0,394000.0,423900.0
German Federal Republic,imports,phosphate_rock,,2560313.0,2210349.0,1930572.0,2031054.0,1933425.0,1943064.0,1579045.0,1444894.0,1157569.0,1208100.0
Germany,imports,phosphate_rock,,,,,,,,,,,
Greece,imports,phosphate_rock,,244260.0,218771.0,359341.0,126193.0,379040.0,202829.0,356999.0,795412.0,308123.0,451232.0
Hungary,imports,phosphate_rock,,671784.0,674150.0,567966.0,648880.0,645820.0,575883.0,585147.0,712200.0,544221.0,523211.0
India,imports,phosphate_rock,,1076639.0,1371000.0,1552000.0,1396000.0,1680000.0,1867000.0,1867600.0,1819319.0,2017431.0,2117260.0
Indonesia,imports,phosphate_rock,,105.0,260593.0,294731.0,361759.0,636509.0,817432.0,717571.0,1195638.0,1035831.0,886342.0
Iran,imports,phosphate_rock,,,,,,,,,,,
"Ireland, Republic of",imports,phosphate_rock,,87059.0,36859.0,9669.0,3405.0,7369.0,7239.0,5105.0,2813.0,1495.0,6128.0
Italy,imports,phosphate_rock,,1739719.0,1377281.0,1161597.0,1553599.0,1448556.0,1295729.0,1388856.0,1302576.0,1162063.0,1056869.0
Ivory Coast,imports,phosphate_rock,,3630.0,6100.0,8785.0,7575.0,4882.0,7793.0,10533.0,,4646.0,
Japan,imports,phosphate_rock,,2762404.0,2255714.0,2216490.0,2437819.0,2322869.0,2413608.0,2076190.0,2159958.0,1821007.0,1590053.0
Korea (Rep. of),imports,phosphate_rock,,1670321.0,1136814.0,1505459.0,1591814.0,1651629.0,1770968.0,1606721.0,1702440.0,1653005.0,1544445.0
"Korea, Dem. P.R. of",imports,phosphate_rock,,197000.0,159000.0,109000.0,167000.0,41000.0,50000.0,144400.0,90000.0,132000.0,31000.0
Lebanon,imports,phosphate_rock,,313000.0,322000.0,,,,,,,119500.0,85000.0
Malaysia,imports,phosphate_rock,,344892.0,219165.0,208008.0,274539.0,284629.0,374644.0,283857.0,384588.0,359420.0,376161.0
Mexico,imports,phosphate_rock,,1000013.0,1181437.0,1035723.0,1115000.0,1250758.0,2034921.0,1096763.0,1345432.0,1489631.0,1456615.0
Mozambique,imports,phosphate_rock,,4000.0,6000.0,2000.0,3000.0,3000.0,,,,,
Netherlands,imports,phosphate_rock,,2485238.0,2137710.0,1949370.0,2158927.0,2366108.0,2388066.0,2053253.0,2212428.0,2459808.0,2366965.0
New Zealand,imports,phosphate_rock,,1209305.0,1024671.0,1025368.0,915071.0,898605.0,924638.0,484595.0,338178.0,563310.0,489350.0
Nigeria,imports,phosphate_rock,,15000.0,32000.0,21000.0,14000.0,17000.0,11000.0,7400.0,,,
Norway,imports,phosphate_rock,,477212.0,402098.0,461447.0,414847.0,507213.0,452112.0,445807.0,475426.0,512188.0,599961.0
Pakistan,imports,phosphate_rock,,143777.0,115454.0,183321.0,237076.0,280621.0,246979.0,191855.0,115573.0,278845.0,238300.0
Philippines,imports,phosphate_rock,,30011.0,5.0,12.0,10588.0,13574.0,306130.0,1286548.0,1034936.0,717016.0,780371.0
Poland,imports,phosphate_rock,,3242000.0,2938000.0,3280000.0,3176000.0,2965000.0,3261000.0,2970000.0,3482000.0,3401000.0,3319000.0
Portugal,imports,phosphate_rock,,457055.0,342560.0,396953.0,301863.0,364752.0,342282.0,307603.0,324888.0,262847.0,237725.0
Romania,imports,phosphate_rock,,896800.0,951200.0,820800.0,989000.0,935500.0,947100.0,1041200.0,867100.0,873100.0,833200.0
Saudi Arabia,imports,phosphate_rock,,,,,345.0,0.0,9604.0,17177.0,4298.0,4869.0,2134.0
Singapore,imports,phosphate_rock,,20393.0,20250.0,27129.0,16149.0,9528.0,5219.0,4920.0,3445.0,2358.0,725.0
South Africa,imports,phosphate_rock,,,,,,143908.0,51770.0,,250650.0,404787.0,296801.0
Spain,imports,phosphate_rock,,2604073.0,2399392.0,2391303.0,2484904.0,2887721.0,2775044.0,3700779.0,2832571.0,2870591.0,2421726.0
Sri Lanka,imports,phosphate_rock,,27500.0,13300.0,17767.0,9406.0,20110.0,24025.0,13434.0,18718.0,10500.0,14000.0
Sweden,imports,phosphate_rock,,597445.0,618932.0,678932.0,724394.0,774193.0,749688.0,588417.0,739838.0,693305.0,714696.0
Switzerland,imports,phosphate_rock,,13055.0,9799.0,7344.0,5873.0,6423.0,6247.0,5063.0,5237.0,2193.0,3312.0
Taiwan,imports,phosphate_rock,,297797.0,314016.0,288081.0,228636.0,367089.0,308858.0,330763.0,361188.0,368630.0,391353.0
Tanzania,imports,phosphate_rock,,36000.0,7.0,32053.0,15557.0,23000.0,15000.0,,,25000.0,
The Canary Islands,imports,phosphate_rock,,2745.0,,,,,,,,,
Turkey,imports,phosphate_rock,,856070.0,1268261.0,625537.0,922641.0,727758.0,682049.0,702401.0,813582.0,995330.0,808922.0
USA,imports,phosphate_rock,,487049.0,16801.0,31336.0,8811.0,23223.0,35049.0,527776.0,466562.0,675626.0,709564.0
United Kingdom,imports,phosphate_rock,,1755115.0,1456130.0,1312124.0,1489067.0,1340133.0,1159512.0,936153.0,758084.0,746823.0,602426.0
Uruguay,imports,phosphate_rock,,68540.0,50560.0,29860.0,18856.0,35967.0,42000.0,35422.0,89700.0,77149.0,72200.0
Venezuela,imports,phosphate_rock,,95040.0,54290.0,74898.0,34463.0,54909.0,72545.0,59639.0,54926.0,68365.0,68130.0
Yugoslavia,imports,phosphate_rock,,1382685.0,1057978.0,1265072.0,1801832.0,1438167.0,1312471.0,1439150.0,1373803.0,1741304.0,1234726.0
Zimbabwe,imports,phosphate_rock,,0.0,7881.0,14396.0,27758.0,7971.0,0.0,11939.0,6747.0,,
