Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,imports,platinum_group_metals,Platinum & platinum metals                        ,92.0,103.0,305.0,194.0,132.0,136.0,22.0,51.0,61.0,51.0
Argentina,imports,platinum_group_metals,Other platinum metals                             ,990.0,46.0,46.0,81.0,406.0,83.0,8.0,335.0,111.0,
Argentina,imports,platinum_group_metals,Palladium                                         ,940.0,227.0,26.0,60.0,100.0,39.0,36.0,87.0,94.0,
Argentina,imports,platinum_group_metals,Platinum                                          ,18.0,22.0,22.0,27.0,27.0,9.0,23.0,9.0,2.0,
Australia,imports,platinum_group_metals,Platinum metals                                   ,25663.0,23422.0,3831.0,1904.0,576.0,1216.0,1087.0,5297.0,3310.0,6295.0
Austria,imports,platinum_group_metals,Platinum & platinum metals                        ,813.0,687.0,893.0,513.0,453.0,1262.0,1314.0,2420.0,2512.0,2429.0
Belgium-Luxembourg,imports,platinum_group_metals,Platinum                                          ,2137.0,2008.0,1989.0,1558.0,1564.0,1420.0,1456.0,1268.0,1519.0,1282.0
Belgium-Luxembourg,imports,platinum_group_metals,Platinum metals                                   ,537.0,838.0,858.0,497.0,525.0,445.0,556.0,477.0,719.0,718.0
Brazil,imports,platinum_group_metals,Palladium                                         ,658.0,334.0,561.0,478.0,357.0,642.0,444.0,863.0,662.0,458.0
Brazil,imports,platinum_group_metals,Platinum                                          ,164.0,143.0,35.0,61.0,124.0,115.0,256.0,155.0,277.0,
Bulgaria,imports,platinum_group_metals,Platinum & platinum metals                        ,600.0,300.0,200.0,700.0,500.0,800.0,1100.0,700.0,700.0,500.0
Canada,imports,platinum_group_metals,Platinum & platinum metals                        ,4998.0,2058.0,1742.0,2191.0,2235.0,2034.0,4212.0,3377.0,10893.0,6108.0
China,imports,platinum_group_metals,Platinum & platinum metals                        ,300.0,200.0,200.0,100.0,150.0,500.0,800.0,2620.0,4863.0,2589.0
Costa Rica,imports,platinum_group_metals,Platinum & platinum metals                        ,434.0,562.0,350.0,278.0,332.0,198.0,31.0,,,
Cyprus,imports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,,,,,62.0
Czechoslovakia,imports,platinum_group_metals,Platinum & platinum metals                        ,500.0,150.0,50.0,50.0,20.0,250.0,250.0,100.0,500.0,600.0
Denmark,imports,platinum_group_metals,Platinum & platinum metals                        ,501.0,612.0,609.0,664.0,840.0,639.0,691.0,726.0,473.0,634.0
Finland,imports,platinum_group_metals,Platinum & platinum metals                        ,182.0,55.0,88.0,73.0,106.0,96.0,123.0,334.0,954.0,134.0
France,imports,platinum_group_metals,Platinum                                          ,6340.0,5568.0,6401.0,3582.0,10863.0,6241.0,5375.0,5436.0,6514.0,6746.0
France,imports,platinum_group_metals,Platinum metals                                   ,5465.0,9858.0,18330.0,22378.0,5150.0,5559.0,6182.0,5132.0,5336.0,6163.0
France,imports,platinum_group_metals,Waste & scrap                                     ,3092.0,3479.0,1536.0,1467.0,1830.0,16237.0,3146.0,2780.0,50380.0,39913.0
German Democratic Rep,imports,platinum_group_metals,Platinum & platinum metals                        ,200.0,300.0,1000.0,500.0,700.0,1900.0,2200.0,1700.0,2300.0,2200.0
German Federal Republic,imports,platinum_group_metals,Other platinum metals                             ,3723.0,3012.0,3013.0,5305.0,8410.0,4609.0,5425.0,5127.0,3151.0,3331.0
German Federal Republic,imports,platinum_group_metals,Palladium                                         ,11443.0,9022.0,26553.0,11123.0,17656.0,19333.0,18109.0,17081.0,27461.0,21889.0
German Federal Republic,imports,platinum_group_metals,Platinum                                          ,12930.0,13475.0,24180.0,15300.0,17144.0,19553.0,17750.0,23888.0,21492.0,24813.0
German Federal Republic,imports,platinum_group_metals,Waste & scrap                                     ,59061.0,23064.0,38547.0,49951.0,41868.0,74551.0,87922.0,122240.0,86762.0,103755.0
Germany,imports,platinum_group_metals,Other platinum metals                             ,,,,,,,,,,
Germany,imports,platinum_group_metals,Palladium                                         ,,,,,,,,,,
Germany,imports,platinum_group_metals,Platinum                                          ,,,,,,,,,,
Germany,imports,platinum_group_metals,Waste & scrap                                     ,,,,,,,,,,
Greece,imports,platinum_group_metals,Platinum & platinum metals                        ,,,,,364.0,499.0,492.0,228.0,514.0,438.0
Hong Kong,imports,platinum_group_metals,Platinum & platinum metals                        ,1544.0,2448.0,2264.0,335.0,1226.0,1367.0,587.0,1683.0,3318.0,2085.0
Hungary,imports,platinum_group_metals,Platinum & platinum metals                        ,400.0,500.0,600.0,300.0,300.0,300.0,400.0,300.0,400.0,100.0
India,imports,platinum_group_metals,Platinum                                          ,478.0,252.0,239.0,,420.0,,,,,
India,imports,platinum_group_metals,Platinum & platinum metals                        ,,,,,,403.0,334.0,217.0,166.0,301.0
Indonesia,imports,platinum_group_metals,Platinum & platinum metals                        ,17.0,497.0,15.0,325.0,4.0,34.0,2.0,245.0,3.0,1173.0
"Ireland, Republic of",imports,platinum_group_metals,Platinum & platinum metals                        ,935.0,552.0,367.0,866.0,1249.0,350.0,653.0,2267.0,,
Israel,imports,platinum_group_metals,Platinum metals                                   ,136.0,,,,,,,,,
Italy,imports,platinum_group_metals,Platinum                                          ,3574.0,2392.0,2130.0,2489.0,2502.0,3003.0,3363.0,3246.0,10533.0,2705.0
Italy,imports,platinum_group_metals,Platinum metals                                   ,3942.0,2977.0,3368.0,2775.0,3372.0,3291.0,3903.0,4025.0,5346.0,5289.0
