Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,imports,potash,Chloride                                          ,11975.0,,79233.0,10059.0,9628.0,,,,,
Algeria,imports,potash,Potassic chemicals                                ,,,,,,,194.0,571.0,295.0,1134.0
Algeria,imports,potash,Sulphate                                          ,29816.0,,,37625.0,43180.0,57355.0,37728.0,78535.0,54760.0,42416.0
Angola,imports,potash,Chloride                                          ,435.0,565.0,426.0,987.0,,,,1200.0,600.0,
Angola,imports,potash,Sulphate                                          ,626.0,998.0,965.0,969.0,,,,1500.0,500.0,
Argentina,imports,potash,Carbonate,780.0,1056.0,1061.0,1120.0,1388.0,769.0,,,,
Argentina,imports,potash,Caustic potash,1181.0,1022.0,741.0,544.0,1111.0,740.0,,,,
Argentina,imports,potash,Chlorate,696.0,828.0,860.0,677.0,496.0,576.0,,,,
Argentina,imports,potash,Chloride                                          ,8557.0,10795.0,8963.0,11658.0,10795.0,3904.0,6824.0,3961.0,6392.0,7503.0
Argentina,imports,potash,Nitrate                                           ,142.0,46.0,86.0,55.0,215.0,159.0,,,,
Argentina,imports,potash,Potassic chemicals                                ,,,,,,,2125.0,3558.0,2238.0,6968.0
Argentina,imports,potash,Sulphate                                          ,3220.0,2624.0,2811.0,3954.0,1151.0,1724.0,2337.0,5530.0,5877.0,11445.0
Australia,imports,potash,Carbonate,1700.0,2038.0,1187.0,1835.0,2374.0,2228.0,,,,
Australia,imports,potash,Caustic potash,1989.0,1856.0,1820.0,1915.0,2152.0,2762.0,,,,
Australia,imports,potash,Chloride                                          ,111946.0,136132.0,130431.0,156184.0,166711.0,198555.0,98694.0,158012.0,173463.0,158064.0
Australia,imports,potash,Nitrate                                           ,5270.0,3537.0,2863.0,3820.0,5401.0,6084.0,,,,
Australia,imports,potash,Other potassic chemicals,457.0,698.0,587.0,576.0,970.0,605.0,,,,
Australia,imports,potash,Other potassic fertilisers                        ,5970.0,2467.0,891.0,128.0,8310.0,1.0,240.0,58.0,2443.0,15037.0
Australia,imports,potash,Potassic chemicals                                ,,,,,,,8027.0,3971.0,7463.0,9612.0
Australia,imports,potash,Sulphate                                          ,17357.0,17130.0,15482.0,9100.0,7860.0,12552.0,16910.0,16736.0,6366.0,8546.0
Austria,imports,potash,Carbonate,1125.0,1236.0,1403.0,1564.0,1897.0,1201.0,,,,
Austria,imports,potash,Caustic potash,659.0,531.0,665.0,1017.0,1553.0,1319.0,,,,
Austria,imports,potash,Chloride                                          ,220446.0,237705.0,288282.0,220741.0,299428.0,214248.0,188417.0,253598.0,215872.0,257027.0
Austria,imports,potash,Fertiliser salts                                  ,77738.0,60174.0,55289.0,31010.0,39746.0,19257.0,19982.0,24738.0,19231.0,16302.0
Austria,imports,potash,Nitrate                                           ,854.0,669.0,647.0,840.0,917.0,449.0,,,,
Austria,imports,potash,Other potassic fertilisers                        ,,,,,,,,1.0,14.0,102.0
Austria,imports,potash,Potassic chemicals                                ,,,,,,,4102.0,4057.0,3909.0,3815.0
Austria,imports,potash,Sulphate                                          ,18274.0,35037.0,37553.0,32937.0,40556.0,25568.0,36538.0,43793.0,36784.0,36967.0
Barbados,imports,potash,Fertiliser salts                                  ,812.0,1.0,3.0,81.0,,,,,,
Barbados,imports,potash,Potassic fertilisers                              ,,,,,711.0,356.0,307.0,852.0,,
Belgium-Luxembourg,imports,potash,Carbonate,5552.0,6188.0,6382.0,5009.0,7573.0,4891.0,,,,
Belgium-Luxembourg,imports,potash,Caustic potash,,,,,,259.0,,,,
Belgium-Luxembourg,imports,potash,Chlorate,626.0,691.0,541.0,391.0,421.0,,,,,
Belgium-Luxembourg,imports,potash,Chloride                                          ,667221.0,471720.0,504750.0,585189.0,632900.0,515897.0,467575.0,542188.0,558428.0,595927.0
Belgium-Luxembourg,imports,potash,Fertiliser salts                                  ,14346.0,11625.0,14132.0,14926.0,13493.0,12862.0,9831.0,9520.0,8419.0,10827.0
Belgium-Luxembourg,imports,potash,Nitrate                                           ,2002.0,2001.0,1984.0,781.0,1237.0,1088.0,,,,
Belgium-Luxembourg,imports,potash,Potassic chemicals                                ,,,,,,,8257.0,9377.0,8079.0,8846.0
Belgium-Luxembourg,imports,potash,Sulphate                                          ,16157.0,10066.0,16631.0,5770.0,7202.0,16648.0,18939.0,7364.0,18959.0,17398.0
Belize,imports,potash,Potassic fertilisers                              ,326.0,202.0,83.0,636.0,0.0,421.0,1165.0,14.0,508.0,403.0
Brazil,imports,potash,Carbonate,2524.0,3170.0,3259.0,4556.0,5384.0,2873.0,,,,
Brazil,imports,potash,Caustic potash,2251.0,1464.0,1815.0,3336.0,3695.0,2083.0,,,,
Brazil,imports,potash,Chlorate,4.0,40.0,,,,,,,,
Brazil,imports,potash,Chloride                                          ,491699.0,574398.0,746228.0,843123.0,989097.0,884330.0,1157614.0,1554049.0,1602315.0,1758874.0
Brazil,imports,potash,Nitrate                                           ,9634.0,8911.0,8289.0,25590.0,10713.0,8274.0,,,,
Brazil,imports,potash,Other potassic fertilisers                        ,,,,,14815.0,17749.0,13650.0,,,
Brazil,imports,potash,Potassic chemicals                                ,,,,,,,13979.0,23017.0,25251.0,25613.0
Brazil,imports,potash,Sulphate                                          ,16280.0,9000.0,14497.0,24397.0,27529.0,29409.0,32824.0,52422.0,58320.0,71168.0
Brunei,imports,potash,Potassic fertilisers                              ,,,0.0,2549.0,3404.0,92.0,3127.0,,,
Bulgaria,imports,potash,Fertiliser salts                                  ,,,,,,,,,,116600.0
Burkina Faso,imports,potash,Potassic fertilisers                              ,2276.0,1174.0,,,,,,,,
Cameroon,imports,potash,Fertiliser salts                                  ,1401.0,4391.0,941.0,1425.0,1757.0,330.0,1610.0,6925.0,7146.0,9000.0
Cameroon,imports,potash,Potassic fertilisers                              ,3442.0,4362.0,4446.0,6534.0,9176.0,11190.0,4691.0,10825.0,4148.0,4820.0
Canada,imports,potash,Carbonate,992.0,1134.0,1099.0,1057.0,1481.0,1034.0,,,,
Canada,imports,potash,Caustic potash,1647.0,905.0,1644.0,1740.0,1953.0,5949.0,,,,
