Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,imports,rare_earths,Metals                                            ,,,,,19.0,133.0,9.0,12.0,9.0,5.0
Australia,imports,rare_earths,Rare earth compounds                              ,,,,,156.0,127.0,156.0,97.0,103.0,
Austria,imports,rare_earths,Cerium compounds                                  ,1200.0,504.0,957.0,574.0,451.0,433.0,484.0,780.0,192.0,1169.0
Austria,imports,rare_earths,Metals                                            ,255.0,995.0,999.0,622.0,377.0,829.0,276.0,673.0,769.0,643.0
Austria,imports,rare_earths,Other rare earth compounds                        ,15.0,23.0,49.0,492.0,406.0,541.0,810.0,715.0,1505.0,1767.0
Belgium-Luxembourg,imports,rare_earths,Cerium compounds                                  ,249.0,342.0,336.0,617.0,426.0,390.0,419.0,424.0,574.0,606.0
Belgium-Luxembourg,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,45.0,38.0,47.0,51.0,50.0,18.0,12.0,17.0,16.0,2.0
Belgium-Luxembourg,imports,rare_earths,Metals                                            ,147.0,54.0,28.0,44.0,38.0,22.0,207.0,376.0,551.0,353.0
Belgium-Luxembourg,imports,rare_earths,Other rare earth compounds                        ,3.0,44.0,67.0,122.0,162.0,193.0,24.0,64.0,67.0,
Brazil,imports,rare_earths,Cerium compounds                                  ,72.0,91.0,97.0,253.0,274.0,464.0,338.0,408.0,287.0,360.0
Brazil,imports,rare_earths,Metals                                            ,54.0,84.0,36.0,242.0,268.0,357.0,432.0,747.0,533.0,703.0
Brazil,imports,rare_earths,Other rare earth compounds                        ,216.0,518.0,,1634.0,1280.0,1166.0,1001.0,850.0,1190.0,859.0
Canada,imports,rare_earths,Cerium compounds                                  ,311.0,303.0,369.0,394.0,510.0,515.0,563.0,553.0,418.0,310.0
Canada,imports,rare_earths,Other rare earth compounds                        ,255.0,649.0,180.0,108.0,154.0,231.0,381.0,191.0,241.0,174.0
China,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,,,,88.0,37.0,50.0,281.0,97.0,84.0,493.0
China,imports,rare_earths,Metals                                            ,,,,8.0,234.0,357.0,24.0,226.0,277.0,162.0
China,imports,rare_earths,Ores & concentrates                               ,,,,1153.0,60.0,1606.0,10673.0,22.0,4.0,2854.0
China,imports,rare_earths,Rare earth compounds                              ,,,,343.0,331.0,380.0,780.0,855.0,992.0,1415.0
Denmark,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,,,,,,,,,,
Estonia,imports,rare_earths,Rare earth compounds                              ,,,,,,,,,,1866.0
France,imports,rare_earths,Cerium compounds                                  ,638.0,740.0,680.0,584.0,564.0,1311.0,6658.0,11028.0,19647.0,16540.0
France,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,37.0,627.0,1025.0,87.0,77.0,65.0,37.0,61.0,,26.0
France,imports,rare_earths,Metals                                            ,302.0,243.0,284.0,237.0,294.0,305.0,406.0,412.0,430.0,281.0
France,imports,rare_earths,Other rare earth compounds                        ,364.0,999.0,4537.0,8073.0,13570.0,13027.0,15752.0,906.0,1369.0,
German Federal Republic,imports,rare_earths,Cerium compounds                                  ,1577.0,,,,,,,,,
German Federal Republic,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,30.0,,,,,,,,,
German Federal Republic,imports,rare_earths,Metals                                            ,163.0,,,,,,,,,
German Federal Republic,imports,rare_earths,Other rare earth compounds                        ,1871.0,,,,,,,,,
Germany,imports,rare_earths,Cerium compounds                                  ,,1746.0,1257.0,932.0,998.0,1114.0,1704.0,2178.0,2593.0,1928.0
Germany,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,,16.0,15.0,32.0,20.0,1.0,4.0,4.0,4.0,19.0
Germany,imports,rare_earths,Metals                                            ,,154.0,230.0,276.0,257.0,447.0,500.0,530.0,522.0,625.0
Germany,imports,rare_earths,Other rare earth compounds                        ,,1400.0,1798.0,2471.0,2639.0,1408.0,1027.0,726.0,463.0,2921.0
Hong Kong,imports,rare_earths,Ferro-cerium & other pyrophoric alloys            ,228.0,189.0,,,,,,,,
Hong Kong,imports,rare_earths,Metals                                            ,,,,,,,,329.0,340.0,174.0
Hong Kong,imports,rare_earths,Rare earth compounds                              ,,,770.0,419.0,804.0,830.0,601.0,540.0,525.0,608.0
Hungary,imports,rare_earths,Rare earth compounds                              ,,,,,,,192.0,194.0,163.0,198.0
India,imports,rare_earths,Metals                                            ,,,,,,,50.0,36.0,46.0,95.0
India,imports,rare_earths,Rare earth compounds                              ,,,,,,,,151.0,147.0,86.0
