Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Afghanistan,imports,salt,,1893.0,1131.0,,,,,,,,
Angola,imports,salt,,1570.0,300.0,104.0,92.0,,,,,,
Australia,imports,salt,Other salt,8235.0,7034.0,,,,,,,,
Australia,imports,salt,Refined salt,16.0,13.0,,,,,,,,
Australia,imports,salt,,,,44960.0,8586.0,8321.0,13603.0,33051.0,24752.0,19444.0,19620.0
Austria,imports,salt,,1959.0,458.0,1179.0,2296.0,8629.0,494.0,107.0,29678.0,63418.0,49453.0
Bahamas,imports,salt,Crude salt,40277.0,71614.0,23738.0,12864.0,30718.0,,,,,
Bahamas,imports,salt,Refined salt,424.0,548.0,545.0,508.0,386.0,,,,,
Bahamas,imports,salt,,,,,,,28208.0,22844.0,7860.0,,
Bahrain,imports,salt,,,,,,,,,,,1092.0
Barbados,imports,salt,,2319.0,2080.0,2212.0,1916.0,,108.0,4694.0,2231.0,2003.0,
Belgium-Luxembourg,imports,salt,Common salt,1275137.0,998027.0,474754.0,140685.0,153653.0,,,,,
Belgium-Luxembourg,imports,salt,Refined salt,139086.0,596280.0,994777.0,725221.0,990367.0,,,,,
Belgium-Luxembourg,imports,salt,,,,,,,796035.0,934670.0,906665.0,805395.0,1218636.0
Belize,imports,salt,,659.0,831.0,575.0,88.0,490.0,94.0,665.0,971.0,320.0,1032.0
Benin,imports,salt,,8903.0,8394.0,,,,,,,,
Brazil,imports,salt,,6.0,6.0,27.0,45.0,123.0,144.0,,,277.0,
Brunei,imports,salt,,1010.0,1431.0,1945.0,1690.0,902.0,3012.0,4745.0,5707.0,1026.0,194.0
Bulgaria,imports,salt,,,,,,,,,42200.0,24000.0,49800.0
Burkina Faso,imports,salt,,13364.0,14078.0,19756.0,15280.0,13812.0,18634.0,14654.0,11454.0,13574.0,14372.0
Burundi,imports,salt,,,,,,,,5253.0,12677.0,11385.0,13167.0
Cameroon,imports,salt,,21434.0,20982.0,23150.0,22288.0,20272.0,20417.0,28980.0,24292.0,27264.0,32017.0
Canada,imports,salt,,560659.0,836436.0,929189.0,841936.0,736573.0,1183144.0,1523407.0,1126226.0,1330475.0,1275627.0
Central African Republic,imports,salt,,4251.0,4054.0,,,4071.0,4075.0,6940.0,3142.0,3573.0,4204.0
Chad,imports,salt,,3946.0,5195.0,4090.0,4920.0,5240.0,4731.0,,,,
Colombia,imports,salt,,13263.0,69741.0,21.0,26.0,,,,,,
Congo,imports,salt,,2513.0,2691.0,18866.0,3766.0,1826.0,3034.0,2106.0,2424.0,3837.0,32636.0
Costa Rica,imports,salt,,9637.0,9960.0,9961.0,20784.0,9400.0,7691.0,8931.0,4005.0,4967.0,7756.0
Cyprus,imports,salt,,378.0,439.0,490.0,565.0,349.0,505.0,504.0,2067.0,6446.0,713.0
Czechoslovakia,imports,salt,,,,,,,,193100.0,153900.0,130200.0,127500.0
Denmark,imports,salt,,454045.0,133748.0,231257.0,175249.0,265364.0,122124.0,205686.0,377889.0,279107.0,366142.0
Dominica,imports,salt,,425.0,344.0,314.0,415.0,400.0,358.0,,508.0,549.0,332.0
Faeroe Islands,imports,salt,,16234.0,17829.0,12268.0,7155.0,6703.0,31988.0,20014.0,27545.0,20106.0,18102.0
Fiji,imports,salt,,2041.0,2199.0,2133.0,2764.0,2236.0,2170.0,2546.0,537.0,2984.0,3043.0
Finland,imports,salt,,490416.0,470766.0,476236.0,492188.0,648276.0,513996.0,480889.0,482916.0,547251.0,659660.0
France,imports,salt,,50532.0,78350.0,122669.0,158755.0,162087.0,131412.0,127494.0,156397.0,104968.0,187546.0
