Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,imports,sillimanite_minerals,Mullite                                           ,,,,,9114.0,117.0,86.0,,,
Australia,imports,sillimanite_minerals,,4168.0,5822.0,13890.0,26226.0,4484.0,8420.0,6696.0,6778.0,4406.0,2553.0
Austria,imports,sillimanite_minerals,,2534.0,2230.0,2775.0,2409.0,3346.0,3486.0,3256.0,2414.0,11483.0,2447.0
Belgium-Luxembourg,imports,sillimanite_minerals,,9712.0,7057.0,10613.0,8003.0,7439.0,7915.0,8830.0,6430.0,9199.0,10059.0
Brazil,imports,sillimanite_minerals,,,,,,,,,,,479.0
Canada,imports,sillimanite_minerals,,6245.0,6358.0,8252.0,9014.0,8809.0,12180.0,15103.0,20000.0,22181.0,19057.0
China,imports,sillimanite_minerals,Mullite                                           ,,,,,,,,,,3724.0
China,imports,sillimanite_minerals,Sillimanite minerals,,,,,,,,,,391.0
China,imports,sillimanite_minerals,,,,,,336.0,492.0,861.0,1643.0,1096.0,
Czech Republic,imports,sillimanite_minerals,,,,,,,,,2767.0,3281.0,2557.0
Denmark,imports,sillimanite_minerals,,2143.0,1677.0,1595.0,2351.0,1234.0,2497.0,1235.0,1658.0,3306.0,1250.0
Finland,imports,sillimanite_minerals,,1623.0,1091.0,1420.0,2081.0,1134.0,826.0,165.0,108.0,62.0,62.0
France,imports,sillimanite_minerals,,8098.0,7333.0,7347.0,2902.0,7161.0,7950.0,5141.0,3286.0,3091.0,3339.0
German Federal Republic,imports,sillimanite_minerals,,126436.0,,,,,,,,,
Germany,imports,sillimanite_minerals,,,98358.0,101634.0,72224.0,89765.0,80570.0,47939.0,43196.0,58525.0,52924.0
Hong Kong,imports,sillimanite_minerals,,,,157360.0,97381.0,28151.0,65704.0,20918.0,27304.0,15770.0,44695.0
India,imports,sillimanite_minerals,Mullite                                           ,,,,,,,,,,4.0
India,imports,sillimanite_minerals,Sillimanite minerals,,,,,,,,,,3337.0
India,imports,sillimanite_minerals,,,,,,5.0,1100.0,1585.0,1364.0,1424.0,
Indonesia,imports,sillimanite_minerals,,,,,,,,1248.0,240.0,1742.0,379.0
"Ireland, Republic of",imports,sillimanite_minerals,,,,0.0,3426.0,2504.0,7414.0,6622.0,1800.0,3809.0,3820.0
Italy,imports,sillimanite_minerals,,26792.0,22554.0,21897.0,21728.0,20631.0,,,50912.0,70741.0,77567.0
Japan,imports,sillimanite_minerals,Mullite                                           ,9489.0,12336.0,8595.0,6304.0,6148.0,2746.0,4049.0,6464.0,4826.0,5041.0
Japan,imports,sillimanite_minerals,,34825.0,27351.0,32146.0,26606.0,27067.0,21765.0,25316.0,27722.0,24879.0,12590.0
