Country,Activity,Commodity,Sub-commodity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Algeria,imports,sulphur_and_pyrites,"Sulphur, crude",19794.0,38892.0,56989.0,93692.0,83172.0,82420.0,28940.0,87870.0,76334.0,66322.0
Algeria,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,3601.0,550.0,2048.0,975.0,10804.0,19238.0,8000.0,5926.0
Angola,imports,sulphur_and_pyrites,Sulphur,834.0,722.0,615.0,844.0,,,,,,
Argentina,imports,sulphur_and_pyrites,Sulphur,,,,,78497.0,97221.0,105745.0,80558.0,,125649.0
Argentina,imports,sulphur_and_pyrites,"Sulphur, crude",56805.0,29993.0,50024.0,71545.0,,,,,,
Australia,imports,sulphur_and_pyrites,Sulphur,325289.0,268528.0,380034.0,587000.0,685282.0,281757.0,205766.0,407675.0,496804.0,436221.0
Austria,imports,sulphur_and_pyrites,Pyrites,19119.0,15128.0,14614.0,12470.0,13383.0,13558.0,13874.0,10781.0,5856.0,3264.0
Austria,imports,sulphur_and_pyrites,Sulphur,116850.0,122199.0,118619.0,115314.0,,,,,,
Austria,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,154016.0,112356.0,81419.0,97787.0,101332.0,112019.0
Austria,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,47.0,66.0,2919.0,16.0,234.0,62.0
Belgium-Luxembourg,imports,sulphur_and_pyrites,Pyrites,407724.0,297811.0,218513.0,247829.0,257916.0,207810.0,220452.0,214322.0,202917.0,195210.0
Belgium-Luxembourg,imports,sulphur_and_pyrites,"Sulphur, crude",333590.0,429433.0,609770.0,673436.0,936170.0,440100.0,460970.0,451692.0,482732.0,549346.0
Belgium-Luxembourg,imports,sulphur_and_pyrites,"Sulphur, refined",218.0,344.0,311.0,343.0,,,,,,
Belgium-Luxembourg,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,2363.0,1576.0,540.0,450.0,1076.0,5128.0
Brazil,imports,sulphur_and_pyrites,"Sulphur, crude",260944.0,360533.0,372303.0,454613.0,605386.0,408048.0,606875.0,657252.0,632277.0,686041.0
Brazil,imports,sulphur_and_pyrites,"Sulphur, refined",515.0,334.0,383.0,724.0,5741.0,3077.0,1451.0,1412.0,,
Brazil,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",73.0,100.0,172.0,237.0,218.0,202.0,222.0,218.0,,317.0
Bulgaria,imports,sulphur_and_pyrites,Pyrites,,,,,,,,,,263000.0
Bulgaria,imports,sulphur_and_pyrites,Sulphur,,,,,,,,6100.0,6000.0,3500.0
Burma,imports,sulphur_and_pyrites,Sulphur,,,,,831.0,,,,,
Burma,imports,sulphur_and_pyrites,"Sulphur, crude",1331.0,246.0,1263.0,1194.0,,,,,,
Canada,imports,sulphur_and_pyrites,Sulphur,48494.0,27925.0,25494.0,35759.0,31389.0,14335.0,15717.0,14065.0,8130.0,1699.0
Chile,imports,sulphur_and_pyrites,Sulphur,62129.0,68292.0,74954.0,74459.0,103831.0,,,,90.0,0.0
Chile,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,,,,66490.0,90024.0,
Chile,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,,81.0,,
China,imports,sulphur_and_pyrites,Sulphur,,,191100.0,420000.0,300000.0,65094.0,26000.0,250000.0,205000.0,250300.0
Colombia,imports,sulphur_and_pyrites,Sulphur,,,,,,,24750.0,23102.0,,
Colombia,imports,sulphur_and_pyrites,"Sulphur, crude",35.0,2477.0,5.0,8421.0,,,,,55770.0,35262.0
Colombia,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",51.0,3022.0,4066.0,6623.0,,,,,98.0,38.0
Costa Rica,imports,sulphur_and_pyrites,Sulphur,98.0,106.0,11.0,0.0,49.0,160.0,100.0,41.0,,
Cuba,imports,sulphur_and_pyrites,Sulphur,130342.0,179459.0,122525.0,143836.0,140326.0,169166.0,153401.0,155173.0,139018.0,129000.0
Cyprus,imports,sulphur_and_pyrites,Sulphur,,,,,853.0,1581.0,2518.0,2420.0,1442.0,1547.0
Cyprus,imports,sulphur_and_pyrites,"Sulphur, crude",1799.0,1735.0,2256.0,2773.0,,,,,,
Czechoslovakia,imports,sulphur_and_pyrites,Pyrites,76000.0,58000.0,63000.0,95000.0,57000.0,11000.0,9000.0,,,
Czechoslovakia,imports,sulphur_and_pyrites,Sulphur,303000.0,279000.0,325000.0,322000.0,329000.0,493000.0,477000.0,422000.0,456000.0,501000.0
Denmark,imports,sulphur_and_pyrites,Pyrites,165395.0,144530.0,153538.0,109056.0,21352.0,36.0,0.0,3.0,31.0,1.0
Denmark,imports,sulphur_and_pyrites,Sulphur,11102.0,15301.0,12702.0,15995.0,,,,,,
Denmark,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,76274.0,68942.0,61629.0,63376.0,74020.0,74184.0
Denmark,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,1840.0,734.0,1022.0,119.0,126.0,115.0
Egypt,imports,sulphur_and_pyrites,Pyrites,47514.0,37677.0,18652.0,30915.0,80719.0,62857.0,20179.0,66521.0,23000.0,0.0
Egypt,imports,sulphur_and_pyrites,Sulphur,47400.0,54523.0,47770.0,19611.0,68808.0,38130.0,75954.0,110966.0,83170.0,46177.0
El Salvador,imports,sulphur_and_pyrites,Sulphur,2585.0,4302.0,6949.0,7239.0,5763.0,4520.0,5186.0,5556.0,40577.0,14781.0
Ethiopia,imports,sulphur_and_pyrites,Sulphur,1159.0,408.0,899.0,258.0,0.0,164.0,,115.0,1325.0,761.0
Finland,imports,sulphur_and_pyrites,Sulphur,37236.0,56594.0,40921.0,28981.0,,,,,,
Finland,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,34296.0,27413.0,10426.0,23349.0,26580.0,42132.0
Finland,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,2240.0,4568.0,2001.0,6347.0,1859.0,3205.0
France,imports,sulphur_and_pyrites,Precipitated,314.0,468.0,180.0,172.0,,,,,,
France,imports,sulphur_and_pyrites,Pyrites,319204.0,249314.0,204281.0,156789.0,88959.0,52374.0,30991.0,691.0,617.0,672.0
France,imports,sulphur_and_pyrites,"Sulphur, crude",324288.0,428342.0,459057.0,562232.0,797610.0,568776.0,504018.0,660584.0,662560.0,715224.0
France,imports,sulphur_and_pyrites,"Sulphur, refined",362.0,594.0,602.0,2799.0,454.0,571.0,751.0,704.0,741.0,1153.0
France,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,456.0,264.0,267.0,334.0,415.0,412.0
Gabon,imports,sulphur_and_pyrites,Sulphur,,,,,,,,,,0.0
German Democratic Rep,imports,sulphur_and_pyrites,Pyrites,106582.0,74433.0,51980.0,72156.0,61144.0,48694.0,71473.0,63400.0,39200.0,8200.0
German Democratic Rep,imports,sulphur_and_pyrites,Sulphur,,,,,,,,166500.0,168800.0,178200.0
German Federal Republic,imports,sulphur_and_pyrites,Pyrites,1629968.0,1381434.0,1105686.0,891510.0,780281.0,498245.0,175247.0,154291.0,116670.0,98943.0
German Federal Republic,imports,sulphur_and_pyrites,Sulphur,292498.0,332421.0,414598.0,490587.0,,,,,,
German Federal Republic,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,471836.0,303909.0,480574.0,419352.0,385843.0,385973.0
German Federal Republic,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,228.0,519.0,461.0,548.0,572.0,732.0
Greece,imports,sulphur_and_pyrites,Pyrites,12971.0,80368.0,130830.0,147680.0,118868.0,154013.0,106584.0,37198.0,18944.0,14413.0
Greece,imports,sulphur_and_pyrites,Sulphur,43986.0,104467.0,88360.0,66000.0,23000.0,83740.0,,,,
Greece,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,,,161777.0,68783.0,81004.0,58053.0
Greece,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,53.0,16.0,112.0,339.0
Guatemala,imports,sulphur_and_pyrites,Sulphur,30.0,9.0,6.0,15.0,6262.0,182.0,4296.0,4428.0,11479.0,4880.0
Hong Kong,imports,sulphur_and_pyrites,Sublimed,2125.0,1066.0,1311.0,1011.0,1220.0,966.0,,2101.0,,
Hong Kong,imports,sulphur_and_pyrites,"Sulphur, crude",,457.0,842.0,574.0,1199.0,1046.0,253.0,209.0,264.0,344.0
Hong Kong,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,1765.0,,1360.0,779.0
Hungary,imports,sulphur_and_pyrites,Pyrites,176266.0,135165.0,87000.0,79000.0,79000.0,88000.0,81417.0,59318.0,81451.0,83518.0
Hungary,imports,sulphur_and_pyrites,Sulphur,127638.0,110327.0,149000.0,183000.0,161000.0,209000.0,143447.0,171477.0,162043.0,167344.0
India,imports,sulphur_and_pyrites,Sublimed,365.0,442.0,494.0,371.0,659.0,430.0,,327.0,,
India,imports,sulphur_and_pyrites,"Sulphur, crude",521343.0,420607.0,558990.0,551105.0,587454.0,616685.0,588257.0,767019.0,820625.0,959152.0
India,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,506.0,,2066.0,470.0
Indonesia,imports,sulphur_and_pyrites,Sulphur,21324.0,6539.0,,,,,,,,
Indonesia,imports,sulphur_and_pyrites,"Sulphur, crude",,,23242.0,28092.0,28843.0,1125.0,616.0,2132.0,1335.0,2643.0
Indonesia,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,0.0,16301.0,13550.0,12166.0,18164.0,28273.0,45155.0,29367.0
Iran,imports,sulphur_and_pyrites,Sulphur,429.0,355.0,347.0,961.0,571.0,422.0,744.0,503.0,405.0,411.0
Iraq,imports,sulphur_and_pyrites,Sulphur,661.0,11.0,1859.0,25.0,130.0,41.0,,,,
"Ireland, Republic of",imports,sulphur_and_pyrites,Sulphur,120686.0,121356.0,42967.0,77764.0,99577.0,27888.0,12374.0,,,
"Ireland, Republic of",imports,sulphur_and_pyrites,"Sulphur, crude",,,,,,,,10754.0,8592.0,534.0
"Ireland, Republic of",imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,,146.0,19.0,113.0
Israel,imports,sulphur_and_pyrites,Sulphur,40951.0,70660.0,64427.0,16000.0,42000.0,,,,,50700.0
Italy,imports,sulphur_and_pyrites,Pyrites,846468.0,552890.0,452674.0,305016.0,296929.0,316733.0,161091.0,163512.0,247158.0,286351.0
Italy,imports,sulphur_and_pyrites,Sulphur,298737.0,284574.0,341949.0,425514.0,,,,,,
Italy,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,766257.0,558158.0,560082.0,628495.0,606052.0,754861.0
Italy,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,802.0,1133.0,1212.0,1954.0,1573.0,1591.0
Ivory Coast,imports,sulphur_and_pyrites,Sulphur,,,,,5586.0,8017.0,5363.0,5337.0,8750.0,7997.0
Ivory Coast,imports,sulphur_and_pyrites,"Sulphur, refined",2428.0,2517.0,2608.0,2015.0,,,,,,
Jamaica,imports,sulphur_and_pyrites,Sulphur,2818.0,,3874.0,381.0,330.0,4951.0,932.0,9561.0,10818.0,
Jamaica,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,,,,,,5766.0
Jamaica,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,,,,59.0
Japan,imports,sulphur_and_pyrites,Pyrites,183882.0,110.0,3471.0,25867.0,65535.0,55887.0,59403.0,34060.0,30000.0,7300.0
Japan,imports,sulphur_and_pyrites,Sulphur,10570.0,276.0,12266.0,46732.0,36207.0,296.0,603.0,781.0,563.0,582.0
Jordan,imports,sulphur_and_pyrites,Sulphur,883.0,1712.0,1588.0,2596.0,,,,,,
Jordan,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,2675.0,801.0,527.0,2462.0,1430.0,758.0
Jordan,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,1317.0,212.0,524.0,289.0,440.0,644.0
Kenya,imports,sulphur_and_pyrites,Sulphur,,,,,1748.0,614.0,1099.0,2132.0,,
Kenya,imports,sulphur_and_pyrites,"Sulphur, crude",970.0,1154.0,506.0,653.0,,,,,2526.0,1199.0
Kenya,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,,,0.0,0.0
Korea (Rep. of),imports,sulphur_and_pyrites,"Sulphur, crude",149739.0,156847.0,134253.0,167457.0,213446.0,228016.0,292153.0,421913.0,,582055.0
Korea (Rep. of),imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,357.0,511.0,241.0,330.0,298.0,1160.0,513784.0,673.0
"Korea, Dem. P.R. of",imports,sulphur_and_pyrites,Sulphur,,,,,6200.0,5900.0,,,,
"Korea, Dem. P.R. of",imports,sulphur_and_pyrites,"Sulphur, crude",,,7100.0,6500.0,,,,,,
Lebanon,imports,sulphur_and_pyrites,"Sulphur, crude",61124.0,58782.0,72975.0,72666.0,,,,,,
Lebanon,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",764.0,868.0,904.0,630.0,,,,,,
Madagascar,imports,sulphur_and_pyrites,Sulphur,21.0,30.0,6.0,5.0,3.0,6.0,11.0,,,
Malaysia,imports,sulphur_and_pyrites,Sulphur,10814.0,10207.0,,,,,,,,
Malaysia,imports,sulphur_and_pyrites,"Sulphur, crude",,,12516.0,13323.0,17103.0,15551.0,14098.0,13843.0,15973.0,8019.0
Malaysia,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,337.0,647.0,613.0,654.0,835.0,740.0,737.0,4578.0
Malta,imports,sulphur_and_pyrites,Sublimed,227.0,250.0,221.0,364.0,,,,,,
Malta,imports,sulphur_and_pyrites,Sulphur,,,,,472.0,323.0,454.0,1851.0,39.0,95.0
Mauritius,imports,sulphur_and_pyrites,Sulphur,40.0,60.0,49.0,8.0,9.0,11.0,,,,
Mexico,imports,sulphur_and_pyrites,Sulphur,140.0,330.0,395.0,623.0,525.0,214.0,,,,
Mexico,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,,,705.0,504.0,866.0,771.0
Mexico,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,,129.0,191.0,,574.0
Morocco,imports,sulphur_and_pyrites,Sublimed,421.0,56.0,124.0,39.0,61.0,12.0,2.0,5.0,3.0,7.0
Morocco,imports,sulphur_and_pyrites,"Sulphur, crude",20243.0,21525.0,36656.0,34794.0,77418.0,39115.0,183345.0,427714.0,77136.0,517145.0
Morocco,imports,sulphur_and_pyrites,"Sulphur, refined",100.0,164.0,35.0,149.0,55.0,35.0,85.0,30095.0,297400.0,45407.0
Mozambique,imports,sulphur_and_pyrites,Sulphur,,,,,19380.0,232.0,5236.0,349.0,,
Mozambique,imports,sulphur_and_pyrites,"Sulphur, crude",4637.0,2003.0,6485.0,20417.0,,,,,,
Netherlands,imports,sulphur_and_pyrites,Pyrites,110525.0,86113.0,42955.0,180.0,207.0,229.0,75.0,61.0,103.0,169.0
Netherlands,imports,sulphur_and_pyrites,"Sulphur, crude",413957.0,442264.0,451984.0,453690.0,498025.0,347799.0,398392.0,424685.0,452920.0,455504.0
Netherlands,imports,sulphur_and_pyrites,"Sulphur, refined",2272.0,2402.0,,,,,,,,
Netherlands,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,677.0,795.0,600.0,503.0,277.0,233.0,133.0,248.0
New Zealand,imports,sulphur_and_pyrites,Sulphur,246897.0,190027.0,181094.0,261646.0,238361.0,,,,,
New Zealand,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,,251417.0,196215.0,229803.0,234899.0,257986.0
New Zealand,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,,123.0,197.0,232.0,263.0,275.0
Nicaragua,imports,sulphur_and_pyrites,Sulphur,263.0,185.0,,222.0,328.0,230.0,296.0,443.0,280.0,381.0
Niger,imports,sulphur_and_pyrites,Sulphur,,,4400.0,4938.0,7302.0,6000.0,,,,
Nigeria,imports,sulphur_and_pyrites,Sulphur,342.0,465.0,311.0,457.0,468.0,12.0,865.0,1195.0,1530.0,1485.0
Norway,imports,sulphur_and_pyrites,Sulphur,34006.0,21225.0,17535.0,20735.0,,,,,,
Norway,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,22055.0,19327.0,17899.0,11926.0,6014.0,2583.0
Norway,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,26.0,33.0,30.0,12.0,13.0,24.0
Pakistan,imports,sulphur_and_pyrites,Sulphur,,,,,2934.0,,7031.0,3818.0,8355.0,5942.0
Pakistan,imports,sulphur_and_pyrites,"Sulphur, crude",,,,11765.0,,,,,,
Peru,imports,sulphur_and_pyrites,Sulphur,,,,,,,4332.0,7990.0,9039.0,14575.0
Philippines,imports,sulphur_and_pyrites,"Sulphur, crude",5767.0,19225.0,21314.0,9507.0,25800.0,22326.0,12173.0,12301.0,7587.0,5466.0
Philippines,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,373.0,612.0,9110.0,3600.0,6770.0,159.0,16972.0,12675.0
Portugal,imports,sulphur_and_pyrites,Sulphur,24066.0,26133.0,30565.0,23528.0,,,,30943.0,43524.0,90433.0
Portugal,imports,sulphur_and_pyrites,"Sulphur, crude",,,,,30078.0,27276.0,29870.0,,,
Portugal,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,169.0,48.0,37.0,,,
Romania,imports,sulphur_and_pyrites,Pyrites,,,,,,,196200.0,135700.0,74700.0,75800.0
Romania,imports,sulphur_and_pyrites,Sulphur,36600.0,29900.0,39800.0,55100.0,,,117700.0,123200.0,173000.0,224300.0
Senegal,imports,sulphur_and_pyrites,Sublimed,12925.0,24242.0,16323.0,23789.0,26951.0,18572.0,,20824.0,24432.0,
Senegal,imports,sulphur_and_pyrites,Sulphur,,,,,,,,,,18209.0
Senegal,imports,sulphur_and_pyrites,"Sulphur, crude",7.0,10.0,20.0,12.0,10.0,14.0,,15.0,6.0,
Singapore,imports,sulphur_and_pyrites,"Sulphur, crude",7657.0,10233.0,10370.0,5832.0,2861.0,2627.0,267.0,188.0,373.0,568.0
Singapore,imports,sulphur_and_pyrites,"Sulphur, refined",9649.0,10258.0,224.0,7801.0,,,,,,
Singapore,imports,sulphur_and_pyrites,"Sulphur, sublimed & precipitated",,,,,3414.0,474.0,405.0,362.0,315.0,168.0
South Africa,imports,sulphur_and_pyrites,Pyrites,13.0,14.0,9.0,37.0,34.0,31.0,47.0,30.0,53.0,904.0
South Africa,imports,sulphur_and_pyrites,"Sulphur, crude",167584.0,210864.0,222178.0,206662.0,358799.0,260117.0,451480.0,548225.0,638411.0,811730.0
