Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,imports,talc,,74554.0,93985.0,86891.0,84634.0,102494.0,90897.0,97639.0,121630.0,113395.0,
Belgium,imports,talc,,183625.0,175662.0,163309.0,168067.0,154480.0,129548.0,159571.0,166452.0,158278.0,
Bulgaria,imports,talc,,512.0,985.0,956.0,960.0,862.0,778.0,676.0,801.0,872.0,
Croatia,imports,talc,,1813.0,1578.0,1774.0,1989.0,2739.0,2807.0,2545.0,2613.0,2904.0,
Cyprus,imports,talc,,307.0,267.0,,,,,,,,
Czech Republic,imports,talc,,9570.0,12686.0,8827.0,9735.0,14617.0,17388.0,19150.0,19605.0,20692.0,
Denmark,imports,talc,,7013.0,6276.0,6883.0,6469.0,6025.0,5432.0,5687.0,5607.0,5754.0,
Estonia,imports,talc,,373.0,451.0,429.0,467.0,361.0,405.0,447.0,424.0,336.0,
Finland,imports,talc,,1202.0,1929.0,1624.0,1153.0,961.0,6327.0,858.0,784.0,1198.0,
France,imports,talc,,59722.0,48155.0,47883.0,45965.0,23884.0,26482.0,24245.0,28109.0,29881.0,
Germany,imports,talc,,324703.0,330321.0,293175.0,304604.0,307921.0,311876.0,295185.0,310663.0,310830.0,
Greece,imports,talc,,8869.0,8663.0,13779.0,8123.0,9855.0,10920.0,9431.0,8271.0,5714.0,
Hungary,imports,talc,,6786.0,6226.0,5319.0,6010.0,5438.0,7174.0,9936.0,9197.0,11469.0,
"Ireland, Republic of",imports,talc,,1140.0,1320.0,3033.0,2982.0,3303.0,1351.0,805.0,1237.0,2633.0,
Italy,imports,talc,,100934.0,115046.0,111333.0,99446.0,125992.0,100168.0,108590.0,124278.0,120576.0,
Netherlands,imports,talc,,178312.0,199302.0,182898.0,213095.0,249040.0,159147.0,213318.0,256579.0,274149.0,
Norway,imports,talc,,8356.0,8364.0,8374.0,10586.0,11702.0,12118.0,9807.0,9966.0,10184.0,
Poland,imports,talc,,23331.0,26212.0,26430.0,34117.0,29854.0,32396.0,36761.0,38025.0,43692.0,
Portugal,imports,talc,,24143.0,22388.0,11746.0,14043.0,17819.0,14307.0,13908.0,14528.0,14708.0,
Romania,imports,talc,,2099.0,2248.0,2593.0,2284.0,1995.0,2737.0,3117.0,3082.0,3568.0,
Serbia,imports,talc,,1616.0,1270.0,1432.0,1957.0,1764.0,2326.0,2249.0,2637.0,2751.0,
Slovakia,imports,talc,,719.0,380.0,470.0,1098.0,2679.0,3807.0,3515.0,4398.0,4693.0,
Slovenia,imports,talc,,10793.0,4489.0,4413.0,4618.0,4170.0,4632.0,4957.0,9715.0,5551.0,
Spain,imports,talc,,84536.0,88989.0,80421.0,91965.0,92006.0,97136.0,111902.0,129463.0,135448.0,
Sweden,imports,talc,,25998.0,22202.0,22507.0,18259.0,18149.0,18282.0,21449.0,20462.0,20918.0,
Switzerland,imports,talc,,8490.0,7666.0,6975.0,7377.0,7074.0,6149.0,5634.0,5498.0,5445.0,
Turkey,imports,talc,,20026.0,26952.0,23496.0,28004.0,23085.0,25365.0,26464.0,31800.0,30485.0,
United Kingdom,imports,talc,,50309.0,53339.0,57751.0,53099.0,63815.0,48998.0,50671.0,50575.0,47384.0,51818.0
