Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,imports,tantalum_and_niobium,Tantalum                                          ,17.0,4.0,5.0,31.0,56.0,28.0,0.0,1.0,52.0,
Bulgaria,imports,tantalum_and_niobium,Tantalum                                          ,,,,,,,,,,
Czech Republic,imports,tantalum_and_niobium,Tantalum                                          ,265.0,222.0,175.0,224.0,246.0,172.0,158.0,126.0,141.0,
Denmark,imports,tantalum_and_niobium,Tantalum                                          ,,,,,,,,,,
Estonia,imports,tantalum_and_niobium,Tantalum                                          ,37.0,20.0,,,,,,,,
Finland,imports,tantalum_and_niobium,Tantalum                                          ,0.0,0.0,0.0,87.0,,,,,,
France,imports,tantalum_and_niobium,Tantalum                                          ,22.0,39.0,49.0,39.0,18.0,18.0,41.0,31.0,34.0,
Germany,imports,tantalum_and_niobium,Tantalum                                          ,231.0,376.0,221.0,178.0,151.0,145.0,126.0,237.0,257.0,
Greece,imports,tantalum_and_niobium,Tantalum                                          ,,,,,,,,,,
Hungary,imports,tantalum_and_niobium,Tantalum                                          ,32.0,0.0,,,,,,,,
"Ireland, Republic of",imports,tantalum_and_niobium,Tantalum                                          ,85.0,0.0,,,,,,,,
Lithuania,imports,tantalum_and_niobium,Tantalum                                          ,12.0,13.0,,,,,,,,
Luxembourg,imports,tantalum_and_niobium,Tantalum                                          ,1.0,1.0,1.0,52.0,,,,,,
Netherlands,imports,tantalum_and_niobium,Tantalum                                          ,27.0,33.0,54.0,10.0,10.0,29.0,7.0,29.0,4.0,
Portugal,imports,tantalum_and_niobium,Tantalum                                          ,41.0,44.0,33.0,23.0,,,,,,
Romania,imports,tantalum_and_niobium,Tantalum                                          ,0.0,0.0,0.0,60.0,81.0,1.0,0.0,0.0,0.0,
Slovakia,imports,tantalum_and_niobium,Tantalum                                          ,,,,,0.0,2.0,0.0,3.0,15.0,
Spain,imports,tantalum_and_niobium,Tantalum                                          ,,,,,,,,,,
Turkey,imports,tantalum_and_niobium,Tantalum                                          ,,,,,,,,,,
United Kingdom,imports,tantalum_and_niobium,Niobium                                           ,104.0,176.0,130.0,62.0,60.0,69.0,163.0,199.0,214.0,136.0
United Kingdom,imports,tantalum_and_niobium,Tantalum                                          ,284.0,176.0,144.0,203.0,184.0,164.0,82.0,83.0,129.0,195.0
