Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,imports,titanium,Oxides                                            ,,,,,186.0,164.0,155.0,181.0,216.0,575.0
Algeria,imports,titanium,Oxides                                            ,8376.0,,,,,,,,,
Argentina,imports,titanium,Metal                                             ,,176.0,115.0,,,,,,,
Argentina,imports,titanium,Oxides                                            ,31389.0,26022.0,21265.0,,,,,,,
Argentina,imports,titanium,Titanium minerals                                 ,1543.0,1323.0,1106.0,,,,,,,
Australia,imports,titanium,Metal                                             ,474.0,563.0,586.0,,,,,,,
Australia,imports,titanium,Oxides,15865.0,,,,,,,,,
Australia,imports,titanium,Oxides                                            ,17733.0,17894.0,14177.0,,,,,,,
Australia,imports,titanium,Titanium minerals                                 ,85.0,37.0,25034.0,,,,,,,
Austria,imports,titanium,Metal                                             ,683.0,1594.0,1062.0,441.0,943.0,1691.0,1873.0,3851.0,2455.0,1346.0
Austria,imports,titanium,Oxides,16452.0,,,,,,,,,
Austria,imports,titanium,Oxides                                            ,18838.0,19343.0,19478.0,18528.0,18612.0,25640.0,27485.0,26856.0,30861.0,28258.0
Austria,imports,titanium,Titanium minerals                                 ,,,1044.0,675.0,494.0,349.0,575.0,451.0,520.0,362.0
Belarus,imports,titanium,Oxides,3909.0,3724.0,,,,,,,,
Belarus,imports,titanium,Oxides                                            ,4887.0,4880.0,5068.0,,,,,,,
Belgium,imports,titanium,Metal                                             ,,,,,,,1857.0,3800.0,3739.0,2132.0
Belgium,imports,titanium,Oxides                                            ,,,,,,,314131.0,144760.0,132327.0,108582.0
Belgium,imports,titanium,Titanium minerals                                 ,,,,,,,157491.0,221156.0,204688.0,110028.0
Belgium-Luxembourg,imports,titanium,Ilmenite                                          ,18612.0,71.0,9889.0,11632.0,0.0,0.0,,,,
Belgium-Luxembourg,imports,titanium,Metal                                             ,1341.0,1791.0,1516.0,1712.0,1868.0,2289.0,,,,
Belgium-Luxembourg,imports,titanium,Other titanium minerals                           ,115497.0,56785.0,132921.0,164624.0,165288.0,165711.0,,,,
Belgium-Luxembourg,imports,titanium,Oxides,214435.0,,,,,,,,,
Belgium-Luxembourg,imports,titanium,Oxides                                            ,224621.0,224507.0,271627.0,272441.0,339444.0,291670.0,,,,
Belgium-Luxembourg,imports,titanium,Titanium slag                                     ,29418.0,44909.0,41594.0,,,,,,,
Brazil,imports,titanium,Metal                                             ,21249.0,1663.0,2337.0,,,,,,,
Brazil,imports,titanium,Oxides                                            ,70754.0,73652.0,68593.0,,,,,,,
Brazil,imports,titanium,Titanium minerals                                 ,1508.0,17174.0,2886.0,,,,,,,
Bulgaria,imports,titanium,Metal                                             ,,,,,,,,78.0,203.0,65.0
Bulgaria,imports,titanium,Oxides,,,1981.0,208.0,2643.0,3325.0,3966.0,,,
Bulgaria,imports,titanium,Oxides                                            ,,2646.0,2448.0,3156.0,3332.0,3959.0,4750.0,5398.0,5955.0,5329.0
Bulgaria,imports,titanium,Titanium minerals                                 ,,535.0,653.0,2979.0,407.0,1287.0,300.0,712.0,42.0,105.0
Cameroon,imports,titanium,Oxides                                            ,699.0,709.0,,,,,,,,
Canada,imports,titanium,Metal                                             ,3480.0,1618.0,1098.0,,,,,,,
Canada,imports,titanium,Oxides,87003.0,,,,,,,,,
Canada,imports,titanium,Oxides                                            ,98625.0,89187.0,99232.0,,,,,,,
Canada,imports,titanium,Titanium minerals                                 ,6542.0,8858.0,15883.0,,,,,,,
Chile,imports,titanium,Oxides                                            ,10888.0,11522.0,10503.0,,,,,,,
China,imports,titanium,Metal                                             ,2297.0,5148.0,5206.0,,,,,,,
China,imports,titanium,Oxides,146044.0,,,,,,,,,
