Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Australia,imports,tungsten,Metal                                             ,82.0,41.0,50.0,48.0,86.0,167.0,85.0,110.0,96.0,68.0
Austria,imports,tungsten,Carbide                                           ,,,,,,,,,,278.0
Austria,imports,tungsten,Metal                                             ,1112.0,678.0,712.0,455.0,563.0,747.0,730.0,355.0,459.0,380.0
Austria,imports,tungsten,Ores & concentrates                               ,691.0,439.0,110.0,600.0,3014.0,1000.0,300.0,1800.0,1500.0,1000.0
Belgium-Luxembourg,imports,tungsten,Ammonium paratungstate                            ,,,,2898.0,,,,,,
Belgium-Luxembourg,imports,tungsten,Carbide                                           ,164.0,166.0,150.0,139.0,183.0,207.0,137.0,100.0,122.0,39.0
Belgium-Luxembourg,imports,tungsten,Metal                                             ,229.0,460.0,352.0,398.0,330.0,327.0,228.0,382.0,378.0,284.0
Brazil,imports,tungsten,Metal                                             ,,,,,,,,,,219.0
Canada,imports,tungsten,Carbide                                           ,290.0,290.0,348.0,388.0,421.0,402.0,400.0,,,
Canada,imports,tungsten,Metal                                             ,128.0,144.0,161.0,132.0,168.0,221.0,149.0,217.0,201.0,150.0
China,imports,tungsten,Metal                                             ,,,,,171.0,118.0,151.0,138.0,127.0,312.0
China,imports,tungsten,Ores & concentrates                               ,,,,2.0,909.0,2814.0,2693.0,2564.0,1474.0,1950.0
Czech Republic,imports,tungsten,Metal                                             ,,,,,100.0,200.0,100.0,125.0,89.0,52.0
Denmark,imports,tungsten,Metal                                             ,,,,,,,7.0,17.0,5.0,41.0
Estonia,imports,tungsten,Metal                                             ,,,,,,,,,58.0,327.0
Estonia,imports,tungsten,Ores & concentrates                               ,,,,,,,,5521.0,198.0,296.0
Finland,imports,tungsten,Metal                                             ,51.0,7.0,16.0,37.0,36.0,16.0,88.0,86.0,76.0,61.0
France,imports,tungsten,Carbide                                           ,257.0,268.0,244.0,147.0,427.0,387.0,329.0,224.0,,462.0
France,imports,tungsten,Metal                                             ,262.0,470.0,237.0,322.0,398.0,628.0,600.0,393.0,685.0,877.0
German Federal Republic,imports,tungsten,Carbide                                           ,887.0,,,,,,,,,
German Federal Republic,imports,tungsten,Metal                                             ,1609.0,,,,,,,,,
German Federal Republic,imports,tungsten,Ores & concentrates                               ,1394.0,,,,,,,,,
Germany,imports,tungsten,Carbide                                           ,,876.0,758.0,692.0,752.0,968.0,667.0,1059.0,1091.0,874.0
Germany,imports,tungsten,Metal                                             ,,2225.0,1353.0,1535.0,2019.0,2331.0,2329.0,2376.0,3131.0,3792.0
Germany,imports,tungsten,Ores & concentrates                               ,,566.0,396.0,107.0,604.0,947.0,378.0,272.0,479.0,805.0
Hong Kong,imports,tungsten,Metal                                             ,,,,,32.0,5.0,12.0,92.0,109.0,349.0
Hong Kong,imports,tungsten,Ores & concentrates                               ,2031.0,516.0,1303.0,0.0,1162.0,28.0,614.0,189.0,1.0,1.0
India,imports,tungsten,Metal                                             ,59.0,72.0,82.0,136.0,105.0,229.0,123.0,294.0,387.0,161.0
