Country,Activity,Commodity,Sub-commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,imports,vanadium,Pentoxide                                         ,,,,,1754.0,2196.0,250.0,70.0,70.0,
Austria,imports,vanadium,Vanadiferous residues                             ,46000.0,46000.0,46000.0,46000.0,46000.0,46000.0,40000.0,46000.0,40000.0,
Belgium,imports,vanadium,Pentoxide                                         ,123.0,95.0,364.0,200.0,26.0,41.0,57.0,138.0,234.0,
Czech Republic,imports,vanadium,Pentoxide                                         ,5255.0,7004.0,8672.0,9478.0,9202.0,9269.0,9429.0,10586.0,9646.0,
France,imports,vanadium,Metal                                             ,84.0,104.0,119.0,80.0,94.0,103.0,65.0,80.0,108.0,
France,imports,vanadium,Pentoxide                                         ,574.0,605.0,429.0,652.0,660.0,657.0,612.0,522.0,418.0,
Germany,imports,vanadium,Metal                                             ,61.0,104.0,,,,,,,,
Germany,imports,vanadium,Pentoxide                                         ,1000.0,700.0,1300.0,1500.0,400.0,580.0,90.0,200.0,300.0,
Italy,imports,vanadium,Pentoxide                                         ,53.0,45.0,117.0,231.0,304.0,89.0,187.0,98.0,224.0,
Netherlands,imports,vanadium,Metal                                             ,21.0,6.0,,66.0,333.0,294.0,1463.0,2399.0,1407.0,
Netherlands,imports,vanadium,Pentoxide                                         ,204.0,888.0,556.0,1240.0,3465.0,67.0,580.0,136.0,255.0,
Portugal,imports,vanadium,Pentoxide                                         ,,,,,,,,,,
Spain,imports,vanadium,Pentoxide                                         ,115.0,52.0,,,,,,,,
Sweden,imports,vanadium,Pentoxide                                         ,,,,,,,,,,
United Kingdom,imports,vanadium,Metal                                             ,197.0,376.0,261.0,199.0,168.0,296.0,253.0,284.0,189.0,
United Kingdom,imports,vanadium,Pentoxide                                         ,5.0,17.0,,,,5.0,18.0,0.0,3.0,0.0
