Country,Activity,Commodity,Sub-commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Algeria,imports,zinc,Ores & concentrates                               ,25837.0,,63768.0,42000.0,6000.0,,,,,
Argentina,imports,zinc,Ores & concentrates                               ,,,,1008.0,15938.0,16941.0,17144.0,18107.0,8170.0,8093.0
Argentina,imports,zinc,Unwrought                                         ,1742.0,4567.0,4612.0,8998.0,5553.0,5332.0,8361.0,9326.0,9161.0,5485.0
Australia,imports,zinc,Ores & concentrates                               ,32295.0,23767.0,22176.0,23578.0,26577.0,10559.0,10431.0,,10275.0,54223.0
Australia,imports,zinc,Scrap                                             ,587.0,119.0,828.0,792.0,,,,,,
Australia,imports,zinc,Unwrought                                         ,,,,,3580.0,1507.0,413.0,805.0,1785.0,3477.0
Austria,imports,zinc,Ores & concentrates                               ,19376.0,12206.0,6301.0,3559.0,,,,,,
Austria,imports,zinc,Scrap                                             ,808.0,1023.0,1294.0,926.0,1269.0,1129.0,893.0,1310.0,947.0,721.0
Austria,imports,zinc,Unwrought                                         ,9920.0,20324.0,36462.0,40924.0,42783.0,37646.0,43104.0,46741.0,58890.0,47261.0
Austria,imports,zinc,Unwrought alloys                                  ,6378.0,7289.0,7055.0,6304.0,7667.0,13030.0,14428.0,17913.0,18882.0,16079.0
Bangladesh,imports,zinc,Unwrought                                         ,,,,,,21500.0,36400.0,22000.0,28000.0,35000.0
Bangladesh,imports,zinc,Unwrought alloys                                  ,,,,18521.0,,,,,,
Belarus,imports,zinc,Unwrought                                         ,,,,,,300.0,700.0,300.0,1313.0,2031.0
Belgium-Luxembourg,imports,zinc,Ores & concentrates                               ,626045.0,692011.0,428254.0,400268.0,520721.0,553969.0,1393376.0,1605860.0,1048756.0,1018447.0
Belgium-Luxembourg,imports,zinc,Scrap                                             ,20354.0,17870.0,19376.0,10957.0,13312.0,15819.0,23869.0,48650.0,48518.0,50113.0
Belgium-Luxembourg,imports,zinc,Unwrought                                         ,35156.0,46464.0,150940.0,192253.0,120702.0,147995.0,222649.0,247904.0,232249.0,192761.0
Belgium-Luxembourg,imports,zinc,Unwrought alloys                                  ,,,,,21040.0,10698.0,12692.0,11221.0,13567.0,3474.0
Brazil,imports,zinc,Ores & concentrates                               ,86715.0,111903.0,119358.0,118104.0,112795.0,131395.0,213088.0,211610.0,213281.0,216288.0
