Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Algeria,imports,zirconium,Concentrates                                      ,211.0,16.0,160.0,100.0,100.0,20.0,24.0,,,
Argentina,imports,zirconium,Concentrates                                      ,1328.0,739.0,495.0,878.0,351.0,131.0,61.0,178.0,,
Argentina,imports,zirconium,Zirconium sand                                    ,,,,372.0,3453.0,1258.0,2814.0,3174.0,3660.0,4494.0
Austria,imports,zirconium,Concentrates                                      ,,,,,,,,,1836.0,1821.0
Belgium-Luxembourg,imports,zirconium,Concentrates                                      ,2431.0,4793.0,6039.0,3818.0,4476.0,5954.0,3112.0,2522.0,3719.0,2227.0
Belgium-Luxembourg,imports,zirconium,Metal                                             ,125.0,191.0,169.0,135.0,151.0,174.0,242.0,208.0,198.0,181.0
Brazil,imports,zirconium,Concentrates                                      ,2792.0,5146.0,5420.0,6519.0,8301.0,12135.0,12699.0,7173.0,15058.0,8909.0
Brazil,imports,zirconium,Zirconium sand                                    ,9124.0,10151.0,1754.0,1004.0,0.0,0.0,0.0,,,
Bulgaria,imports,zirconium,Concentrates                                      ,2100.0,1800.0,2600.0,1800.0,1300.0,1700.0,1000.0,2500.0,1200.0,1300.0
Canada,imports,zirconium,Concentrates                                      ,,,,,,,10043.0,,7623.0,10426.0
Canada,imports,zirconium,Metal                                             ,229.0,289.0,243.0,191.0,227.0,239.0,303.0,269.0,282.0,296.0
Czechoslovakia,imports,zirconium,Concentrates                                      ,,1900.0,2200.0,2100.0,1700.0,2300.0,2200.0,2400.0,1500.0,800.0
Finland,imports,zirconium,Concentrates                                      ,23.0,60.0,86.0,946.0,1046.0,2495.0,3540.0,1519.0,0.0,2589.0
France,imports,zirconium,Concentrates                                      ,39618.0,44762.0,32115.0,34935.0,36624.0,51305.0,38932.0,49120.0,45761.0,52164.0
France,imports,zirconium,Metal                                             ,687.0,174.0,65.0,109.0,165.0,166.0,154.0,255.0,306.0,193.0
German Democratic Rep,imports,zirconium,Concentrates                                      ,,,,,,,100.0,800.0,1600.0,1400.0
German Federal Republic,imports,zirconium,Concentrates                                      ,56086.0,69444.0,67648.0,68622.0,75486.0,78929.0,83002.0,58895.0,,
German Federal Republic,imports,zirconium,Metal                                             ,279.0,169.0,399.0,355.0,327.0,489.0,395.0,425.0,402.0,415.0
Germany,imports,zirconium,Concentrates                                      ,,,,,,,,,,
Germany,imports,zirconium,Metal                                             ,,,,,,,,,,
Indonesia,imports,zirconium,Concentrates                                      ,,,,,,,,,,345.0
Italy,imports,zirconium,Concentrates                                      ,65697.0,55853.0,66919.0,75035.0,71099.0,84627.0,48175.0,78234.0,82863.0,84814.0
Italy,imports,zirconium,Metal                                             ,,,,,,60.0,54.0,31.0,285.0,210.0
Japan,imports,zirconium,Concentrates                                      ,190109.0,157733.0,196453.0,198224.0,217648.0,238321.0,171709.0,177474.0,197592.0,172848.0
Japan,imports,zirconium,Metal                                             ,103.0,421.0,458.0,526.0,627.0,638.0,498.0,415.0,510.0,641.0
Korea (Rep. of),imports,zirconium,Concentrates                                      ,1208.0,3123.0,2370.0,2514.0,7097.0,5928.0,10844.0,19002.0,24430.0,21813.0
Korea (Rep. of),imports,zirconium,Metal                                             ,,,,,,,,,52.0,75.0
Malaysia,imports,zirconium,Concentrates                                      ,88.0,76.0,147.0,299.0,425.0,518.0,474.0,880.0,710.0,3146.0
Mexico,imports,zirconium,Zirconium sand                                    ,6880.0,7773.0,4173.0,6114.0,4749.0,4574.0,1217.0,770.0,8467.0,9889.0
Netherlands,imports,zirconium,Concentrates                                      ,27011.0,34108.0,23149.0,26076.0,45424.0,40856.0,38464.0,29927.0,27707.0,45304.0
Philippines,imports,zirconium,Zirconium sand                                    ,,,,,418.0,234.0,357.0,593.0,589.0,579.0
