Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Australia,production,alumina,,7246499.0,7079009.0,6630507.0,7230526.0,8780702.0,8791501.0,9423220.0,10109290.0,10510514.0,10800000.0
Brazil,production,alumina,,516967.0,518900.0,551700.0,628900.0,882000.0,1095900.0,1196800.0,1365000.0,1487850.0,1632000.0
Canada,production,alumina,,1202000.0,1208000.0,1126604.0,1115626.0,1125644.0,1019000.0,1015000.0,952690.0,992576.0,1048432.0
China,production,alumina,,700000.0,700000.0,800000.0,900000.0,1200000.0,1300000.0,1400000.0,1320000.0,1300000.0,1318000.0
Czechoslovakia,production,alumina,,147525.0,149283.0,151219.0,152456.0,150000.0,138100.0,153345.0,149917.0,182651.0,204615.0
France,production,alumina,,1339411.0,1235921.0,960100.0,861600.0,900000.0,734200.0,740000.0,712000.0,551000.0,478000.0
German Democratic Rep,production,alumina,,43025.0,45164.0,46085.0,42156.0,43239.0,46695.0,46350.0,50880.0,64000.0,69000.0
German Federal Republic,production,alumina,,1607902.0,1650636.0,1286276.0,1346028.0,1700622.0,1656579.0,1559804.0,1312828.0,1162786.0,1173993.0
Greece,production,alumina,,504751.0,490168.0,263813.0,270156.0,317246.0,248366.0,307190.0,338833.0,336373.0,331007.0
Guinea,production,alumina,,708000.0,679000.0,578000.0,577000.0,537000.0,565000.0,555400.0,543000.0,593000.0,627000.0
Guyana,production,alumina,,296300.0,170000.0,73135.0,,,,,,,
Hungary,production,alumina,,805000.0,792000.0,743000.0,835512.0,811000.0,798000.0,856333.0,857612.0,873232.0,881505.0
India,production,alumina,,494041.0,482519.0,485000.0,480000.0,372000.0,373000.0,586000.0,650000.0,1188000.0,1419000.0
"Ireland, Republic of",production,alumina,,0.0,0.0,0.0,66000.0,675000.0,555400.0,685490.0,777974.0,842800.0,864510.0
Italy,production,alumina,,900370.0,786357.0,698329.0,466000.0,625000.0,363000.0,404200.0,457600.0,460500.0,472000.0
Jamaica,production,alumina,,2455870.0,2556057.0,1761135.0,1853940.0,1751000.0,1511800.0,1578000.0,1622000.0,1520000.0,2221070.0
Japan,production,alumina,,2218000.0,1619000.0,1212000.0,1378000.0,973000.0,873000.0,644000.0,465000.0,508000.0,564000.0
Romania,production,alumina,,534000.0,558000.0,514000.0,512000.0,552000.0,548000.0,555000.0,584000.0,458000.0,426000.0
Soviet Union,production,alumina,,3250000.0,3800000.0,3000000.0,3200000.0,3300000.0,4300000.0,4400000.0,4400000.0,5800000.0,5980000.0
Spain,production,alumina,,58000.0,695230.0,440000.0,476000.0,485000.0,476000.0,489000.0,524000.0,576000.0,620000.0
Suriname,production,alumina,,1444000.0,1248000.0,1052000.0,1154000.0,1237000.0,1242000.0,1471000.0,1363000.0,1633000.0,1567051.0
Taiwan,production,alumina,,80000.0,19000.0,,,,,,,,
Turkey,production,alumina,,137519.0,131400.0,84204.0,57420.0,75120.0,113304.0,144396.0,95232.0,181670.0,200560.0
USA,production,alumina,,6810000.0,5960000.0,3810000.0,3540000.0,4545000.0,3465000.0,3105000.0,4150000.0,4770000.0,5000000.0
United Kingdom,production,alumina,,101700.0,90361.0,88103.0,93100.0,105000.0,109700.0,109940.0,109800.0,114000.0,116200.0
Venezuela,production,alumina,,0.0,0.0,0.0,594000.0,1142000.0,1110000.0,1268745.0,1360012.0,1284036.0,1293219.0
Yugoslavia,production,alumina,,1058366.0,1037227.0,1018334.0,1009895.0,1134923.0,1138026.0,1116716.0,1113000.0,1060041.0,1170463.0
