Country,Activity,Commodity,Sub-commodity,2020
Australia,production,alumina,,20836304.0
Bosnia & Herzegovina,production,alumina,,122241.0
Brazil,production,alumina,,10185000.0
Canada,production,alumina,,1518000.0
China,production,alumina,,73131900.0
France,production,alumina,,500000.0
Germany,production,alumina,,1050000.0
Greece,production,alumina,,680000.0
Guinea,production,alumina,,453353.0
India,production,alumina,,6624500.0
Indonesia,production,alumina,,1162100.0
Iran,production,alumina,,232000.0
"Ireland, Republic of",production,alumina,,1822368.0
Jamaica,production,alumina,,1620943.0
Japan,production,alumina,,18000.0
Kazakhstan,production,alumina,,1399949.0
Romania,production,alumina,,426393.0
Russia,production,alumina,,2873000.0
Saudi Arabia,production,alumina,,1782041.0
Spain,production,alumina,,1553000.0
Turkey,production,alumina,,260000.0
USA,production,alumina,,1340000.0
Ukraine,production,alumina,,1725000.0
United Arab Emirates,production,alumina,,1920000.0
Venezuela,production,alumina,,50000.0
Vietnam,production,alumina,,1384706.0
