Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Argentina,production,aluminium_primary,,261823.0,243053.0,228804.0,271932.0,272119.0,270715.0,277800.0,292744.0,392980.0,411990.0
Australia,production,aluminium_primary,,1769000.0,1797000.0,1836000.0,1857000.0,1895000.0,1903040.0,1928635.0,1960017.0,1973592.0,1943069.0
Azerbaijan,production,aluminium_primary,,2.0,57.0,58.0,18565.0,29537.0,31762.0,31852.0,39241.0,61604.0,10145.0
Bahrain,production,aluminium_primary,,509038.0,522042.0,517004.0,526000.0,530000.0,749987.0,872393.0,865883.0,871658.0,847700.0
Bosnia & Herzegovina,production,aluminium_primary,,94751.0,96000.0,102300.0,112500.0,121294.0,131094.0,136190.0,147193.0,155909.0,130042.0
Brazil,production,aluminium_primary,,1271400.0,1132000.0,1318400.0,1380600.0,1457400.0,1497600.0,1604500.0,1654800.0,1661000.0,1535900.0
Cameroon,production,aluminium_primary,,86384.0,80900.0,67000.0,78800.0,85900.0,86400.0,88400.0,87000.0,91000.0,73000.0
Canada,production,aluminium_primary,,2373460.0,2582746.0,2708910.0,2791915.0,2592160.0,2894204.0,3051128.0,3082625.0,3120148.0,3030269.0
China,production,aluminium_primary,,2989200.0,3575800.0,4321000.0,5546900.0,6688800.0,7806000.0,9358400.0,12558600.0,13178200.0,12890500.0
Croatia,production,aluminium_primary,,,,,,,,,,,0.0
Egypt,production,aluminium_primary,,188900.0,190800.0,195000.0,194600.0,216000.0,243800.0,252300.0,331504.0,392963.0,352818.0
France,production,aluminium_primary,,441100.0,461000.0,463000.0,444000.0,447000.0,440000.0,442879.0,430159.0,389000.0,345000.0
Germany,production,aluminium_primary,,643545.0,651592.0,652845.0,660783.0,667800.0,647900.0,515539.0,551000.0,605880.0,291750.0
Ghana,production,aluminium_primary,,155500.0,161670.0,131858.0,15909.0,0.0,13400.0,75800.0,12900.0,9300.0,0.0
Greece,production,aluminium_primary,,168000.0,164000.0,165262.0,167797.0,166634.0,165300.0,164500.0,167937.0,162339.0,134737.0
Hungary,production,aluminium_primary,,33850.0,34600.0,35294.0,35000.0,34400.0,31000.0,300.0,,,
Iceland,production,aluminium_primary,,225721.0,245135.0,285394.0,286022.0,284700.0,273318.0,328424.0,446297.0,761204.0,804605.0
India,production,aluminium_primary,,624206.0,635573.0,688921.0,810282.0,883960.0,930543.0,1113849.0,1239581.0,1347127.0,1480568.0
Indonesia,production,aluminium_primary,,192300.0,208800.0,162800.0,197300.0,240800.0,252300.0,250300.0,242100.0,242500.0,257600.0
Iran,production,aluminium_primary,,141494.0,148844.0,169491.0,182477.0,212602.0,218754.0,205462.0,215981.0,241300.0,281300.0
Italy,production,aluminium_primary,,189800.0,187500.0,190400.0,191400.0,195400.0,192900.0,194200.0,179500.0,186400.0,165800.0
Japan,production,aluminium_primary,,6536.0,6632.0,6413.0,6463.0,6433.0,6400.0,6500.0,6600.0,6600.0,5100.0
Kazakhstan,production,aluminium_primary,,,,,,0.0,0.0,0.0,12000.0,106000.0,127000.0
Malaysia,production,aluminium_primary,,,,,,,,,,,15000.0
Mexico,production,aluminium_primary,,61200.0,51500.0,39000.0,17600.0,,,,,,
Montenegro,production,aluminium_primary,,,,0.0,0.0,0.0,0.0,121762.0,135151.0,111513.0,63960.0
Mozambique,production,aluminium_primary,,53800.0,266000.0,273200.0,407400.0,547100.0,553700.0,564000.0,564000.0,536000.0,545000.0
Netherlands,production,aluminium_primary,,301689.0,293068.0,284364.0,282800.0,330000.0,333820.0,285317.0,296900.0,317000.0,165000.0
New Zealand,production,aluminium_primary,,328400.0,322300.0,333900.0,334970.0,350299.0,351449.0,335300.0,351100.0,315500.0,271000.0
Nigeria,production,aluminium_primary,,,,,,0.0,0.0,0.0,0.0,9000.0,11000.0
Norway,production,aluminium_primary,,1031000.0,1034000.0,1044000.0,1180200.0,1318000.0,1391000.0,1383000.0,1362000.0,1368000.0,1098200.0
Oman,production,aluminium_primary,,,,,,0.0,0.0,0.0,0.0,49000.0,351000.0
Poland,production,aluminium_primary,,46900.0,44700.0,49125.0,45371.0,45800.0,42717.0,42000.0,43000.0,31000.0,
Qatar,production,aluminium_primary,,,,,,,,,0.0,0.0,10000.0
Romania,production,aluminium_primary,,179039.0,181830.0,187052.0,196844.0,222347.0,243607.0,262056.0,283449.0,288156.0,228630.0
Russia,production,aluminium_primary,,3247000.0,3302000.0,3348247.0,3478057.0,3594747.0,3647061.0,3117249.0,3955417.0,4190000.0,3815000.0
Saudi Arabia,production,aluminium_primary,,,,,,,,,,,0.0
Serbia and Montenegro,production,aluminium_primary,,95465.0,108123.0,111919.0,116744.0,115080.0,116994.0,,,,
Slovakia,production,aluminium_primary,,109000.0,110062.0,111600.0,132089.0,156893.0,159203.0,158289.0,160461.0,162995.0,149604.0
Slovenia,production,aluminium_primary,,75600.0,76632.0,87600.0,109800.0,120700.0,138500.0,118100.0,111016.0,83300.0,35148.0
South Africa,production,aluminium_primary,,673486.0,662497.0,706916.0,732717.0,866074.0,846213.0,895000.0,899000.0,811000.0,809000.0
Spain,production,aluminium_primary,,365700.0,376400.0,380100.0,389100.0,397500.0,394200.0,367400.0,405100.0,405800.0,329500.0
Sweden,production,aluminium_primary,,100788.0,101420.0,100125.0,100707.0,100591.0,102107.0,101668.0,99842.0,81913.0,69708.0
Switzerland,production,aluminium_primary,,35539.0,36288.0,40224.0,43865.0,44879.0,44800.0,12000.0,,,
Tajikistan,production,aluminium_primary,,300000.0,324000.0,307589.0,319360.0,358082.0,379630.0,413800.0,419060.0,399450.0,359386.0
Turkey,production,aluminium_primary,,61501.0,61730.0,62501.0,63140.0,64002.0,59000.0,60000.0,63400.0,61100.0,30000.0
USA,production,aluminium_primary,,3668400.0,2637000.0,2707000.0,2703300.0,2516400.0,2481000.0,2283800.0,2553900.0,2658300.0,1727200.0
Ukraine,production,aluminium_primary,,119290.0,121034.0,112459.0,113640.0,113212.0,114213.0,112952.0,113437.0,113000.0,50000.0
United Arab Emirates,production,aluminium_primary,,536000.0,536000.0,538000.0,560000.0,671915.0,724565.0,789341.0,889548.0,891723.0,1009800.0
United Kingdom,production,aluminium_primary,,305099.0,340778.0,344318.0,342748.0,359631.0,368477.0,360325.0,364595.0,326900.0,252000.0
Venezuela,production,aluminium_primary,,571463.0,579000.0,604000.0,601290.0,631100.0,624000.0,617100.0,615000.0,607000.0,569000.0
