Country,Activity,Commodity,Sub-commodity,2020
Argentina,production,aluminium_primary,,309800.0
Australia,production,aluminium_primary,,1585017.0
Azerbaijan,production,aluminium_primary,,30248.0
Bahrain,production,aluminium_primary,,1548000.0
Bosnia & Herzegovina,production,aluminium_primary,,17858.0
Brazil,production,aluminium_primary,,685100.0
Cameroon,production,aluminium_primary,,60000.0
Canada,production,aluminium_primary,,3154493.0
China,production,aluminium_primary,,37080400.0
Egypt,production,aluminium_primary,,268000.0
France,production,aluminium_primary,,350000.0
Germany,production,aluminium_primary,,529056.0
Ghana,production,aluminium_primary,,37566.0
Greece,production,aluminium_primary,,181900.0
Iceland,production,aluminium_primary,,728104.0
India,production,aluminium_primary,,3619237.0
Indonesia,production,aluminium_primary,,245000.0
Iran,production,aluminium_primary,,376800.0
Kazakhstan,production,aluminium_primary,,265000.0
Malaysia,production,aluminium_primary,,1000000.0
Montenegro,production,aluminium_primary,,37208.0
Mozambique,production,aluminium_primary,,562633.0
Netherlands,production,aluminium_primary,,70600.0
New Zealand,production,aluminium_primary,,333000.0
Norway,production,aluminium_primary,,1330000.0
Oman,production,aluminium_primary,,397000.0
Qatar,production,aluminium_primary,,655000.0
Romania,production,aluminium_primary,,271307.0
Russia,production,aluminium_primary,,3638000.0
Saudi Arabia,production,aluminium_primary,,1010563.0
Slovakia,production,aluminium_primary,,151875.0
Slovenia,production,aluminium_primary,,50185.0
South Africa,production,aluminium_primary,,717000.0
Spain,production,aluminium_primary,,200000.0
Sweden,production,aluminium_primary,,117000.0
Tajikistan,production,aluminium_primary,,84000.0
Turkey,production,aluminium_primary,,79900.0
USA,production,aluminium_primary,,1026617.0
United Arab Emirates,production,aluminium_primary,,2520000.0
United Kingdom,production,aluminium_primary,,35700.0
Venezuela,production,aluminium_primary,,10000.0
