Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Belgium,production,arsenic_white,,1500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Bolivia,production,arsenic_white,,318.0,846.0,237.0,276.0,168.0,120.0,90.0,80.0,74.0,115.0
Canada,production,arsenic_white,,250.0,250.0,250.0,250.0,250.0,250.0,,,,
Chile,production,arsenic_white,,10712.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11400.0,10000.0,11000.0
China,production,arsenic_white,,40000.0,39500.0,40000.0,40000.0,30000.0,30000.0,30000.0,25000.0,25000.0,25000.0
France,production,arsenic_white,,1000.0,1000.0,1000.0,,,,,,,
Germany,production,arsenic_white,,200.0,200.0,200.0,,,,,,,
Ghana,production,arsenic_white,,3000.0,,,,,,,,,
Iran,production,arsenic_white,,120.0,219.0,142.0,275.0,89.0,100.0,100.0,100.0,100.0,
Japan,production,arsenic_white,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Kazakhstan,production,arsenic_white,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,
Mexico,production,arsenic_white,,3329.0,3143.0,2569.0,2283.0,2415.0,2197.0,2106.0,677.0,,
Namibia,production,arsenic_white,,0.0,738.0,852.0,389.0,1264.0,29.0,0.0,610.0,574.0,
Peru,production,arsenic_white,,2495.0,1958.0,1613.0,4640.0,3037.0,3150.0,4399.0,4321.0,4822.0,300.0
Portugal,production,arsenic_white,,50.0,50.0,50.0,25.0,15.0,15.0,15.0,15.0,15.0,15.0
Russia,production,arsenic_white,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
