Country,Activity,Commodity,Sub-commodity,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Afghanistan,production,barytes,,2700.0,900.0,1800.0,1800.0,1800.0,1800.0,1800.0,2000.0,2000.0,2000.0
Algeria,production,barytes,,98255.0,89000.0,102000.0,110000.0,14200.0,58000.0,60300.0,43900.0,42797.0,49166.0
Argentina,production,barytes,,49623.0,48868.0,36597.0,61094.0,44170.0,55753.0,58617.0,33462.0,48972.0,55922.0
Australia,production,barytes,,38633.0,41266.0,28064.0,11752.0,19511.0,22423.0,5819.0,10363.0,20649.0,20000.0
Belgium,production,barytes,,29900.0,39900.0,39900.0,39900.0,39000.0,40000.0,40000.0,40000.0,35000.0,40000.0
Bolivia,production,barytes,,,,607.0,516.0,984.0,1282.0,129.0,1337.0,,
Brazil,production,barytes,,104752.0,116340.0,116955.0,96274.0,139554.0,142575.0,103072.0,158083.0,78842.0,51407.0
Bulgaria,production,barytes,,,,,,,,,214990.0,171798.0,269357.0
Burma,production,barytes,,4819.0,6932.0,16029.0,9990.0,11000.0,8148.0,17273.0,17242.0,17112.0,
Canada,production,barytes,,94317.0,86117.0,23552.0,45465.0,64197.0,71049.0,40335.0,41000.0,49000.0,47000.0
Chile,production,barytes,,225529.0,259349.0,292402.0,114595.0,21722.0,54494.0,53121.0,2109.0,43135.0,59873.0
China,production,barytes,,680000.0,800000.0,900000.0,1000000.0,1000000.0,1000000.0,820000.0,900000.0,1400000.0,1510100.0
Colombia,production,barytes,,3200.0,3160.0,3500.0,3839.0,3340.0,5050.0,4198.0,3792.0,4550.0,5460.0
Czechoslovakia,production,barytes,,61052.0,61000.0,61000.0,61000.0,60000.0,60000.0,67400.0,57300.0,60794.0,62438.0
Egypt,production,barytes,,4532.0,2108.0,3101.0,3185.0,3206.0,2010.0,3385.0,4530.0,5651.0,7295.0
Finland,production,barytes,,,0.0,0.0,3400.0,8704.0,6969.0,8690.0,11000.0,10993.0,1614.0
France,production,barytes,,225000.0,172000.0,143000.0,137000.0,139000.0,120700.0,116000.0,104500.0,104400.0,111840.0
German Democratic Rep,production,barytes,,35000.0,35000.0,35000.0,35000.0,35000.0,34000.0,90000.0,87400.0,92100.0,89400.0
German Federal Republic,production,barytes,,175380.0,165189.0,165661.0,163965.0,166568.0,171269.0,201565.0,173356.0,165317.0,144106.0
Greece,production,barytes,,98529.0,116773.0,119747.0,90187.0,24822.0,3283.0,2227.0,4799.0,1316.0,1247.0
Guatemala,production,barytes,,4609.0,290.0,7531.0,886.0,377.0,3703.0,750.0,1202.0,5064.0,2663.0
India,production,barytes,,442326.0,405138.0,387079.0,325045.0,445011.0,574767.0,336858.0,211726.0,445604.0,548103.0
Iran,production,barytes,,150000.0,75000.0,80000.0,85000.0,90000.0,90000.0,90000.0,42430.0,44309.0,59660.0
"Ireland, Republic of",production,barytes,,260000.0,274000.0,266000.0,199000.0,220000.0,213800.0,127500.0,70000.0,83500.0,82000.0
Italy,production,barytes,,203038.0,167186.0,178194.0,139090.0,107128.0,127226.0,112540.0,82181.0,77273.0,60331.0
Japan,production,barytes,,54862.0,59584.0,58568.0,69242.0,65863.0,75844.0,53547.0,30379.0,,22886.0
Kenya,production,barytes,,6647.0,2591.0,515672.0,300.0,210.0,407.0,34.0,,,
Korea (Rep. of),production,barytes,,410.0,0.0,0.0,552.0,2729.0,2785.0,3768.0,2942.0,2573.0,3735.0
"Korea, Dem. P.R. of",production,barytes,,110000.0,100000.0,,,,,,,,
Malaysia,production,barytes,,0.0,19365.0,25272.0,21434.0,23421.0,23394.0,22506.0,17008.0,17280.0,16250.0
Mexico,production,barytes,,269322.0,317738.0,323753.0,357043.0,426095.0,467693.0,321186.0,401336.0,534954.0,324739.0
Morocco,production,barytes,,358311.0,465660.0,0.0,288414.0,561321.0,463380.0,179881.0,126817.0,321562.0,403177.0
Pakistan,production,barytes,,14054.0,26985.0,22448.0,28240.0,26369.0,29932.0,39047.0,10031.0,21926.0,29718.0
Peru,production,barytes,,415000.0,409000.0,375000.0,111117.0,46323.0,69780.0,30000.0,20019.0,47731.0,55012.0
Philippines,production,barytes,,5355.0,2135.0,8697.0,1201.0,581.0,0.0,0.0,371.0,349.0,348.0
Poland,production,barytes,,96300.0,85300.0,90600.0,89900.0,90600.0,91215.0,97993.0,59300.0,53000.0,57900.0
Portugal,production,barytes,,1200.0,1350.0,600.0,637.0,318.0,1094.0,120.0,660.0,1740.0,1860.0
Romania,production,barytes,,80000.0,79000.0,78000.0,78000.0,75000.0,75000.0,75000.0,40000.0,40000.0,25250.0
South Africa,production,barytes,,2635.0,2247.0,3177.0,6683.0,4467.0,4387.0,8653.0,8617.0,8735.0,8570.0
Soviet Union,production,barytes,,510000.0,510000.0,520000.0,520000.0,530000.0,540000.0,540000.0,540000.0,540000.0,540000.0
Spain,production,barytes,,59827.0,52695.0,50031.0,52410.0,68919.0,67572.0,49678.0,7776.0,6585.0,6745.0
Thailand,production,barytes,,305057.0,307046.0,330948.0,187437.0,174918.0,230970.0,142232.0,33370.0,40587.0,106422.0
Tunisia,production,barytes,,26000.0,24700.0,33900.0,23200.0,12100.0,2200.0,14400.0,18000.0,31300.0,36800.0
Turkey,production,barytes,,128352.0,185555.0,114928.0,78974.0,198031.0,220497.0,330758.0,291913.0,405017.0,425519.0
USA,production,barytes,,2037000.0,2585000.0,1674000.0,684000.0,703000.0,670000.0,269000.0,406000.0,404000.0,290000.0
United Kingdom,production,barytes,,54000.0,63308.0,81000.0,36000.0,63000.0,107344.0,86754.0,77000.0,76253.0,70026.0
Yugoslavia,production,barytes,,47818.0,44179.0,32014.0,35025.0,41098.0,35488.0,42789.0,19270.0,23350.0,23558.0
Zimbabwe,production,barytes,,195.0,0.0,800.0,980.0,700.0,400.0,298.0,191.0,3400.0,1900.0
