Country,Activity,Commodity,Sub-commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Australia,production,bauxite,,53802000.0,53799000.0,54135000.0,55602000.0,56593000.0,59958667.0,61780468.0,62398239.0,64037587.0,66168656.0
Bosnia & Herzegovina,production,bauxite,,254700.0,90000.0,71300.0,573000.0,916900.0,1031600.0,854047.0,866933.0,1018333.0,555800.0
Brazil,production,bauxite,,13974480.0,13388100.0,13147900.0,18456800.0,20511800.0,22364600.0,23236300.0,25460700.0,28097500.0,26074400.0
China,production,bauxite,,7900000.0,8650000.0,12958700.0,14567000.0,17518000.0,17408200.0,18981600.0,20446000.0,25176900.0,29213100.0
Croatia,production,bauxite,,,,,,,,,,,500.0
Dominican Republic,production,bauxite,,,,,6481.0,81954.0,534555.0,92052.0,117262.0,67862.0,53317.0
Fiji,production,bauxite,,,,,,,,,,,0.0
France,production,bauxite,,185000.0,153000.0,150000.0,170000.0,170000.0,175000.0,160000.0,160000.0,101700.0,129700.0
Ghana,production,bauxite,,503824.0,692620.0,683654.0,494716.0,498060.0,606700.0,841775.0,1033368.0,796000.0,440000.0
Greece,production,bauxite,,1818525.0,1903280.0,2492000.0,2418000.0,2396065.0,2441443.0,2162900.0,2125900.0,2174000.0,1935000.0
Guinea,production,bauxite,,17991900.0,17312100.0,17480000.0,17072200.0,18795500.0,19237300.0,18783928.0,18519010.0,17682330.0,14774240.0
Guyana,production,bauxite,,2689451.0,2011301.0,1639266.0,1712236.0,1478897.0,1694126.0,1478670.0,2242928.0,2092237.0,1484935.0
Hungary,production,bauxite,,1046470.0,1000044.0,720000.0,665904.0,646726.0,535337.0,538258.0,546310.0,511337.0,267000.0
India,production,bauxite,,7992782.0,8688752.0,9867455.0,10924786.0,11964011.0,12595803.0,15732535.0,22624960.0,15460202.0,14124093.0
Indonesia,production,bauxite,,1150776.0,1237006.0,1283485.0,1262705.0,1330827.0,2502616.0,7270072.0,11663144.0,16791368.0,14720320.0
Iran,production,bauxite,,485130.0,283877.0,323600.0,391388.0,419955.0,437595.0,500000.0,520800.0,520000.0,522018.0
Iraq,production,bauxite,,,,,,0.0,0.0,0.0,0.0,4928.0,250.0
Jamaica,production,bauxite,,11126524.0,12369647.0,13119449.0,13444528.0,13296481.0,14116393.0,14865351.0,14567738.0,14636102.0,8103884.0
Kazakhstan,production,bauxite,,3729600.0,3685100.0,4376700.0,4737100.0,4705400.0,4815400.0,4883800.0,4962600.0,5160000.0,5130000.0
Malaysia,production,bauxite,,123270.0,64161.0,39975.0,5732.0,2040.0,4735.0,91806.0,156785.0,295176.0,274456.0
Mexico,production,bauxite,,,,,,,,,20000.0,20000.0,20000.0
Montenegro,production,bauxite,,,,0.0,0.0,0.0,0.0,659370.0,667053.0,671811.0,45779.0
Mozambique,production,bauxite,,8130.0,8597.0,9119.0,11793.0,6723.0,9518.0,11069.0,8650.0,5443.0,3612.0
Pakistan,production,bauxite,,10377.0,3728.0,12233.0,4098.0,4847.0,6504.0,7831.0,18118.0,35759.0,15629.0
Russia,production,bauxite,,5089000.0,4805000.0,4585700.0,5441800.0,6017600.0,6409300.0,6399200.0,6053900.0,5675000.0,5300000.0
Saudi Arabia,production,bauxite,,,,,,,,,,0.0,0.0
Serbia and Montenegro,production,bauxite,,630000.0,630000.0,611500.0,540051.0,610000.0,672345.0,,,,
Sierra Leone,production,bauxite,,,,0.0,0.0,0.0,0.0,1071140.0,1169036.0,954370.0,742820.0
Suriname,production,bauxite,,3610381.0,4393640.0,4001602.0,4215061.0,4087107.0,4756998.0,4945353.0,5273195.0,5333031.0,3388419.0
Tanzania,production,bauxite,,,,,,,1640.0,5373.0,5003.0,20601.0,122920.0
Turkey,production,bauxite,,458537.0,242040.0,287403.0,364306.0,365836.0,356480.0,771227.0,863404.0,818928.0,406700.0
USA,production,bauxite,,255692.0,247662.0,251633.0,136479.0,259870.0,121187.0,361047.0,128742.0,89626.0,27433.0
Venezuela,production,bauxite,,4360720.0,4584893.0,5190806.0,5445516.0,5814705.0,5900000.0,5928000.0,5593308.0,4192014.0,3610859.0
Vietnam,production,bauxite,,16000.0,20000.0,20000.0,20000.0,20000.0,55000.0,60000.0,80000.0,80000.0,80000.0
